,New WTP,Month,WQI
0,Sungai Sireh,31/1/2022,69.4
1,Bernam River Headworks,31/1/2022,83.4
2,Rantau Panjang,31/1/2022,81.0
3,North Hummock,31/1/2022,75.9
4,Batang Kali,31/1/2022,92.1
5,Kuala Kubu Baru,31/1/2022,94.8
6,Kalumpang,31/1/2022,94.3
7,Sungai Selisek,31/1/2022,84.3
8,Sungai Dusun,31/1/2022,89.2
9,Sungai Tengi,31/1/2022,91.3
10,Wangsa Maju,31/1/2022,73.7
11,Bukit Nanas,31/1/2022,77.6
12,Sungai Batu,31/1/2022,73.4
13,Sungai Gombak,31/1/2022,95.5
14,Ampang Intake,31/1/2022,94.4
15,Sungai Rangkap,31/1/2022,92.7
16,Kepong,31/1/2022,94.9
17,Sungai Rumput,31/1/2022,92.6
18,Sungai Selangor Fasa 1,31/1/2022,81.9
19,Sungai Selangor Fasa 2 Stream C,31/1/2022,82.3
20,Sungai Selangor Fasa 3,31/1/2022,75.4
21,Rasa,31/1/2022,84.5
22,Bukit Tampoi,31/1/2022,91.9
23,Salak Tinggi,31/1/2022,79.4
24,Sungai Semenyih,31/1/2022,81.6
25,Sungai Labu,31/1/2022,88.0
26,Semenyih 2,31/1/2022,88.4
27,Labohan Dagang,31/1/2022,88.7
28,Sungai Langat,31/1/2022,91.3
29,Cheras Batu 11,31/1/2022,91.0
30,Sungai Pangsoon,31/1/2022,93.9
31,Sungai Lolo,31/1/2022,92.3
32,Sungai Serai,31/1/2022,92.9
33,Langat 2,31/1/2022,92.9
34,Intake Semantan (Langat 2),31/1/2022,90.4
35,Sungai Sireh,28/2/2022,77.4
36,Bernam River Headworks,28/2/2022,87.9
37,Rantau Panjang,28/2/2022,83.9
38,North Hummock,28/2/2022,85.3
39,Batang Kali,28/2/2022,92.2
40,Kuala Kubu Baru,28/2/2022,94.6
41,Kalumpang,28/2/2022,94.8
42,Sungai Selisek,28/2/2022,91.0
43,Sungai Dusun,28/2/2022,91.9
44,Sungai Tengi,28/2/2022,90.3
45,Wangsa Maju,28/2/2022,74.5
46,Bukit Nanas,28/2/2022,90.7
47,Sungai Batu,28/2/2022,85.0
48,Sungai Gombak,28/2/2022,92.9
49,Ampang Intake,28/2/2022,94.5
50,Sungai Rangkap,28/2/2022,94.1
51,Kepong,28/2/2022,94.3
52,Sungai Rumput,28/2/2022,91.2
53,Sungai Selangor Fasa 1,28/2/2022,78.8
54,Sungai Selangor Fasa 2 Stream C,28/2/2022,81.7
55,Sungai Selangor Fasa 3,28/2/2022,82.7
56,Rasa,28/2/2022,84.2
57,Bukit Tampoi,28/2/2022,87.1
58,Salak Tinggi,28/2/2022,86.8
59,Sungai Semenyih,28/2/2022,79.9
60,Sungai Labu,28/2/2022,87.8
61,Semenyih 2,28/2/2022,82.4
62,Labohan Dagang,28/2/2022,84.4
63,Sungai Langat,28/2/2022,94.8
64,Cheras Batu 11,28/2/2022,84.3
65,Sungai Pangsoon,28/2/2022,95.3
66,Sungai Lolo,28/2/2022,91.4
67,Sungai Serai,28/2/2022,94.8
68,Langat 2,28/2/2022,89.8
