Date,wtp,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg,Flopam FO 4190 PWG _avg
1/1/2021,Sungai Selangor Fasa 3 Stage 1,37.95,0.061,8.01,4.63,0.52,0.71,3.37,
2/1/2021,Sungai Selangor Fasa 3 Stage 1,40.91,0.074,7.9,4.7,0.53,0.63,3.09,
3/1/2021,Sungai Selangor Fasa 3 Stage 1,40.18,0.057,7.87,3.58,0.53,1.25,3.18,
4/1/2021,Sungai Selangor Fasa 3 Stage 1,39.44,0.083,8.41,4.04,0.53,1.34,3.36,
5/1/2021,Sungai Selangor Fasa 3 Stage 1,24.35,0.078,7.63,3.98,0.53,2.17,1.85,
6/1/2021,Sungai Selangor Fasa 3 Stage 1,36.03,0.074,6.83,4.11,0.53,0.55,1.86,
7/1/2021,Sungai Selangor Fasa 3 Stage 1,34.21,0.074,6.74,4.77,0.53,0,1.75,
8/1/2021,Sungai Selangor Fasa 3 Stage 1,29.64,0.071,5.92,4.55,0.53,0.99,1.63,
9/1/2021,Sungai Selangor Fasa 3 Stage 1,29.57,0.069,6.19,4.17,0.53,1.57,1.63,
10/1/2021,Sungai Selangor Fasa 3 Stage 1,29.1,0.069,5.69,0.21,0.53,1.3,1.71,
11/1/2021,Sungai Selangor Fasa 3 Stage 1,28.96,0.068,5.73,4.41,0.53,1.59,1.76,
12/1/2021,Sungai Selangor Fasa 3 Stage 1,26.42,0.046,6.1,4.65,0.51,1.83,1.77,
13/1/2021,Sungai Selangor Fasa 3 Stage 1,25.46,0.059,5.47,4.57,0.54,1.65,1.77,
14/1/2021,Sungai Selangor Fasa 3 Stage 1,25.85,0.063,5.75,4.61,0.56,2,1.88,
15/1/2021,Sungai Selangor Fasa 3 Stage 1,26.84,0.061,5.55,5.19,0.55,1.35,1.81,
16/1/2021,Sungai Selangor Fasa 3 Stage 1,29.69,0.061,5.68,5.65,0.57,1.26,1.85,
17/1/2021,Sungai Selangor Fasa 3 Stage 1,25.29,0.061,5.68,4.35,0.56,1.63,1.85,
18/1/2021,Sungai Selangor Fasa 3 Stage 1,40.82,0.062,7.35,1.64,0.51,2.74,3.2,
19/1/2021,Sungai Selangor Fasa 3 Stage 1,44.09,0.065,8.28,3,0.54,1.26,3.23,
20/1/2021,Sungai Selangor Fasa 3 Stage 1,44.29,0.066,8.28,4.01,0.52,2.02,3.19,
21/1/2021,Sungai Selangor Fasa 3 Stage 1,45.23,0.06,7.96,4.69,0.47,2.1,3.27,
22/1/2021,Sungai Selangor Fasa 3 Stage 1,26.75,0.056,6.03,4.3,0.53,1.79,3,
23/1/2021,Sungai Selangor Fasa 3 Stage 1,27.06,0.059,6.27,4.88,0.54,1.21,2.96,
24/1/2021,Sungai Selangor Fasa 3 Stage 1,22.81,0.057,6.23,4.7,0.52,1.91,2.61,
25/1/2021,Sungai Selangor Fasa 3 Stage 1,31.04,0.061,6.4,5.49,0.56,1.97,2.24,
26/1/2021,Sungai Selangor Fasa 3 Stage 1,25.76,0.062,6.72,5.06,0.48,1.52,1.67,
27/1/2021,Sungai Selangor Fasa 3 Stage 1,24.48,0.061,6.41,5.62,0.5,0.76,1.74,
28/1/2021,Sungai Selangor Fasa 3 Stage 1,25.97,0.062,6.64,5.44,0.52,1.23,1.65,
