,wtp,Date,Activated Carbon _avg,Aluminium Chlorohydrate _avg,Flopam AH 912 PWG _avg,Flopam FA 920 PWG _avg,Flopam FL 4520 PWG _avg,Flopam FO 4190 PWG _avg,Flopam FO 4290 PWG _avg,Hydrated Lime _avg,Hydrated Lime (Intermediate) _avg,Hydrated Lime (Post) _avg,Hydrated Lime (Powder) _avg,Hydrated Lime (Powder) (Intermediate) _avg,Hydrated Lime (Powder) (Post) _avg,Hydrated Lime (Powder) (Pre) _avg,Hydrated Lime (Pre) _avg,Kibbled Aluminium Sulphate _avg,Liquid Aluminium Sulphate _avg,Liquid Chlorine _avg,Liquid Chlorine (Intermediate) _avg,Liquid Chlorine (Post) _avg,Liquid Chlorine (Pre) _avg,Liquid Polyaluminium Chloride _avg,Microsand _avg,Modified Liquid Alum _avg,Polymer Tianfloc C3080 _avg,Potassium Permanganate _avg,Soda Ash _avg,Soda Ash (Post) _avg,Soda Ash (Pre) _avg,Sodium Aluminosilicate _avg,Sodium Fluoride _avg,Sodium Hypochlorite _avg,Sodium Silico Fluoride _avg,Superfloc C 591 PWG _avg,Activated Carbon _max,Aluminium Chlorohydrate _max,Flopam AH 912 PWG _max,Flopam FA 920 PWG _max,Flopam FL 4520 PWG _max,Flopam FO 4190 PWG _max,Flopam FO 4290 PWG _max,Hydrated Lime _max,Hydrated Lime (Intermediate) _max,Hydrated Lime (Post) _max,Hydrated Lime (Powder) _max,Hydrated Lime (Powder) (Intermediate) _max,Hydrated Lime (Powder) (Post) _max,Hydrated Lime (Powder) (Pre) _max,Hydrated Lime (Pre) _max,Kibbled Aluminium Sulphate _max,Liquid Aluminium Sulphate _max,Liquid Chlorine _max,Liquid Chlorine (Intermediate) _max,Liquid Chlorine (Post) _max,Liquid Chlorine (Pre) _max,Liquid Polyaluminium Chloride _max,Microsand _max,Modified Liquid Alum _max,Polymer Tianfloc C3080 _max,Potassium Permanganate _max,Soda Ash _max,Soda Ash (Post) _max,Soda Ash (Pre) _max,Sodium Aluminosilicate _max,Sodium Fluoride _max,Sodium Hypochlorite _max,Sodium Silico Fluoride _max,Superfloc C 591 PWG _max,Activated Carbon _min,Aluminium Chlorohydrate _min,Flopam AH 912 PWG _min,Flopam FA 920 PWG _min,Flopam FL 4520 PWG _min,Flopam FO 4190 PWG _min,Flopam FO 4290 PWG _min,Hydrated Lime _min,Hydrated Lime (Intermediate) _min,Hydrated Lime (Post) _min,Hydrated Lime (Powder) _min,Hydrated Lime (Powder) (Intermediate) _min,Hydrated Lime (Powder) (Post) _min,Hydrated Lime (Powder) (Pre) _min,Hydrated Lime (Pre) _min,Kibbled Aluminium Sulphate _min,Liquid Aluminium Sulphate _min,Liquid Chlorine _min,Liquid Chlorine (Intermediate) _min,Liquid Chlorine (Post) _min,Liquid Chlorine (Pre) _min,Liquid Polyaluminium Chloride _min,Microsand _min,Modified Liquid Alum _min,Polymer Tianfloc C3080 _min,Potassium Permanganate _min,Soda Ash _min,Soda Ash (Post) _min,Soda Ash (Pre) _min,Sodium Aluminosilicate _min,Sodium Fluoride _min,Sodium Hypochlorite _min,Sodium Silico Fluoride _min,Superfloc C 591 PWG _min
0,Ampang Intake,1/1/2021,,,,,,,,0,,,,,,,,14.67,,1.83,,,,,,,,,11.67,,,,,,0.29,,,,,,,,,0,,,,,,,,21.4,,2.6,,,,,,,,,13.4,,,,,,0.4,,,,,,,,,0,,,,,,,,10.1,,0.5,,,,,,,,,8.25,,,,,,0.1,
1,Ampang Intake,1/10/2021,,,,,,,,1.82,,,,,,,,9.33,,1.54,,,,,,,,,7.33,,,,,,0.3,,,,,,,,,2.36,,,,,,,,9.92,,2.25,,,,,,,,,7.8,,,,,,0.42,,,,,,,,,1.46,,,,,,,,8.27,,0.79,,,,,,,,,6.5,,,,,,0.17,
2,Ampang Intake,1/11/2021,,,,,,,,1.72,,,,,,,,10.51,,1.47,,,,,,,,,8.36,,,,,,0.25,,,,,,,,,2,,,,,,,,16.2,,1.82,,,,,,,,,12.2,,,,,,0.37,,,,,,,,,1.44,,,,,,,,7.36,,0.56,,,,,,,,,6.37,,,,,,0.13,
3,Ampang Intake,1/12/2021,,,,,,,,1.55,,,,,,,,8.98,,1.49,,,,,,,,,7.25,,,,,,0.28,,,,,,,,,1.77,,,,,,,,10.36,,1.94,,,,,,,,,8.15,,,,,,0.34,,,,,,,,,0.52,,,,,,,,8.01,,0.58,,,,,,,,,6.56,,,,,,0.14,
4,Ampang Intake,1/2/2021,,,,,,,,0,,,,,,,,8.61,,1.31,,,,,,,,,6.61,,,,,,0.18,,,,,,,,,0,,,,,,,,11,,2.2,,,,,,,,,8.52,,,,,,0.28,,,,,,,,,0,,,,,,,,6.66,,0.4,,,,,,,,,5.11,,,,,,0.06,
5,Ampang Intake,1/3/2021,,,,,,,,2.43,,,,,,,,10.59,,1.68,,,,,,,,,8.31,,,,,,0.26,,,,,,,,,3,,,,,,,,12.9,,2.4,,,,,,,,,9.94,,,,,,0.36,,,,,,,,,0.85,,,,,,,,7.72,,0.3,,,,,,,,,6.19,,,,,,0.04,
6,Ampang Intake,1/4/2021,,,,,,,,2.09,,,,,,,,8.66,,1.73,,,,,,,,,8,,,,,,0.26,,,,,,,,,3,,,,,,,,10.2,,2.4,,,,,,,,,9.27,,,,,,0.36,,,,,,,,,0.54,,,,,,,,5.73,,0.3,,,,,,,,,2.41,,,,,,0.05,
7,Ampang Intake,1/5/2021,,,,,,,,2.69,,,,,,,,9.03,,1.85,,,,,,,,,9.19,,,,,,0.31,,,,,,,,,3.22,,,,,,,,10.4,,2.3,,,,,,,,,10.1,,,,,,0.39,,,,,,,,,1.17,,,,,,,,8.05,,0.6,,,,,,,,,8.04,,,,,,0.05,
8,Ampang Intake,1/6/2021,,,,,,,,2.3,,,,,,,,9.85,,1.91,,,,,,,,,8.47,,,,,,0.32,,,,,,,,,2.92,,,,,,,,16.9,,2.5,,,,,,,,,13.3,,,,,,0.43,,,,,,,,,1.35,,,,,,,,7.67,,1,,,,,,,,,6.15,,,,,,0.12,
9,Ampang Intake,1/7/2021,,,,,,,,1.43,,,,,,,,7.63,,1.66,,,,,,,,,6.29,,,,,,3.08,,,,,,,,,2.94,,,,,,,,8.25,,2.08,,,,,,,,,6.96,,,,,,34,,,,,,,,,1.19,,,,,,,,7,,0.95,,,,,,,,,5.81,,,,,,0.11,
