,Unnamed: 0,wtp,Date,Activated Carbon _avg,Aluminium Chlorohydrate _avg,Flopam AH 912 PWG _avg,Flopam FA 920 PWG _avg,Flopam FL 4520 PWG _avg,Flopam FO 4190 PWG _avg,Flopam FO 4290 PWG _avg,Hydrated Lime _avg,Hydrated Lime (Intermediate) _avg,Hydrated Lime (Post) _avg,Hydrated Lime (Powder) _avg,Hydrated Lime (Powder) (Intermediate) _avg,Hydrated Lime (Powder) (Post) _avg,Hydrated Lime (Powder) (Pre) _avg,Hydrated Lime (Pre) _avg,Kibbled Aluminium Sulphate _avg,Liquid Aluminium Sulphate _avg,Liquid Chlorine _avg,Liquid Chlorine (Intermediate) _avg,Liquid Chlorine (Post) _avg,Liquid Chlorine (Pre) _avg,Liquid Polyaluminium Chloride _avg,Microsand _avg,Modified Liquid Alum _avg,Polyelectrolyte AN 910 PWG _avg,Polymer Tianfloc C3080 _avg,Potassium Permanganate _avg,Soda Ash _avg,Soda Ash (Post) _avg,Soda Ash (Pre) _avg,Sodium Aluminosilicate _avg,Sodium Fluoride _avg,Sodium Hypochlorite _avg,Sodium Silico Fluoride _avg,Superfloc C 591 PWG _avg,Activated Carbon _max,Aluminium Chlorohydrate _max,Flopam AH 912 PWG _max,Flopam FA 920 PWG _max,Flopam FL 4520 PWG _max,Flopam FO 4190 PWG _max,Flopam FO 4290 PWG _max,Hydrated Lime _max,Hydrated Lime (Intermediate) _max,Hydrated Lime (Post) _max,Hydrated Lime (Powder) _max,Hydrated Lime (Powder) (Intermediate) _max,Hydrated Lime (Powder) (Post) _max,Hydrated Lime (Powder) (Pre) _max,Hydrated Lime (Pre) _max,Kibbled Aluminium Sulphate _max,Liquid Aluminium Sulphate _max,Liquid Chlorine _max,Liquid Chlorine (Intermediate) _max,Liquid Chlorine (Post) _max,Liquid Chlorine (Pre) _max,Liquid Polyaluminium Chloride  _avg,Microsand _max,Modified Liquid Alum _max,Polyelectrolyte AN 910 PWG _max,Polymer Tianfloc C3080 _max,Potassium Permanganate _max,Soda Ash _max,Soda Ash (Post) _max,Soda Ash (Pre) _max,Sodium Aluminosilicate _max,Sodium Fluoride _max,Sodium Hypochlorite _max,Sodium Silico Fluoride _max,Superfloc C 591 PWG _max,Activated Carbon _min,Aluminium Chlorohydrate _min,Flopam AH 912 PWG _min,Flopam FA 920 PWG _min,Flopam FL 4520 PWG _min,Flopam FO 4190 PWG _min,Flopam FO 4290 PWG _min,Hydrated Lime _min,Hydrated Lime (Intermediate) _min,Hydrated Lime (Post) _min,Hydrated Lime (Powder) _min,Hydrated Lime (Powder) (Intermediate) _min,Hydrated Lime (Powder) (Post) _min,Hydrated Lime (Powder) (Pre) _min,Hydrated Lime (Pre) _min,Kibbled Aluminium Sulphate _min,Liquid Aluminium Sulphate _min,Liquid Chlorine _min,Liquid Chlorine (Intermediate) _min,Liquid Chlorine (Post) _min,Liquid Chlorine (Pre) _min,Liquid Polyaluminium Chloride  _min,Microsand _min,Modified Liquid Alum _min,Polyelectrolyte AN 910 PWG _min,Polymer Tianfloc C3080 _min,Potassium Permanganate _min,Soda Ash _min,Soda Ash (Post) _min,Soda Ash (Pre) _min,Sodium Aluminosilicate _min,Sodium Fluoride _min,Sodium Hypochlorite _min,Sodium Silico Fluoride _min,Superfloc C 591 PWG _min
0,1,Ampang Intake,1/1/2022,,,,,,,,2.1,,,,,,,,13.18,,2.05,,,,,,,,,,10.59,,,,,,0.36,,,,,,,,,2.75,,,,,,,,20.65,,2.97,,,,,,,,,,13.37,,,,,,0.46,,,,,,,,,1.6,,,,,,,,10.24,,0.85,,,,,,,,,,9.2,,,,,,0.2,
1,2,Ampang Intake,1/10/2022,,,,,,,,1.26,,,,,,,,5.95,,1.41,,,,,,,,,,3.91,,,,,,0.26,,,,,,,,,1.4,,,,,,,,8.66,,1.66,,,,,,,,,,4.08,,,,,,0.31,,,,,,,,,1.04,,,,,,,,4.71,,0.93,,,,,,,,,,3.76,,,,,,0.11,
2,2,Ampang Intake,1/11/2022,,,,,,,,1.15,,,,,,,,5.12,,1.3,,,,,,,,,,4.04,,,,,,0.24,,,,,,,,,1.59,,,,,,,,10.96,,1.6,,,,,,,,,,7.72,,,,,,0.38,,,,,,,,,0.99,,,,,,,,4.2,,0.79,,,,,,,,,,3.47,,,,,,0.13,
3,2,Ampang Intake,1/12/2022,,,,,,,,1.14,,,,,,,,4.56,,1.21,,,,,,,,,,3.7,,,,,,0.22,,,,,,,,,1.33,,,,,,,,5.67,,1.46,,,,,,,,,,3.94,,,,,,0.3,,,,,,,,,0.88,,,,,,,,4.32,,0.66,,,,,,,,,,3.57,,,,,,0.11,
4,2,Ampang Intake,1/2/2022,,,,,,,,1.39,,,,,,,,8.12,,1.54,,,,,,,,,,6.61,,,,,,0.26,,,,,,,,,1.67,,,,,,,,8.88,,1.9,,,,,,,,,,6.82,,,,,,0.33,,,,,,,,,1.27,,,,,,,,7.08,,0.86,,,,,,,,,,6.24,,,,,,0.18,
5,2,Ampang Intake,1/3/2022,,,,,,,,1.5,,,,,,,,13.27,,1.67,,,,,,,,,,7.8,,,,,,0.35,,,,,,,,,1.7,,,,,,,,22.98,,2.3,,,,,,,,,,10.32,,,,,,0.48,,,,,,,,,1.27,,,,,,,,8.15,,0.57,,,,,,,,,,6.14,,,,,,0.09,
6,2,Ampang Intake,1/4/2022,,,,,,,,1.33,,,,,,,,6.61,,1.26,,,,,,,,,,5.17,,,,,,0.28,,,,,,,,,1.61,,,,,,,,8.15,,1.69,,,,,,,,,,6.24,,,,,,0.36,,,,,,,,,0.99,,,,,,,,6.07,,0.59,,,,,,,,,,4.71,,,,,,0.09,
7,2,Ampang Intake,1/5/2022,,,,,,,,1.43,,,,,,,,9.12,,1.87,,,,,,,,,,7.64,,,,,,0.35,,,,,,,,,1.83,,,,,,,,15.95,,2.68,,,,,,,,,,12.39,,,,,,0.51,,,,,,,,,1.12,,,,,,,,6.8,,0.92,,,,,,,,,,5.07,,,,,,0.15,
8,2,Ampang Intake,1/6/2022,,,,,,,,1.17,,,,,,,,5.03,,1.39,,,,,,,,,,3.91,,,,,,0.26,,,,,,,,,1.39,,,,,,,,5.2,,1.75,,,,,,,,,,4.04,,,,,,0.33,,,,,,,,,0.95,,,,,,,,4.92,,0.71,,,,,,,,,,3.82,,,,,,0.11,
9,2,Ampang Intake,1/7/2022,,,,,,,,1.13,,,,,,,,5.36,,1.1,,,,,,,,,,4.74,,,,,,0.23,,,,,,,,,1.35,,,,,,,,6.43,,1.46,,,,,,,,,,5.27,,,,,,0.3,,,,,,,,,1.05,,,,,,,,4.63,,0.71,,,,,,,,,,3.82,,,,,,0.11,
