wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Rasa,1/1/2021,39.85,0.04,10.98,2.7,0.54,,
Rasa,2/1/2021,42.16,0.04,6.81,3.11,0.73,,
Rasa,3/1/2021,36.96,0.05,12.34,3.22,0.51,,
Rasa,4/1/2021,37.69,0.04,11.9,2.99,0.59,,
Rasa,5/1/2021,32.7,0.04,5.45,2.68,0.52,,
Rasa,6/1/2021,36.92,0.05,10.03,3.01,0.54,,
Rasa,7/1/2021,31.98,0.04,14.23,3.04,0.6,,
Rasa,8/1/2021,32.66,0.03,16.12,3.29,0.61,,
Rasa,9/1/2021,35.14,0.04,5.85,2.91,0.54,,
Rasa,10/1/2021,31.69,0.04,8.6,3.03,0.56,,
Rasa,11/1/2021,32.03,0.04,9.23,2.86,0.64,,
Rasa,12/1/2021,37.3,0.04,5.61,2.87,0.51,,
Rasa,13/1/2021,32.41,0.04,15.19,3.13,0.62,,
Rasa,14/1/2021,32.44,0.04,9.37,2.98,0.49,,
Rasa,15/1/2021,38.91,0.04,5.27,3.18,0.34,,
Rasa,16/1/2021,29.88,0.04,9.56,2.78,0.34,,
Rasa,17/1/2021,34.83,0.04,15.08,2.69,0.54,,
Rasa,18/1/2021,37.34,0.04,11.51,3.1,0.59,,
Rasa,19/1/2021,35.8,0.04,9.94,3.23,0.53,,
Rasa,20/1/2021,37.82,0.04,5.74,2.9,0.62,,
Rasa,21/1/2021,31.56,0.04,7.72,3.08,0.56,,
Rasa,22/1/2021,33.15,0.04,4.51,2.56,0.63,,
Rasa,23/1/2021,25.75,0.04,4.47,2.94,0,,
Rasa,24/1/2021,25.06,0.04,10.29,3.16,0,,
Rasa,25/1/2021,28.23,0.04,7.99,3.3,2.22,,
Rasa,26/1/2021,32.56,0.04,10.64,3.02,0,,
Rasa,27/1/2021,26.35,0.04,7.34,2.75,0,,
Rasa,28/1/2021,33.05,0.04,6.42,2.76,0,,
Rasa,29/1/2021,30.31,0.04,6.23,3.25,0.66,,
Rasa,30/1/2021,32.88,0.04,9.2,2.9,0,,
Rasa,31/1/2021,33.4,0.04,10.68,3.55,0,,
Rasa,1/2/2021,29.17,0.05,3.66,2.68,2.1,,
Rasa,2/2/2021,28.88,0.04,8.77,2.7,0,,
Rasa,3/2/2021,31,0.04,11.5,2.96,0.99,,
Rasa,4/2/2021,26.53,0.04,5.04,2.48,0,,
Rasa,5/2/2021,29.34,0.03,15.08,2.99,0,,
Rasa,6/2/2021,28.43,0.03,4.93,2.93,2.16,,
Rasa,7/2/2021,28.75,0.04,0,2.89,0,,
Rasa,8/2/2021,29.46,0.04,5.38,2.7,1.07,,
Rasa,9/2/2021,29.76,0.04,20.21,2.63,0.53,,
Rasa,10/2/2021,28.6,0.07,12.86,2.97,0.56,,
Rasa,11/2/2021,24.58,0.04,4.26,3.06,0.53,,
Rasa,12/2/2021,23.94,0.04,0,2.87,0.48,,
Rasa,13/2/2021,27.69,0.04,9.85,3.04,0.5,,
Rasa,14/2/2021,23.1,0.04,0,2.65,0.44,,
Rasa,15/2/2021,22.69,0.03,0,2.83,0.53,,
Rasa,16/2/2021,24.62,0.04,9.9,3.3,0.62,,
Rasa,17/2/2021,30.45,0.03,0,3.09,0.63,,
Rasa,18/2/2021,28.71,0.04,9.89,2.94,0.41,,
Rasa,19/2/2021,28.36,0.04,6.94,2.74,0.48,,
Rasa,20/2/2021,22.61,0.04,6.78,2.74,0.62,,
Rasa,21/2/2021,22.15,0.04,5.54,2.77,0.61,,
Rasa,22/2/2021,19.08,0.05,5.36,2.98,0.57,,
Rasa,23/2/2021,22.92,0.01,0,2.94,0.57,,
Rasa,24/2/2021,24.49,0.01,9.01,2.93,0.55,,
Rasa,25/2/2021,19.88,0.01,9.32,2.88,0.62,,
Rasa,26/2/2021,19.61,0.03,5.31,2.88,0.55,,
Rasa,27/2/2021,21.47,0.03,10.45,2.89,0.51,,
Rasa,28/2/2021,19.44,0.03,4.99,2.62,0.49,,
Rasa,1/3/2021,23.48,0.06,0,3.22,0.5,,
Rasa,2/3/2021,17.34,0.05,6.47,3.2,0.46,,
Rasa,3/3/2021,19.78,0.04,0,2.85,0.4,,
Rasa,4/3/2021,16.33,0.04,4.82,2.63,0.52,,
Rasa,5/3/2021,20.86,0.04,4.82,3.02,0.58,,
Rasa,6/3/2021,20.09,0.04,6.13,3.15,0.56,,
Rasa,7/3/2021,19.32,0.04,11.49,2.52,0.43,,
Rasa,8/3/2021,19.26,0.04,6.74,3.61,0.29,,
Rasa,9/3/2021,16.72,0.04,9.72,2.81,0.46,,
Rasa,10/3/2021,20.55,0.04,7,3.24,0.51,,
Rasa,11/3/2021,23.06,0.04,12.06,2.79,0.48,,
Rasa,12/3/2021,25.64,0.03,0,2.88,0.61,,
Rasa,13/3/2021,23.24,0.04,4.98,2.97,0.61,,
Rasa,14/3/2021,22.1,0.04,0,2.74,0.48,,
Rasa,15/3/2021,21.35,0.04,9.68,2.89,0.45,,
Rasa,16/3/2021,21.62,0.03,9.31,3.16,0,,
Rasa,17/3/2021,23.95,0.04,13.98,2.99,0.59,,
Rasa,18/3/2021,26.69,0.04,4.81,3.05,0.51,,
Rasa,19/3/2021,25.88,0.05,4.39,2.86,0,,
Rasa,20/3/2021,25.52,0.06,9.29,2.92,0.51,,
Rasa,21/3/2021,22.76,0.04,4.41,2.82,0.61,,
Rasa,22/3/2021,23.04,0.07,4.45,3.26,0.62,,
Rasa,23/3/2021,23.95,0.05,4.74,2.89,0.46,,
Rasa,24/3/2021,24.63,0.05,9.82,2.74,0.49,,
Rasa,25/3/2021,21.78,0.06,9.74,3.05,0.55,,
Rasa,26/3/2021,27.92,0.05,4.96,2.67,0.71,,
Rasa,27/3/2021,23.73,0.06,4.55,2.85,0.49,,
Rasa,28/3/2021,22.04,0.05,9.62,2.95,0.51,,
Rasa,29/3/2021,24.64,0.04,9.66,3.18,0.49,,
Rasa,30/3/2021,24.75,0.05,7.03,2.86,0,,
Rasa,31/3/2021,25.25,0.06,6.81,2.8,0.79,,
Rasa,1/4/2021,27.87,0.05,5.48,2.74,0.43,,
Rasa,2/4/2021,24.72,0.04,0,2.72,0.55,,
Rasa,3/4/2021,31,0.06,4.75,3.07,0.7,,
Rasa,4/4/2021,29.32,0.07,9.87,2.98,0.53,,
Rasa,5/4/2021,20.15,0.05,10.26,3.03,0.48,,
Rasa,6/4/2021,20.93,0.04,5.01,2.87,0.6,,
Rasa,7/4/2021,22.97,0.04,6.62,2.84,0.61,,
Rasa,8/4/2021,22.78,0.05,5.41,2.83,0.28,,
Rasa,9/4/2021,23.4,0.05,6.51,2.71,0.63,,
Rasa,10/4/2021,23.93,0.04,6.55,2.96,0.78,,
Rasa,11/4/2021,26.9,0.04,7.26,3.24,0.67,,
Rasa,12/4/2021,23.23,0.05,6.82,3,0.61,,
Rasa,13/4/2021,19.37,0.03,6.75,2.2,0.43,,
Rasa,14/4/2021,27.87,0.04,5.6,2.65,0.5,,
Rasa,15/4/2021,26.67,0.05,7.74,3.1,0.39,,
Rasa,16/4/2021,21.56,0.04,9.43,2.96,0.64,,
Rasa,17/4/2021,23.44,0.04,4.86,4.01,0.49,,
Rasa,18/4/2021,25.82,0.04,6.88,3.39,0.48,,
Rasa,19/4/2021,24.87,0.04,7.42,3.69,0.59,,
Rasa,20/4/2021,23.94,0.04,10.08,3.18,0.63,,
Rasa,21/4/2021,19.79,0.05,4.33,4.09,0.67,,
Rasa,22/4/2021,25.86,0.05,14.96,3.6,0.63,,
Rasa,23/4/2021,20.17,0.04,4.71,2.91,0.67,,
Rasa,24/4/2021,25.35,0.05,10.93,2.8,0.63,,
Rasa,25/4/2021,20.46,0.04,8.92,2.9,0.48,,
Rasa,26/4/2021,16.98,0.04,8.69,3.25,0,,
Rasa,27/4/2021,21.67,0.05,12.96,2.58,0.45,,
Rasa,28/4/2021,23.8,0.06,0,3.14,0.57,,
Rasa,29/4/2021,18.87,0.04,5.87,2.78,0.61,,
Rasa,30/4/2021,20.1,0.04,5.43,2.64,0.4,,
