wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Sungai Selangor Fasa 1,1/1/2021,31.94842814,0.044372817,8.575546919,3.959348258,0.72983378,1.064947605,
Sungai Selangor Fasa 1,2/1/2021,29.72745173,0.087433682,12.05686522,4.210905165,0.674824546,1.049204179,
Sungai Selangor Fasa 1,3/1/2021,24.08249976,0.086008928,11.86994088,3.79129455,0.752944011,1.032107133,
Sungai Selangor Fasa 1,4/1/2021,28.051622,0.087661319,11.9056209,3.409336893,0.947038026,1.051935825,
Sungai Selangor Fasa 1,5/1/2021,24.55558771,0.043849264,9.047579411,3.745697876,0.497616868,1.052382331,
Sungai Selangor Fasa 1,6/1/2021,34.97310568,0.087432764,10.43602805,4.534274255,0.584777434,1.04919317,
Sungai Selangor Fasa 1,7/1/2021,40.59795492,0.088256424,9.991843023,3.270057717,0.635844556,1.059077085,
Sungai Selangor Fasa 1,8/1/2021,20.80469076,0.043343106,13.17541823,3.810188515,0.489627029,1.040234538,
Sungai Selangor Fasa 1,9/1/2021,24.97275294,0.044594202,13.86562747,3.940757282,0.729769867,1.07026084,
Sungai Selangor Fasa 1,10/1/2021,24.80365252,0.044292237,15.05191096,3.699505826,0.77073038,1.063013679,
Sungai Selangor Fasa 1,11/1/2021,26.44453259,0.05,9.454992418,3.545622157,0.681850415,1.057781304,
Sungai Selangor Fasa 1,12/1/2021,24.77937506,0.044248884,9.631827921,3.780038127,0.681497259,1.061973217,
Sungai Selangor Fasa 1,13/1/2021,21.28168977,0.05,11.06292592,3.908900493,0.78362392,1.064084488,
Sungai Selangor Fasa 1,14/1/2021,24.8042238,0.044293257,9.483357619,3.702156917,0.729489048,1.063038163,
Sungai Selangor Fasa 1,15/1/2021,22.83012804,0.043904092,6.492710129,3.661167101,0.676323972,1.285511825,
Sungai Selangor Fasa 1,16/1/2021,32.06532776,0.044535177,10.97229131,3.748866197,0.777203968,1.068844259,
Sungai Selangor Fasa 1,17/1/2021,22.73987507,0.043730529,10.81316828,3.550323584,0.675823017,1.049532696,
Sungai Selangor Fasa 1,18/1/2021,26.74526208,0.044575437,8.62345764,3.669556442,0.8256502,1.069810483,
Sungai Selangor Fasa 1,19/1/2021,19.5700635,0.044477417,9.870838254,3.838659321,0.776871529,1.067458009,
Sungai Selangor Fasa 1,20/1/2021,23.36171482,0.044926375,11.44969797,3.711918212,0.877194602,1.221997391,
Sungai Selangor Fasa 1,21/1/2021,21.57846469,0.044955135,10.19650114,3.659815589,0.591761227,1.078923235,
Sungai Selangor Fasa 1,22/1/2021,28.12267109,0.087883347,11.01859572,3.691229565,0.826394679,1.072176835,
Sungai Selangor Fasa 1,23/1/2021,17.97917652,0.089895883,11.67269756,3.779730639,0.787443883,0.809062943,
Sungai Selangor Fasa 1,24/1/2021,30.54197635,0.044914671,10.36687635,3.887578631,0.69421047,0.862361685,
Sungai Selangor Fasa 1,25/1/2021,28.58521073,0.044664392,8.072179966,3.889323074,0.550375907,1.071945402,
Sungai Selangor Fasa 1,26/1/2021,16.10098538,0.089449919,10.58964223,4.016760848,0.639030135,1.073399025,
Sungai Selangor Fasa 1,27/1/2021,22.98196269,0.044196082,12.61209225,3.966411622,0.63974381,1.060705971,
Sungai Selangor Fasa 1,28/1/2021,28.01738479,0.043777164,12.9830319,4.255549345,0.676199578,1.05065193,
Sungai Selangor Fasa 1,29/1/2021,31.57218981,0.087700527,13.32778609,4.12440948,0.72042087,1.052406327,
Sungai Selangor Fasa 1,30/1/2021,32.47391713,0.045102663,11.88499779,4.104038299,0.696386589,1.082463904,
Sungai Selangor Fasa 1,31/1/2021,25.33766969,0.090491677,13.83058653,3.812756286,0.654149363,1.08590013,
Sungai Selangor Fasa 1,1/2/2021,25.66662023,0.044223629,11.75583839,4.386657215,0.646695016,0.953200513,
Sungai Selangor Fasa 1,2/2/2021,24.67499706,0.065907507,7.16198686,4.237384238,0.757420906,0.950855958,
Sungai Selangor Fasa 1,3/2/2021,24.61974841,0.05,10.43171491,4.164221059,0.678524912,1.005316556,
Sungai Selangor Fasa 1,4/2/2021,26.69950518,0.044439472,10.20650166,3.966890487,0.805031107,1.04134758,
Sungai Selangor Fasa 1,5/2/2021,23.6765258,0.065644864,9.769215929,4.047774373,0.600465588,1.030092463,
Sungai Selangor Fasa 1,6/2/2021,22.40722646,0.043078224,9.437999862,4.522153797,0.646526148,0.930096647,
Sungai Selangor Fasa 1,7/2/2021,19.99420907,0.068254765,12.4647221,3.345624317,0.779268788,0.938536401,
Sungai Selangor Fasa 1,8/2/2021,25.64582758,0.042722602,11.80750034,4.327742876,0.744451183,0.922072227,
Sungai Selangor Fasa 1,9/2/2021,23.45770633,0.043474118,15.22517027,4.486047611,0.716750437,0.938601334,
Sungai Selangor Fasa 1,10/2/2021,22.33020821,0.042973827,10.23335631,4.638725605,0.67441755,0.929205591,
Sungai Selangor Fasa 1,11/2/2021,28.3265501,0.046553025,9.068103351,4.935368933,0.739475877,0.927387392,
Sungai Selangor Fasa 1,12/2/2021,27.18956875,0.065902177,13.15213386,5.06646278,0.692666857,0.947932574,
Sungai Selangor Fasa 1,13/2/2021,26.2400506,0.070191204,10.94644684,4.581836136,0.652129188,0.977062879,
Sungai Selangor Fasa 1,14/2/2021,26.06928497,0.046251131,8.963912506,4.650804936,0.799264719,0.937520668,
