,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda Ash (Pre),Soda Ash (Post),Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Hydrated Lime (Pre),Hydrated Lime (Post),Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Liquid Chlorine (Pre),Liquid Chlorine (Intermediate),Liquid Chlorine (Post),Sodium Aluminosilicate,Sodium Fluoride,Superfloc C 591 PWG,Aluminium Chlorohydrate,Flopam AH 912 PWG,Hydrated Lime (Intermediate),Hydrated Lime (Powder) (Pre),Hydrated Lime (Powder) (Post),Hydrated Lime (Powder),Flopam FO 4190 PWG,Flopam FO 4290 PWG,Polyelectrolyte AN 910 PWG,Microsand,Activated Carbon,Flopam FL 4520 PWG,Modified Liquid Alum,Potassium Permanganate,Polymer Tianfloc C3080,Sodium Hypochlorite,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Hydrated Lime (Post) (mg/L),Liquid Chlorine (Post) (mg/L),Sodium Silico Fluoride (mg/L),Liquid Chlorine (Pre) (mg/L),Hydrated Lime (Pre) (mg/L),Month,Quarter,Water Source,Lembangan,Hydrated_Lime_T
0,Ampang Intake,7.47,2021-04-01,28.02,138.75,0.44,0.4,0.0,8.66,0.0,,,1.73,0.26,0.0,,,8.0,2.09,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,10.09
1,Ampang Intake,7.29,2021-04-02,65.75,327.71,0.09,0.09,0.0,9.85,0.0,,,1.78,0.27,0.0,,,8.02,2.24,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,10.26
2,Ampang Intake,7.35,2021-04-03,19.27,99.58,0.08,0.06,0.0,10.15,0.0,,,1.9,0.29,0.0,,,7.26,2.43,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,9.69
3,Ampang Intake,7.86,2021-04-04,16.75,84.38,0.11,0.1,0.0,13.03,0.0,,,1.88,0.28,0.0,,,8.65,2.39,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,11.040000000000001
4,Ampang Intake,7.22,2021-04-05,18.09,91.46,0.47,0.18,0.0,12.12,0.0,,,1.81,0.3,0.0,,,9.27,2.52,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,11.79
5,Ampang Intake,7.26,2021-04-06,1942.58,9712.92,0.34,0.12,0.0,24.88,0.0,,,2.02,0.35,0.0,,,18.2,2.84,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,21.04
6,Ampang Intake,7.56,2021-04-07,945.75,4728.75,1.65,0.72,0.0,22.74,0.0,,,2.15,0.35,0.0,,,16.37,2.61,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,18.98
7,Ampang Intake,7.09,2021-04-08,126.35,631.67,0.22,0.27,0.0,19.75,0.0,,,2.03,0.34,0.0,,,14.09,2.84,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,16.93
8,Ampang Intake,7.3,2021-04-09,1329.59,6647.83,0.85,0.25,0.0,22.06,0.0,,,2.27,0.35,0.0,,,17.79,3.01,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,20.799999999999997
9,Ampang Intake,7.3,2021-04-10,54.66,272.88,0.35,0.37,0.0,11.23,0.0,,,1.83,0.3,0.0,,,9.51,2.15,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Klang,11.66
