,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda Ash (Pre),Soda Ash (Post),Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Hydrated Lime (Pre),Hydrated Lime (Post),Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Liquid Chlorine (Pre),Liquid Chlorine (Intermediate),Liquid Chlorine (Post),Sodium Aluminosilicate,Sodium Fluoride,Superfloc C 591 PWG,Aluminium Chlorohydrate,Flopam AH 912 PWG,Hydrated Lime (Intermediate),Hydrated Lime (Powder) (Pre),Hydrated Lime (Powder) (Post),Hydrated Lime (Powder),Flopam FO 4190 PWG,Flopam FO 4290 PWG,Polyelectrolyte AN 910 PWG,Microsand,Activated Carbon,Flopam FL 4520 PWG,Modified Liquid Alum,Potassium Permanganate,Polymer Tianfloc C3080,Sodium Hypochlorite,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Hydrated Lime (Post) (mg/L),Liquid Chlorine (Post) (mg/L),Sodium Silico Fluoride (mg/L),Liquid Chlorine (Pre) (mg/L),Hydrated Lime (Pre) (mg/L),Month,Quarter,Water Source,Lembangan,Hydrated_Lime_T
0,Sungai Langat,6.63,2021-04-01,34.23,33.38,0.59,0.32,0.08,0.0,0.0,,,3.93,0.4,31.35,0.0,0.0,0.0,7.45,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.45
1,Sungai Langat,6.66,2021-04-02,26.85,30.67,0.71,0.36,0.12,0.0,0.0,,,3.82,0.39,32.54,0.0,0.0,0.0,7.73,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.73
2,Sungai Langat,6.63,2021-04-03,26.47,36.5,0.74,0.36,0.1,0.0,0.0,,,4.13,0.32,32.55,0.0,0.0,0.0,7.49,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.49
3,Sungai Langat,6.68,2021-04-04,25.01,28.67,0.82,0.25,0.1,0.0,0.0,,,3.77,0.38,32.71,0.0,0.0,0.0,7.98,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.98
4,Sungai Langat,6.72,2021-04-05,62.8,26.92,0.67,0.31,0.09,0.0,0.0,,,3.91,0.34,34.56,0.0,0.0,0.0,7.69,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.69
5,Sungai Langat,6.62,2021-04-06,41.96,50.25,0.7,0.44,0.11,0.0,0.0,,,3.71,0.34,32.54,0.0,0.0,0.0,7.71,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.71
6,Sungai Langat,6.65,2021-04-07,62.87,49.38,0.69,0.29,0.09,0.0,0.0,,,3.76,0.38,33.53,0.0,0.0,0.0,7.98,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.98
7,Sungai Langat,6.66,2021-04-08,56.06,36.38,0.34,0.29,0.05,0.0,0.0,,,5.39,0.36,32.39,0.0,0.0,0.0,6.35,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,6.35
8,Sungai Langat,6.63,2021-04-09,137.82,289.33,0.8,0.4,0.12,0.0,0.0,,,3.99,0.34,32.25,0.0,0.0,0.0,7.69,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.69
9,Sungai Langat,6.58,2021-04-10,53.97,62.38,0.79,0.31,0.1,0.0,0.0,,,3.84,0.34,32.52,0.0,0.0,0.0,7.67,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,4,2,River,Sg Langat,7.67
