,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda Ash (Pre),Soda Ash (Post),Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Hydrated Lime (Pre),Hydrated Lime (Post),Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Liquid Chlorine (Pre),Liquid Chlorine (Intermediate),Liquid Chlorine (Post),Sodium Aluminosilicate,Sodium Fluoride,Superfloc C 591 PWG,Aluminium Chlorohydrate,Flopam AH 912 PWG,Hydrated Lime (Intermediate),Hydrated Lime (Powder) (Pre),Hydrated Lime (Powder) (Post),Hydrated Lime (Powder),Flopam FO 4190 PWG,Flopam FO 4290 PWG,Polyelectrolyte AN 910 PWG,Microsand,Activated Carbon,Flopam FL 4520 PWG,Modified Liquid Alum,Potassium Permanganate,Polymer Tianfloc C3080,Sodium Hypochlorite,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Hydrated Lime (Post) (mg/L),Liquid Chlorine (Post) (mg/L),Sodium Silico Fluoride (mg/L),Liquid Chlorine (Pre) (mg/L),Hydrated Lime (Pre) (mg/L),Month,Quarter,Water Source,Lembangan,Hydrated_Lime_T_Pow
0,Langat 2,7.4,2021-04-01,65.99,8.34,1.1,0.05,0.19,0.0,0.0,,,4.43,0.45,0.0,,,0.0,0.0,33.5,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
1,Langat 2,7.47,2021-04-02,35.49,5.83,0.79,0.04,0.12,0.0,0.0,,,3.69,0.4,0.0,,,0.0,0.0,28.25,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
2,Langat 2,7.41,2021-04-03,25.69,5.5,0.68,0.02,0.1,0.0,0.0,,,4.38,0.4,0.0,,,0.0,0.0,29.5,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
3,Langat 2,7.42,2021-04-04,25.65,5.67,0.69,0.03,0.09,0.0,0.0,,,4.86,0.41,0.0,,,0.0,0.0,29.88,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
4,Langat 2,7.44,2021-04-05,36.12,7.17,0.79,0.06,0.13,0.0,0.0,,,5.36,0.45,0.0,,,0.0,0.0,31.17,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
5,Langat 2,7.47,2021-04-06,62.68,9.5,1.2,0.07,0.19,0.0,0.0,,,5.53,0.5,0.0,,,0.0,0.0,33.0,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
6,Langat 2,7.41,2021-04-07,75.26,10.0,1.08,0.08,0.21,0.0,0.0,,,4.53,0.5,0.0,,,0.0,0.0,34.34,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
7,Langat 2,7.32,2021-04-08,279.55,15.08,3.49,0.31,0.57,0.0,0.0,,,5.89,0.5,0.0,,,0.0,0.0,29.5,,,,0.0,0.0,0.0,0.0,0.03,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,7.0
8,Langat 2,7.28,2021-04-09,171.33,13.67,1.54,0.11,0.4,0.0,0.0,,,5.91,0.48,0.0,,,0.0,0.0,34.0,,,,0.0,0.0,0.0,0.0,0.05,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,6.0
9,Langat 2,7.44,2021-04-10,34.97,5.0,0.81,0.04,0.1,0.0,0.0,,,8.1,0.58,0.0,,,0.0,0.0,31.5,,,,0.0,0.0,0.0,0.0,0.05,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Semantan,6.0
