,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda_Ash_T,Liquid Chlorine,Sodium Silico Fluoride,Month,Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Sodium Aluminosilicate,Liquid Aluminium Sulphate,Liquid_Chlorine_T,Hydrated_Lime_Pow_T,Flopam FO 4290 PWG,Microsand,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Sodium Silico Fluoride (mg/L)
0,Batang Kali,6.77,2021-04-01,28.75,4.96,0.26,0.28,0.02,14.23,0.02,1.05,2.38,0.46,4,,,,,,,,,,,,
1,Batang Kali,6.65,2021-04-02,5.67,0.42,0.22,0.12,0.02,13.33,0.02,1.01,2.36,0.46,4,,,,,,,,,,,,
2,Batang Kali,6.61,2021-04-03,14.72,0.42,0.13,0.22,0.02,16.47,0.02,0.98,2.26,0.44,4,,,,,,,,,,,,
3,Batang Kali,6.6,2021-04-04,9.5,3.42,0.22,0.47,0.04,16.32,0.02,1.03,2.36,0.46,4,,,,,,,,,,,,
4,Batang Kali,6.61,2021-04-05,9.01,0.17,0.14,0.15,0.02,17.09,0.02,1.05,2.35,0.47,4,,,,,,,,,,,,
5,Batang Kali,6.61,2021-04-06,9.03,0.96,0.17,0.14,0.01,16.63,0.02,0.96,2.21,0.43,4,,,,,,,,,,,,
6,Batang Kali,6.68,2021-04-07,33.31,16.5,0.29,0.2,0.02,19.08,0.02,1.02,2.35,0.46,4,,,,,,,,,,,,
7,Batang Kali,6.67,2021-04-08,9.47,11.46,0.25,0.37,0.03,14.69,0.02,1.04,2.41,0.46,4,,,,,,,,,,,,
8,Batang Kali,6.67,2021-04-09,5.0,0.08,0.17,0.0,0.01,14.4,0.02,1.07,2.45,0.48,4,,,,,,,,,,,,
9,Batang Kali,6.67,2021-04-10,3.98,0.42,0.17,0.0,0.01,13.46,0.02,1.05,2.19,0.46,4,,,,,,,,,,,,
10,Batang Kali,6.63,2021-04-11,33.03,7.04,0.16,0.07,0.03,13.46,0.02,1.05,2.19,0.47,4,,,,,,,,,,,,
11,Batang Kali,6.66,2021-04-12,9.09,0.0,0.23,0.13,0.03,13.47,0.02,1.13,2.37,0.5,4,,,,,,,,,,,,
12,Batang Kali,6.7,2021-04-13,8.62,0.17,0.22,0.0,0.03,13.37,0.02,0.97,2.18,0.44,4,,,,,,,,,,,,
13,Batang Kali,6.6,2021-04-14,5.86,0.0,0.21,0.18,0.01,13.53,0.02,1.04,2.21,0.46,4,,,,,,,,,,,,
14,Batang Kali,6.58,2021-04-15,4.63,0.0,0.18,0.08,0.01,19.63,0.02,0.93,2.11,0.42,4,,,,,,,,,,,,
15,Batang Kali,6.73,2021-04-16,50.58,0.0,0.5,0.2,0.09,13.6,0.02,1.02,2.4,0.46,4,,,,,,,,,,,,
16,Batang Kali,6.76,2021-04-17,60.53,14.17,0.34,0.13,0.08,15.54,0.02,1.04,2.35,0.47,4,,,,,,,,,,,,
17,Batang Kali,6.68,2021-04-18,24.8,3.0,0.36,0.0,0.06,15.87,0.02,1.03,2.17,0.46,4,,,,,,,,,,,,
18,Batang Kali,6.73,2021-04-19,9.68,0.0,0.21,0.36,0.02,12.03,0.02,1.08,2.41,0.48,4,,,,,,,,,,,,
19,Batang Kali,6.74,2021-04-20,8.33,0.0,0.33,0.0,0.03,11.98,0.02,1.01,2.3,0.45,4,,,,,,,,,,,,
20,Batang Kali,6.75,2021-04-21,34.11,0.42,0.27,0.19,0.04,17.61,0.02,1.88,2.25,0.44,4,,,,,,,,,,,,
21,Batang Kali,6.78,2021-04-22,24.12,0.83,0.29,0.19,0.05,20.73,0.02,1.89,2.29,0.44,4,,,,,,,,,,,,
22,Batang Kali,6.83,2021-04-23,5.3,0.04,0.15,0.22,0.02,16.23,0.02,0.95,2.18,0.42,4,,,,,,,,,,,,
23,Batang Kali,6.82,2021-04-24,9.76,0.0,0.14,0.15,0.01,12.65,0.02,1.03,2.26,0.45,4,,,,,,,,,,,,
24,Batang Kali,6.8,2021-04-25,31.84,0.0,0.21,0.0,0.04,14.08,0.02,1.09,2.3,0.49,4,,,,,,,,,,,,
25,Batang Kali,6.84,2021-04-26,42.11,0.92,0.24,0.0,0.03,16.06,0.02,1.53,2.33,0.5,4,,,,,,,,,,,,
26,Batang Kali,6.9,2021-04-27,19.24,1.0,0.26,0.19,0.04,13.96,0.02,1.09,2.29,0.49,4,,,,,,,,,,,,
27,Batang Kali,6.9,2021-04-28,11.03,0.0,0.22,0.24,0.03,12.44,0.02,1.11,2.31,0.49,4,,,,,,,,,,,,
28,Batang Kali,6.66,2021-04-29,11.0,0.0,0.23,0.1,0.02,11.66,0.02,1.09,2.29,0.49,4,,,,,,,,,,,,
29,Batang Kali,6.72,2021-04-30,21.04,0.25,0.38,0.32,0.05,21.02,0.02,1.22,2.19,0.47,4,,,,,,,,,,,,
30,Rantau Panjang New,6.37,2021-04-01,53.29,94.25,1.09,0.22,0.24,,,,3.96,0.52,4,,11.0,18.25,0.0,,,,,,,,
31,Rantau Panjang New,6.42,2021-04-02,56.33,104.5,1.16,0.18,0.24,,,,4.05,0.5,4,,10.65,18.41,0.0,,,,,,,,
32,Rantau Panjang New,6.36,2021-04-03,43.67,87.5,1.14,0.21,0.32,,,,4.05,0.5,4,,10.71,16.6,0.0,,,,,,,,
33,Rantau Panjang New,6.37,2021-04-04,51.24,91.52,1.22,0.16,0.15,,,,4.15,0.52,4,,10.98,18.55,0.0,,,,,,,,
34,Rantau Panjang New,6.36,2021-04-05,43.5,101.87,0.91,0.19,0.22,,,,4.06,0.52,4,,10.91,17.69,0.0,,,,,,,,
35,Rantau Panjang New,6.36,2021-04-06,173.25,218.63,1.34,0.13,0.13,,,,4.01,0.51,4,,10.72,23.44,0.0,,,,,,,,
36,Rantau Panjang New,6.33,2021-04-07,235.04,262.5,1.71,0.28,0.35,,,,3.95,0.51,4,,10.72,26.22,0.0,,,,,,,,
37,Rantau Panjang New,6.32,2021-04-08,159.96,247.96,1.26,0.19,0.22,,,,4.02,0.5,4,,10.82,25.24,0.0,,,,,,,,
38,Rantau Panjang New,6.33,2021-04-09,121.67,170.46,1.23,0.23,0.22,,,,4.01,0.49,4,,11.02,23.79,0.0,,,,,,,,
39,Rantau Panjang New,6.31,2021-04-10,154.67,279.33,1.4,0.25,0.32,,,,3.98,0.5,4,,10.56,25.5,0.0,,,,,,,,
40,Rantau Panjang New,6.32,2021-04-11,97.79,179.42,0.82,0.24,0.18,,,,3.98,0.5,4,,10.79,22.59,0.0,,,,,,,,
41,Rantau Panjang New,6.3,2021-04-12,277.21,374.33,1.2,0.45,0.49,,,,4.08,0.5,4,,10.99,28.07,0.0,,,,,,,,
42,Rantau Panjang New,6.25,2021-04-13,367.96,460.96,1.37,0.6,0.48,,,,3.95,0.5,4,,10.93,29.96,0.0,,,,,,,,
43,Rantau Panjang New,6.29,2021-04-14,364.17,469.04,1.63,0.51,0.54,,,,4.01,0.5,4,,10.78,28.5,0.0,,,,,,,,
44,Rantau Panjang New,6.33,2021-04-15,357.5,467.29,1.59,0.45,0.6,,,,3.93,0.5,4,,10.88,30.43,0.0,,,,,,,,
45,Rantau Panjang New,6.25,2021-04-16,241.88,353.25,1.47,0.38,0.3,,,,3.95,0.5,4,,10.83,29.22,0.0,,,,,,,,
46,Rantau Panjang New,6.34,2021-04-17,250.25,343.79,1.69,0.38,0.41,,,,3.96,0.5,4,,10.88,28.63,0.0,,,,,,,,
47,Rantau Panjang New,6.24,2021-04-18,359.58,390.63,1.62,0.46,0.39,,,,4.08,0.5,4,,10.95,37.78,0.0,,,,,,,,
48,Rantau Panjang New,6.31,2021-04-19,257.88,379.75,1.61,0.39,0.4,,,,4.07,0.5,4,,10.94,30.97,0.0,,,,,,,,
49,Rantau Panjang New,6.37,2021-04-20,76.65,157.04,1.2,0.22,0.25,,,,4.03,0.51,4,,10.92,22.04,0.0,,,,,,,,
50,Rantau Panjang New,6.36,2021-04-21,137.42,228.79,1.14,0.25,0.28,,,,4.05,0.5,4,,10.81,22.91,0.0,,,,,,,,
51,Rantau Panjang New,6.35,2021-04-22,230.54,423.63,1.61,0.36,0.45,,,,4.06,0.51,4,,10.92,30.82,0.0,,,,,,,,
52,Rantau Panjang New,6.41,2021-04-23,84.96,160.5,1.11,0.24,0.21,,,,4.02,0.51,4,,10.88,21.51,0.0,,,,,,,,
53,Rantau Panjang New,6.41,2021-04-24,65.79,138.54,1.19,0.3,0.21,,,,3.96,0.5,4,,10.76,20.93,0.0,,,,,,,,
54,Rantau Panjang New,6.38,2021-04-25,134.17,242.13,1.19,0.3,0.19,,,,4.03,0.51,4,,10.91,24.45,0.0,,,,,,,,
55,Rantau Panjang New,6.42,2021-04-26,75.08,163.75,1.38,0.37,0.27,,,,4.09,0.51,4,,10.89,21.37,0.0,,,,,,,,
56,Rantau Panjang New,6.27,2021-04-27,382.96,509.58,1.83,0.42,0.4,,,,4.03,0.51,4,,10.91,33.96,0.0,,,,,,,,
57,Rantau Panjang New,6.34,2021-04-28,165.79,286.38,1.32,0.34,0.32,,,,4.03,0.51,4,,10.91,25.92,0.0,,,,,,,,
58,Rantau Panjang New,6.32,2021-04-29,141.13,241.13,1.34,0.35,0.32,,,,3.99,0.51,4,,10.81,24.92,0.0,,,,,,,,
59,Rantau Panjang New,6.31,2021-04-30,321.08,528.42,1.54,0.44,0.4,,,,4.0,0.51,4,,10.82,27.65,0.0,,,,,,,,
60,Rantau Panjang Old,6.5,2021-04-01,66.96,200.0,1.28,0.36,0.1,,,,6.63,0.5,4,,2.74,18.21,0.0,,,,,,,,
