,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Flopam FA 920 PWG,Kibbled Aluminium Sulphate,Liquid Chlorine,Soda_Ash_T,Sodium Silico Fluoride,Month,Hydrated Lime,Soda Ash,Liquid Polyaluminium Chloride,Sodium Aluminosilicate,Flopam FO 4290 PWG,Hydrated_Lime_Pow_T,Liquid Aluminium Sulphate,Liquid_Chlorine_T,Microsand,Flopam FO 4190 PWG,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L)
0,Batang Kali,6.77,2021-04-01,28.75,4.96,0.26,0.28,0.02,0.02,8.18,2.22,1.73,0.49,4.0,,,,,,,,,,,,
1,Batang Kali,6.65,2021-04-02,5.67,0.42,0.22,0.12,0.02,0.02,7.89,2.21,1.01,0.54,4.0,,,,,,,,,,,,
2,Batang Kali,6.61,2021-04-03,14.72,0.42,0.13,0.22,0.02,0.02,12.43,2.25,1.0,0.45,4.0,,,,,,,,,,,,
3,Batang Kali,6.6,2021-04-04,9.5,3.42,0.22,0.47,0.04,0.02,16.32,2.36,1.03,0.46,4.0,,,,,,,,,,,,
4,Batang Kali,6.61,2021-04-05,9.01,0.17,0.14,0.15,0.02,0.02,11.52,2.2,1.06,0.47,4.0,,,,,,,,,,,,
5,Batang Kali,6.61,2021-04-06,9.03,0.96,0.17,0.14,0.01,0.02,13.61,2.12,9.34,0.45,4.0,,,,,,,,,,,,
6,Batang Kali,6.68,2021-04-07,33.31,16.5,0.29,0.2,0.02,0.02,10.97,2.13,1.01,0.45,4.0,,,,,,,,,,,,
7,Batang Kali,6.67,2021-04-08,9.47,11.46,0.25,0.37,0.03,0.02,16.88,2.17,0.93,0.44,4.0,,,,,,,,,,,,
8,Batang Kali,6.67,2021-04-09,5.0,0.08,0.17,0.0,0.01,0.02,7.51,2.89,1.03,0.52,4.0,,,,,,,,,,,,
9,Batang Kali,6.67,2021-04-10,3.98,0.42,0.17,0.0,0.01,0.02,8.58,2.66,1.04,0.52,4.0,,,,,,,,,,,,
10,Batang Kali,6.63,2021-04-11,33.03,7.04,0.16,0.07,0.03,0.02,15.88,2.74,1.02,0.52,4.0,,,,,,,,,,,,
11,Batang Kali,6.66,2021-04-12,9.09,0.0,0.23,0.13,0.03,0.03,9.67,2.67,1.97,0.46,4.0,,,,,,,,,,,,
12,Batang Kali,6.7,2021-04-13,8.62,0.17,0.22,0.0,0.03,0.02,13.37,2.18,0.97,0.44,4.0,,,,,,,,,,,,
13,Batang Kali,6.6,2021-04-14,5.86,0.0,0.21,0.18,0.01,0.02,13.53,2.21,1.04,0.46,4.0,,,,,,,,,,,,
14,Batang Kali,6.58,2021-04-15,4.63,0.0,0.18,0.08,0.01,0.02,19.63,2.11,0.93,0.42,4.0,,,,,,,,,,,,
15,Batang Kali,6.73,2021-04-16,50.58,0.0,0.5,0.2,0.09,0.02,13.6,2.4,1.02,0.46,4.0,,,,,,,,,,,,
16,Batang Kali,6.76,2021-04-17,60.53,14.17,0.34,0.13,0.08,0.02,15.54,2.35,1.04,0.47,4.0,,,,,,,,,,,,
17,Batang Kali,6.68,2021-04-18,24.8,3.0,0.36,0.0,0.06,0.02,15.87,2.17,1.03,0.46,4.0,,,,,,,,,,,,
18,Batang Kali,6.73,2021-04-19,9.68,0.0,0.21,0.36,0.02,0.02,12.03,2.41,1.08,0.48,4.0,,,,,,,,,,,,
19,Batang Kali,6.74,2021-04-20,8.33,0.0,0.33,0.0,0.03,0.02,11.98,2.3,1.01,0.45,4.0,,,,,,,,,,,,
20,Batang Kali,6.75,2021-04-21,34.11,0.42,0.27,0.19,0.04,0.02,17.61,2.25,1.88,0.44,4.0,,,,,,,,,,,,
21,Batang Kali,6.78,2021-04-22,24.12,0.83,0.29,0.19,0.05,0.02,20.73,2.29,1.89,0.44,4.0,,,,,,,,,,,,
22,Batang Kali,6.83,2021-04-23,5.3,0.04,0.15,0.22,0.02,0.02,16.23,2.18,0.95,0.42,4.0,,,,,,,,,,,,
23,Batang Kali,6.82,2021-04-24,9.76,0.0,0.14,0.15,0.01,0.02,12.65,2.26,1.03,0.45,4.0,,,,,,,,,,,,
24,Batang Kali,6.8,2021-04-25,31.84,0.0,0.21,0.0,0.04,0.02,14.08,2.3,1.09,0.49,4.0,,,,,,,,,,,,
25,Batang Kali,6.84,2021-04-26,42.11,0.92,0.24,0.0,0.03,0.02,16.06,2.33,1.53,0.5,4.0,,,,,,,,,,,,
26,Batang Kali,6.9,2021-04-27,19.24,1.0,0.26,0.19,0.04,0.02,13.96,2.29,1.09,0.49,4.0,,,,,,,,,,,,
27,Batang Kali,6.9,2021-04-28,11.03,0.0,0.22,0.24,0.03,0.02,12.44,2.31,1.11,0.49,4.0,,,,,,,,,,,,
28,Batang Kali,6.66,2021-04-29,11.0,0.0,0.23,0.1,0.02,0.02,11.66,2.29,1.09,0.49,4.0,,,,,,,,,,,,
29,Batang Kali,6.72,2021-04-30,21.04,0.25,0.38,0.32,0.05,0.02,21.02,2.19,1.22,0.47,4.0,,,,,,,,,,,,
30,Rantau Panjang New,6.37,2021-04-01,53.29,94.25,1.09,0.22,0.24,,,4.57,,0.61,4.0,10.9,,25.26,0.0,,,,,,,,
31,Rantau Panjang New,6.42,2021-04-02,56.33,104.5,1.16,0.18,0.24,,,3.69,,0.55,4.0,10.82,,18.94,0.0,,,,,,,,
32,Rantau Panjang New,6.36,2021-04-03,43.67,87.5,1.14,0.21,0.32,,,3.73,,0.56,4.0,10.66,,17.16,0.0,,,,,,,,
33,Rantau Panjang New,6.37,2021-04-04,51.24,91.52,1.22,0.16,0.15,,,4.15,,0.52,4.0,10.98,,18.55,0.0,,,,,,,,
34,Rantau Panjang New,6.36,2021-04-05,43.5,101.87,0.91,0.19,0.22,,,3.95,,0.5,4.0,10.71,,26.71,0.0,,,,,,,,
35,Rantau Panjang New,6.36,2021-04-06,173.25,218.63,1.34,0.13,0.13,,,3.96,,0.5,4.0,10.77,,23.32,0.0,,,,,,,,
36,Rantau Panjang New,6.33,2021-04-07,235.04,262.5,1.71,0.28,0.35,,,3.99,,0.51,4.0,10.8,,18.26,0.0,,,,,,,,
37,Rantau Panjang New,6.32,2021-04-08,159.96,247.96,1.26,0.19,0.22,,,3.9,,0.52,4.0,10.9,,23.82,0.0,,,,,,,,
38,Rantau Panjang New,6.33,2021-04-09,121.67,170.46,1.23,0.23,0.22,,,3.94,,0.47,4.0,10.67,,17.53,0.0,,,,,,,,
39,Rantau Panjang New,6.31,2021-04-10,154.67,279.33,1.4,0.25,0.32,,,4.04,,0.52,4.0,11.1,,18.79,0.0,,,,,,,,
40,Rantau Panjang New,6.32,2021-04-11,97.79,179.42,0.82,0.24,0.18,,,4.0,,0.51,4.0,10.95,,24.15,0.0,,,,,,,,
41,Rantau Panjang New,6.3,2021-04-12,277.21,374.33,1.2,0.45,0.49,,,3.96,,0.52,4.0,11.04,,18.6,0.0,,,,,,,,
42,Rantau Panjang New,6.25,2021-04-13,367.96,460.96,1.37,0.6,0.48,,,3.95,,0.5,4.0,10.93,,29.96,0.0,,,,,,,,
43,Rantau Panjang New,6.29,2021-04-14,364.17,469.04,1.63,0.51,0.54,,,4.01,,0.5,4.0,10.78,,28.5,0.0,,,,,,,,
44,Rantau Panjang New,6.33,2021-04-15,357.5,467.29,1.59,0.45,0.6,,,3.93,,0.5,4.0,10.88,,30.43,0.0,,,,,,,,
45,Rantau Panjang New,6.25,2021-04-16,241.88,353.25,1.47,0.38,0.3,,,3.95,,0.5,4.0,10.83,,29.22,0.0,,,,,,,,
46,Rantau Panjang New,6.34,2021-04-17,250.25,343.79,1.69,0.38,0.41,,,3.96,,0.5,4.0,10.88,,28.63,0.0,,,,,,,,
47,Rantau Panjang New,6.24,2021-04-18,359.58,390.63,1.62,0.46,0.39,,,4.08,,0.5,4.0,10.95,,37.78,0.0,,,,,,,,
48,Rantau Panjang New,6.31,2021-04-19,257.88,379.75,1.61,0.39,0.4,,,4.07,,0.5,4.0,10.94,,30.97,0.0,,,,,,,,
49,Rantau Panjang New,6.37,2021-04-20,76.65,157.04,1.2,0.22,0.25,,,4.03,,0.51,4.0,10.92,,22.04,0.0,,,,,,,,
50,Rantau Panjang New,6.36,2021-04-21,137.42,228.79,1.14,0.25,0.28,,,4.05,,0.5,4.0,10.81,,22.91,0.0,,,,,,,,
51,Rantau Panjang New,6.35,2021-04-22,230.54,423.63,1.61,0.36,0.45,,,4.06,,0.51,4.0,10.92,,30.82,0.0,,,,,,,,
52,Rantau Panjang New,6.41,2021-04-23,84.96,160.5,1.11,0.24,0.21,,,4.02,,0.51,4.0,10.88,,21.51,0.0,,,,,,,,
53,Rantau Panjang New,6.41,2021-04-24,65.79,138.54,1.19,0.3,0.21,,,3.96,,0.5,4.0,10.76,,20.93,0.0,,,,,,,,
54,Rantau Panjang New,6.38,2021-04-25,134.17,242.13,1.19,0.3,0.19,,,4.03,,0.51,4.0,10.91,,24.45,0.0,,,,,,,,
55,Rantau Panjang New,6.42,2021-04-26,75.08,163.75,1.38,0.37,0.27,,,4.09,,0.51,4.0,10.89,,21.37,0.0,,,,,,,,
56,Rantau Panjang New,6.27,2021-04-27,382.96,509.58,1.83,0.42,0.4,,,4.03,,0.51,4.0,10.91,,33.96,0.0,,,,,,,,
57,Rantau Panjang New,6.34,2021-04-28,165.79,286.38,1.32,0.34,0.32,,,4.03,,0.51,4.0,10.91,,25.92,0.0,,,,,,,,
58,Rantau Panjang New,6.32,2021-04-29,141.13,241.13,1.34,0.35,0.32,,,3.99,,0.51,4.0,10.81,,24.92,0.0,,,,,,,,
59,Rantau Panjang New,6.31,2021-04-30,321.08,528.42,1.54,0.44,0.4,,,4.0,,0.51,4.0,10.82,,27.65,0.0,,,,,,,,
60,Rantau Panjang Old,6.5,2021-04-01,66.96,200.0,1.28,0.36,0.1,,,6.34,,0.49,4.0,2.75,,25.36,0.0,,,,,,,,
61,Rantau Panjang Old,6.52,2021-04-02,60.46,200.0,0.87,0.49,0.15,,,6.57,,0.49,4.0,2.74,,18.5,0.0,,,,,,,,
62,Rantau Panjang Old,6.48,2021-04-03,62.05,200.0,0.95,0.25,0.14,,,6.47,,0.52,4.0,2.71,,18.41,0.0,,,,,,,,
63,Rantau Panjang Old,6.52,2021-04-04,67.9,200.0,0.72,0.48,0.09,,,6.38,,0.48,4.0,2.71,,18.11,0.0,,,,,,,,
64,Rantau Panjang Old,6.49,2021-04-05,64.92,200.0,1.0,0.4,0.1,,,6.67,,0.51,4.0,2.8,,22.61,0.0,,,,,,,,
65,Rantau Panjang Old,6.51,2021-04-06,159.14,338.1,0.91,0.42,0.19,,,6.25,,0.48,4.0,2.63,,20.22,0.0,,,,,,,,
66,Rantau Panjang Old,6.51,2021-04-07,332.67,658.33,0.92,0.53,0.21,,,6.73,,0.52,4.0,2.88,,18.38,0.0,,,,,,,,
