,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda Ash (Pre),Soda Ash (Post),Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Hydrated Lime (Pre),Hydrated Lime (Post),Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Liquid Chlorine (Pre),Liquid Chlorine (Intermediate),Liquid Chlorine (Post),Sodium Aluminosilicate,Sodium Fluoride,Superfloc C 591 PWG,Aluminium Chlorohydrate,Flopam AH 912 PWG,Hydrated Lime (Intermediate),Hydrated Lime (Powder) (Pre),Hydrated Lime (Powder) (Post),Hydrated Lime (Powder),Flopam FO 4190 PWG,Flopam FO 4290 PWG,Polyelectrolyte AN 910 PWG,Microsand,Activated Carbon,Flopam FL 4520 PWG,Modified Liquid Alum,Potassium Permanganate,Polymer Tianfloc C3080,Sodium Hypochlorite,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Hydrated Lime (Post) (mg/L),Liquid Chlorine (Post) (mg/L),Sodium Silico Fluoride (mg/L),Liquid Chlorine (Pre) (mg/L),Hydrated Lime (Pre) (mg/L),Month,Quarter,Water Source,Lembangan,Soda_Ash_T
0,Sungai Tengi,5.8,2021-04-01,14.23,80.79,1.05,0.21,0.07,9.0,0.0,15.0,7.2,3.24,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.57,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,22.2
1,Sungai Tengi,5.84,2021-04-02,14.15,97.7,1.15,0.2,0.04,9.0,0.0,15.0,7.2,3.5,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.57,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,22.2
2,Sungai Tengi,5.92,2021-04-03,13.28,116.25,1.22,0.2,0.03,7.0,0.0,8.0,7.2,3.5,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.51,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,15.2
3,Sungai Tengi,6.02,2021-04-04,12.44,102.08,1.16,0.04,0.05,7.0,0.0,9.0,7.59,3.65,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.53,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,16.59
4,Sungai Tengi,6.11,2021-04-05,11.93,86.83,1.28,0.16,0.04,7.0,0.0,9.0,8.1,3.56,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.55,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,17.1
5,Sungai Tengi,5.9,2021-04-06,84.12,386.5,1.74,0.54,0.14,15.75,0.0,15.25,9.63,3.7,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.54,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,24.880000000000003
6,Sungai Tengi,5.69,2021-04-07,25.8,125.0,1.14,0.24,0.06,11.92,0.0,13.0,9.11,3.6,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.52,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,22.11
7,Sungai Tengi,5.75,2021-04-08,86.65,303.35,1.81,0.45,0.2,15.0,0.0,13.7,7.86,3.64,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.51,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,21.56
8,Sungai Tengi,5.66,2021-04-09,110.2,469.17,1.5,0.45,0.16,19.25,0.0,16.33,7.09,3.52,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.52,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,23.419999999999998
9,Sungai Tengi,5.52,2021-04-10,26.64,180.85,0.94,0.25,0.07,12.0,0.0,12.4,7.27,3.44,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.57,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,19.67
10,Sungai Tengi,5.66,2021-04-11,22.14,136.92,1.06,0.21,0.05,11.83,0.0,12.92,5.61,3.45,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.62,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,18.53
11,Sungai Tengi,5.75,2021-04-12,19.67,137.66,1.09,0.13,0.05,10.0,0.0,12.0,5.61,3.5,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.51,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,17.61
12,Sungai Tengi,5.49,2021-04-13,247.03,778.17,1.56,0.43,0.21,27.33,0.0,18.22,6.93,3.46,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.49,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,25.15
13,Sungai Tengi,5.46,2021-04-14,27.86,125.1,1.1,0.18,0.08,11.8,0.0,14.6,6.5,3.47,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,21.1
14,Sungai Tengi,5.41,2021-04-15,126.25,135.21,1.17,0.54,0.16,18.83,0.0,16.67,6.51,3.27,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.55,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,23.18
15,Sungai Tengi,5.35,2021-04-16,30.01,157.5,1.02,0.16,0.08,12.42,0.0,15.0,7.48,3.19,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.53,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,22.48
16,Sungai Tengi,5.4,2021-04-17,141.27,332.13,1.45,0.62,0.21,19.42,0.0,17.67,6.9,3.18,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.54,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,4,2,River,Sg Tengi,24.57
