,pH_avg_chpctm,Turbidity_avg_chpctm,Color_avg_chpctm,Iron_avg_chpctm,Ammonia_avg_chpctm,Manganese_avg_chpctm,Disinfectant_chpctm,Flouridation_chpctm,Coagulant_chpctm,pH Adjuster_chpctm,Date,wtp,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Disinfectant,Coagulant,Flouridation,pH Adjuster
0,2.0689655172413843,4.97931912185809,8.735332464146023,-13.385826771653536,-28.571428571428577,40.74074074074073,23.398328690807794,-9.999999999999998,0.0,40.0,2021-04-01,Langat 2,7.4,65.99,8.34,1.1,0.05,0.19,4.43,33.5,0.45,7.0
1,3.0344827586206864,-43.54120267260579,-23.989569752281614,-37.79527559055118,-42.85714285714286,-11.11111111111112,2.7855153203342646,-19.999999999999996,-15.671641791044777,40.0,2021-04-02,Langat 2,7.47,35.49,5.83,0.79,0.04,0.12,3.69,28.25,0.4,7.0
2,2.2068965517241397,-59.13140311804009,-28.292046936114733,-46.45669291338582,-71.42857142857143,-25.925925925925924,22.00557103064067,-19.999999999999996,-11.940298507462686,40.0,2021-04-03,Langat 2,7.41,25.69,5.5,0.68,0.02,0.1,4.38,29.5,0.4,7.0
3,2.3448275862068955,-59.195036589245944,-26.07561929595828,-45.66929133858268,-57.14285714285715,-33.33333333333334,35.37604456824514,-18.000000000000004,-10.805970149253733,40.0,2021-04-04,Langat 2,7.42,25.65,5.67,0.69,0.03,0.09,4.86,29.88,0.41,7.0
4,2.620689655172419,-42.53897550111359,-6.51890482398957,-37.79527559055118,-14.285714285714295,-3.703703703703707,49.303621169916454,-9.999999999999998,-6.95522388059701,40.0,2021-04-05,Langat 2,7.44,36.12,7.17,0.79,0.06,0.13,5.36,31.17,0.45,7.0
5,3.0344827586206864,-0.28635062042634385,23.859191655801826,-5.511811023622052,0.0,40.74074074074073,54.038997214484695,0.0,-1.4925373134328357,40.0,2021-04-06,Langat 2,7.47,62.68,9.5,1.2,0.07,0.19,5.53,33.0,0.5,7.0
6,2.2068965517241397,19.726376073814837,30.378096479791395,-14.960629921259837,14.285714285714276,55.555555555555536,26.18384401114207,0.0,2.5074626865671745,40.0,2021-04-07,Langat 2,7.41,75.26,10.0,1.08,0.08,0.21,4.53,34.34,0.5,7.0
7,0.9655172413793143,344.7184218899141,96.61016949152543,174.80314960629923,342.8571428571428,322.2222222222222,64.06685236768801,0.0,-11.940298507462686,40.0,2021-04-08,Langat 2,7.32,279.55,15.08,3.49,0.31,0.57,5.89,29.5,0.5,7.0
8,0.41379310344827924,172.55806554247536,78.22685788787483,21.25984251968504,57.14285714285713,196.2962962962963,64.6239554317549,-4.0000000000000036,1.4925373134328357,20.0,2021-04-09,Langat 2,7.28,171.33,13.67,1.54,0.11,0.4,5.91,34.0,0.48,6.0
9,2.620689655172419,-44.368437798281896,-34.8109517601043,-36.22047244094488,-42.85714285714286,-25.925925925925924,125.6267409470752,15.999999999999993,-5.970149253731343,20.0,2021-04-10,Langat 2,7.44,34.97,5.0,0.81,0.04,0.1,8.1,31.5,0.58,6.0
10,2.2068965517241397,-38.84823417117404,-14.21121251629726,-41.73228346456693,-28.571428571428577,-11.11111111111112,56.82451253481895,0.0,-5.970149253731343,20.0,2021-04-11,Langat 2,7.41,38.44,6.58,0.74,0.05,0.12,5.63,31.5,0.5,6.0
11,1.9310344827586163,-67.08558701877188,-41.329856584093875,-51.96850393700787,-57.14285714285715,-62.96296296296296,65.73816155988858,-4.0000000000000036,-5.970149253731343,20.0,2021-04-12,Langat 2,7.39,20.69,4.5,0.61,0.03,0.05,5.95,31.5,0.48,6.0
12,1.5172413793103492,-17.881005408845056,4.302477183833117,-38.582677165354326,-28.571428571428577,-48.148148148148145,65.45961002785518,0.0,-2.9850746268656714,30.0,2021-04-13,Langat 2,7.36,51.62,8.0,0.78,0.05,0.07,5.94,32.5,0.5,6.5
13,0.5517241379310349,36.95513840279988,39.113428943937414,-17.32283464566929,-14.285714285714295,-11.11111111111112,64.6239554317549,-4.0000000000000036,-5.970149253731343,30.0,2021-04-14,Langat 2,7.29,86.09,10.67,1.05,0.06,0.12,5.91,31.5,0.48,6.5
14,0.27586206896551135,45.70474069360485,27.11864406779661,-11.811023622047237,14.285714285714276,40.74074074074073,62.95264623955431,0.0,-5.970149253731343,30.0,2021-04-15,Langat 2,7.27,91.59,9.75,1.12,0.08,0.19,5.85,31.5,0.5,6.5
15,-0.27586206896551135,33.105313394845695,20.59973924380704,-22.047244094488192,0.0,11.1111111111111,45.96100278551533,0.0,25.37313432835821,20.0,2021-04-16,Langat 2,7.23,83.67,9.25,0.99,0.07,0.15,5.24,42.0,0.5,6.0
16,-0.5517241379310349,36.891504931594014,20.59973924380704,-20.47244094488189,0.0,3.703703703703707,45.96100278551533,0.0,19.402985074626866,20.0,2021-04-17,Langat 2,7.21,86.05,9.25,1.01,0.07,0.14,5.24,40.0,0.5,6.0
17,-1.2413793103448256,79.36684696150175,34.680573663624514,-13.385826771653536,57.14285714285713,33.33333333333332,45.40389972144847,0.0,28.35820895522388,20.0,2021-04-18,Langat 2,7.16,112.75,10.33,1.1,0.11,0.18,5.22,43.0,0.5,6.0
18,-0.6896551724137907,3.7384664333439304,-2.2164276401564527,-35.43307086614173,28.57142857142855,11.1111111111111,45.68245125348191,0.0,25.37313432835821,20.0,2021-04-19,Langat 2,7.2,65.21,7.5,0.82,0.09,0.15,5.23,42.0,0.5,6.0
