WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Sungai Selisek,2/1/2022,pH,6.65,6.73,6.84
Sungai Selisek,2/1/2022,Color,120,278.79,789
Sungai Selisek,2/1/2022,Turbidity,30.1,77.17,212
Sungai Selisek,2/1/2022,Ferum/Iron (Fe),0.5,0.71,0.86
Sungai Selisek,2/1/2022,Ammonia (NH4),0.09,0.12,0.16
Sungai Selisek,2/1/2022,Manganese (Mn),0.08,0.11,0.13
Sungai Lolo - Baru,1/1/2022,pH,7.21,7.27,7.31
Sungai Lolo - Baru,1/1/2022,Color,0,0,0
Sungai Lolo - Baru,1/1/2022,Turbidity,2.41,2.86,3.16
Sungai Lolo - Baru,1/1/2022,Ferum/Iron (Fe),0,0,0
Sungai Lolo - Baru,1/1/2022,Ammonia (NH4),0,0,0
Sungai Lolo - Baru,1/1/2022,Manganese (Mn),0,0,0
Wangsa Maju,1/1/2022,pH,6.22,6.28,6.33
Wangsa Maju,1/1/2022,Color,123,143.13,156
Wangsa Maju,1/1/2022,Turbidity,16.2,18.47,20.6
Wangsa Maju,1/1/2022,Ferum/Iron (Fe),0.42,0.58,0.72
Wangsa Maju,1/1/2022,Ammonia (NH4),0.59,0.59,0.59
Wangsa Maju,1/1/2022,Manganese (Mn),0.05,0.05,0.05
Sungai Selangor Fasa 3,2/1/2022,pH,5.51,5.58,5.62
Sungai Selangor Fasa 3,2/1/2022,Color,26,35.92,42
Sungai Selangor Fasa 3,2/1/2022,Turbidity,39.7,136.61,464
Sungai Selangor Fasa 3,2/1/2022,Ferum/Iron (Fe),1.04,1.54,3.12
Sungai Selangor Fasa 3,2/1/2022,Ammonia (NH4),0.06,0.11,0.24
Sungai Selangor Fasa 3,2/1/2022,Manganese (Mn),0.09,0.19,0.45
Sungai Selangor Fasa 1,2/1/2022,pH,6.33,6.37,6.41
Sungai Selangor Fasa 1,2/1/2022,Color,481,1332.58,5440
Sungai Selangor Fasa 1,2/1/2022,Turbidity,55.8,202.32,1058
Sungai Selangor Fasa 1,2/1/2022,Ferum/Iron (Fe),1.15,2.1,2.75
Sungai Selangor Fasa 1,2/1/2022,Ammonia (NH4),0.06,0.07,0.09
Sungai Selangor Fasa 1,2/1/2022,Manganese (Mn),0.17,0.24,0.29
Ampang Intake,2/1/2022,pH,6.17,6.3,6.42
Ampang Intake,2/1/2022,Color,125,390.42,2135
Ampang Intake,2/1/2022,Turbidity,24.5,78.04,427
Ampang Intake,2/1/2022,Ferum/Iron (Fe),0.27,0.27,0.27
Ampang Intake,2/1/2022,Ammonia (NH4),0.28,0.28,0.28
Ampang Intake,2/1/2022,Manganese (Mn),0,0,0
Sungai Selangor Fasa 2,3/1/2022,pH,6,6.23,6.6
Sungai Selangor Fasa 2,3/1/2022,Color,6,10.75,19
Sungai Selangor Fasa 2,3/1/2022,Turbidity,80,241.67,880
Sungai Selangor Fasa 2,3/1/2022,Ferum/Iron (Fe),1.95,2.54,3.62
Sungai Selangor Fasa 2,3/1/2022,Ammonia (NH4),0.18,0.31,0.74
Sungai Selangor Fasa 2,3/1/2022,Manganese (Mn),0.21,0.4,0.62
Langat 2,2/1/2022,pH,6.65,6.77,6.86
Langat 2,2/1/2022,Color,16,23.67,36
Langat 2,2/1/2022,Turbidity,317,777.17,1702
Langat 2,2/1/2022,Ferum/Iron (Fe),5.11,5.62,6.12
Langat 2,2/1/2022,Ammonia (NH4),0.45,0.69,0.92
Langat 2,2/1/2022,Manganese (Mn),0.88,1.53,2.17
Kalumpang,2/1/2022,pH,6.78,6.92,7.05
Kalumpang,2/1/2022,Color,3,6.58,9
Kalumpang,2/1/2022,Turbidity,1.57,1.97,4.96
Kalumpang,2/1/2022,Ferum/Iron (Fe),0,0.01,0.02
Kalumpang,2/1/2022,Ammonia (NH4),0.03,0.03,0.03
Kuala Kubu Bharu,1/1/2022,pH,6.96,7.11,7.22
Kuala Kubu Bharu,1/1/2022,Color,17,28.25,48
Kuala Kubu Bharu,1/1/2022,Turbidity,3.04,5.04,8.35
