WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,1/1/2022,Color,10,17.83,35
Langat 2,1/1/2022,pH,6.76,6.86,6.94
Langat 2,1/1/2022,Ammonia (NH4),0.05,0.44,0.82
Langat 2,1/1/2022,Ferum/Iron (Fe),1.32,3.63,5.93
Langat 2,1/1/2022,Turbidity,94,528.17,1558
Langat 2,1/1/2022,Manganese (Mn),0.19,1.01,1.82
Langat 2,2/1/2022,Color,16,23.67,36
Langat 2,2/1/2022,pH,6.65,6.77,6.86
Langat 2,2/1/2022,Ammonia (NH4),0.45,0.69,0.92
Langat 2,2/1/2022,Ferum/Iron (Fe),5.11,5.62,6.12
Langat 2,2/1/2022,Turbidity,317,777.17,1702
Langat 2,2/1/2022,Manganese (Mn),0.88,1.53,2.17
Langat 2,3/1/2022,Color,15,20.17,28
Langat 2,3/1/2022,pH,6.8,6.87,6.94
Langat 2,3/1/2022,Ammonia (NH4),0.31,0.32,0.33
Langat 2,3/1/2022,Ferum/Iron (Fe),2.33,2.37,2.41
Langat 2,3/1/2022,Turbidity,197,294,388
Langat 2,3/1/2022,Manganese (Mn),0.41,0.46,0.5
Langat 2,4/1/2022,Color,12,18.5,34
Langat 2,4/1/2022,pH,6.87,6.91,6.93
Langat 2,4/1/2022,Ammonia (NH4),0.07,0.08,0.09
Langat 2,4/1/2022,Ferum/Iron (Fe),1.31,1.6,1.88
Langat 2,4/1/2022,Turbidity,90,287.33,633
Langat 2,4/1/2022,Manganese (Mn),0.18,0.19,0.19
Langat 2,5/1/2022,Color,13,21.17,27
Langat 2,5/1/2022,pH,6.73,6.85,6.94
Langat 2,5/1/2022,Ammonia (NH4),0.15,0.17,0.18
Langat 2,5/1/2022,Ferum/Iron (Fe),1.57,2.22,2.86
Langat 2,5/1/2022,Turbidity,73,289.5,551
Langat 2,5/1/2022,Manganese (Mn),0.14,0.41,0.67
Langat 2,6/1/2022,Color,9,17,23
Langat 2,6/1/2022,pH,6.81,6.89,6.98
Langat 2,6/1/2022,Ammonia (NH4),0.1,0.12,0.14
Langat 2,6/1/2022,Ferum/Iron (Fe),1.32,1.41,1.5
Langat 2,6/1/2022,Turbidity,88,182.67,329
Langat 2,6/1/2022,Manganese (Mn),0.14,0.2,0.25
Langat 2,7/1/2022,Color,6,7.5,9
Langat 2,7/1/2022,pH,7.07,7.11,7.16
Langat 2,7/1/2022,Ammonia (NH4),0.04,0.07,0.1
Langat 2,7/1/2022,Ferum/Iron (Fe),1.1,1.17,1.24
Langat 2,7/1/2022,Turbidity,72,78.67,88
Langat 2,7/1/2022,Manganese (Mn),0.14,0.17,0.2
Langat 2,8/1/2022,Color,6,6.33,8
Langat 2,8/1/2022,pH,7.1,7.15,7.18
Langat 2,8/1/2022,Ammonia (NH4),0.02,0.05,0.07
Langat 2,8/1/2022,Ferum/Iron (Fe),1.13,1.14,1.15
Langat 2,8/1/2022,Turbidity,50,55.33,64
Langat 2,8/1/2022,Manganese (Mn),0.12,0.14,0.15
Langat 2,9/1/2022,Color,7,11.5,16
Langat 2,9/1/2022,pH,7.04,7.12,7.3
Langat 2,9/1/2022,Ammonia (NH4),0.05,0.12,0.18
Langat 2,9/1/2022,Ferum/Iron (Fe),1.12,1.37,1.62
Langat 2,9/1/2022,Turbidity,48,99.17,152
Langat 2,9/1/2022,Manganese (Mn),0.13,0.17,0.21
Langat 2,10/1/2022,Color,6,7.5,9
Langat 2,10/1/2022,pH,7.16,7.21,7.28
Langat 2,10/1/2022,Ammonia (NH4),0.06,0.07,0.08
Langat 2,10/1/2022,Ferum/Iron (Fe),1.13,1.27,1.4
Langat 2,10/1/2022,Turbidity,52,56.67,62
Langat 2,10/1/2022,Manganese (Mn),0.12,0.13,0.13
Langat 2,11/1/2022,Color,7,8,9
Langat 2,11/1/2022,pH,7.14,7.19,7.25
Langat 2,11/1/2022,Ammonia (NH4),0.03,0.05,0.07
Langat 2,11/1/2022,Ferum/Iron (Fe),1.18,1.3,1.41
Langat 2,11/1/2022,Turbidity,43,48.87,57
Langat 2,11/1/2022,Manganese (Mn),0.1,0.12,0.13
Langat 2,12/1/2022,Color,5,6.83,9
Langat 2,12/1/2022,pH,7.19,7.22,7.26
Langat 2,12/1/2022,Ammonia (NH4),0.03,0.04,0.05
Langat 2,12/1/2022,Ferum/Iron (Fe),1.09,1.14,1.18
Langat 2,12/1/2022,Turbidity,33,40.17,44
Langat 2,12/1/2022,Manganese (Mn),0.08,0.1,0.11
Langat 2,13/1/2022,Color,6,6.67,7
Langat 2,13/1/2022,pH,7.13,7.18,7.28
Langat 2,13/1/2022,Ammonia (NH4),0.02,0.03,0.03
Langat 2,13/1/2022,Ferum/Iron (Fe),1.14,1.18,1.21
Langat 2,13/1/2022,Turbidity,36,46.5,59
Langat 2,13/1/2022,Manganese (Mn),0.08,0.11,0.13
Langat 2,14/1/2022,Color,5,7.33,9
Langat 2,14/1/2022,pH,7.22,7.26,7.32
Langat 2,14/1/2022,Ammonia (NH4),0.04,0.06,0.08
Langat 2,14/1/2022,Ferum/Iron (Fe),0.92,1.06,1.19
Langat 2,14/1/2022,Turbidity,30,35.17,42
Langat 2,14/1/2022,Manganese (Mn),0.1,0.12,0.13
Langat 2,15/1/2022,Color,5,5.17,6
Langat 2,15/1/2022,pH,7.2,7.24,7.26
Langat 2,15/1/2022,Ammonia (NH4),0.02,0.03,0.03
Langat 2,15/1/2022,Ferum/Iron (Fe),0.74,0.78,0.82
Langat 2,15/1/2022,Turbidity,24,32,42
Langat 2,15/1/2022,Manganese (Mn),0.06,0.07,0.08
Langat 2,16/1/2022,Color,4,6,8
Langat 2,16/1/2022,pH,7.13,7.22,7.27
Langat 2,16/1/2022,Ammonia (NH4),0.02,0.03,0.03
Langat 2,16/1/2022,Ferum/Iron (Fe),0.74,0.96,1.18
Langat 2,16/1/2022,Turbidity,23,26.33,31
Langat 2,16/1/2022,Manganese (Mn),0.06,0.09,0.12
Langat 2,17/1/2022,Color,4,5,7
Langat 2,17/1/2022,pH,7.12,7.18,7.25
Langat 2,17/1/2022,Ammonia (NH4),0.02,0.03,0.03
Langat 2,17/1/2022,Ferum/Iron (Fe),0.77,0.91,1.05
Langat 2,17/1/2022,Turbidity,24,25.33,29
Langat 2,17/1/2022,Manganese (Mn),0.06,0.09,0.11
Langat 2,18/1/2022,Color,5,7.5,16
Langat 2,18/1/2022,pH,7.13,7.2,7.22
Langat 2,18/1/2022,Ammonia (NH4),0.02,0.03,0.03
Langat 2,18/1/2022,Ferum/Iron (Fe),0.71,0.84,0.96
Langat 2,18/1/2022,Turbidity,22,132.83,650
Langat 2,18/1/2022,Manganese (Mn),0.05,0.07,0.08
Langat 2,19/1/2022,Color,12,20.5,26
Langat 2,19/1/2022,pH,6.87,6.96,7.14
Langat 2,19/1/2022,Ammonia (NH4),0.32,0.5,0.68
Langat 2,19/1/2022,Ferum/Iron (Fe),2.86,5.18,7.5
Langat 2,19/1/2022,Turbidity,116,414.17,779
Langat 2,19/1/2022,Manganese (Mn),0.48,1.06,1.63
Langat 2,20/1/2022,Color,7,10,19
Langat 2,20/1/2022,pH,7.1,7.16,7.23
Langat 2,20/1/2022,Ammonia (NH4),0.11,0.18,0.24
Langat 2,20/1/2022,Ferum/Iron (Fe),1.25,2.1,2.95
Langat 2,20/1/2022,Turbidity,60,114.67,293
Langat 2,20/1/2022,Manganese (Mn),0.19,0.37,0.54
Langat 2,21/1/2022,Color,6,7.83,10
Langat 2,21/1/2022,pH,7.1,7.14,7.18
Langat 2,21/1/2022,Ammonia (NH4),0.06,0.07,0.08
Langat 2,21/1/2022,Ferum/Iron (Fe),1.17,1.23,1.29
Langat 2,21/1/2022,Turbidity,49,58.17,66
Langat 2,21/1/2022,Manganese (Mn),0.16,0.16,0.16
Langat 2,22/1/2022,Color,5,6,7
Langat 2,22/1/2022,pH,7.13,7.17,7.21
Langat 2,22/1/2022,Ammonia (NH4),0.02,0.04,0.05
Langat 2,22/1/2022,Ferum/Iron (Fe),0.9,0.98,1.05
Langat 2,22/1/2022,Turbidity,31,41,48
Langat 2,22/1/2022,Manganese (Mn),0.09,0.1,0.1
Langat 2,23/1/2022,Color,5,7.5,10
Langat 2,23/1/2022,pH,7.02,7.11,7.17
Langat 2,23/1/2022,Ammonia (NH4),0.02,0.05,0.07
Langat 2,23/1/2022,Ferum/Iron (Fe),0.91,0.95,0.98
Langat 2,23/1/2022,Turbidity,30,36.17,54
Langat 2,23/1/2022,Manganese (Mn),0.07,0.7,1.32
Langat 2,24/1/2022,Color,6,6.5,7
Langat 2,24/1/2022,pH,7.1,7.19,7.26
Langat 2,24/1/2022,Ammonia (NH4),0.03,0.04,0.04
Langat 2,24/1/2022,Ferum/Iron (Fe),0.89,0.91,0.92
Langat 2,24/1/2022,Turbidity,27,28.67,30
Langat 2,24/1/2022,Manganese (Mn),0.07,0.08,0.09
Langat 2,25/1/2022,Color,7,8.17,9
Langat 2,25/1/2022,pH,7.1,7.18,7.22
Langat 2,25/1/2022,Ammonia (NH4),0.04,0.05,0.05
Langat 2,25/1/2022,Ferum/Iron (Fe),0.91,0.95,0.98
Langat 2,25/1/2022,Turbidity,26,34.67,40
Langat 2,25/1/2022,Manganese (Mn),0.09,0.1,0.1
Langat 2,26/1/2022,Color,6,7.33,9
Langat 2,26/1/2022,pH,7.03,7.14,7.19
