,wtp,Date,Aluminium_avg,Ammonia_avg,Color_avg,Chlorine_avg,E.coli_avg,Iron_avg,Fluoride_avg,FRChlorine_avg,flow_rate_avg,Manganese_avg,Odor_avg,Taste_avg,Total_coliform_avg,Turbidity_avg,Weather_avg,pH_avg
0,Ampang Intake,10/1/2020,0.08,0.22,3074.17,0.0,0.0,0.18,0.0,0.0,862.58,0.0,0.0,0.0,0.0,639.32,0.0,6.61
1,Ampang Intake,10/10/2020,0.06,0.08,403.33,0.0,0.0,0.47,0.0,0.0,919.75,0.0,0.0,0.0,0.0,80.68,0.0,7.29
2,Ampang Intake,10/11/2020,0.08,0.84,582.92,0.0,0.0,0.17,0.0,0.0,624.5,0.0,0.0,0.0,0.0,116.85,0.0,7.74
3,Ampang Intake,10/12/2020,0.06,0.16,530.0,0.0,0.0,0.26,0.0,0.0,925.17,0.0,0.0,0.0,0.0,106.19,0.0,7.64
4,Ampang Intake,10/13/2020,0.04,0.34,337.92,0.0,0.0,0.03,0.0,0.0,1862.17,0.0,0.0,0.0,0.0,67.77,0.0,7.8
5,Ampang Intake,10/14/2020,0.04,0.28,301.25,0.0,0.0,0.29,0.0,0.0,895.08,0.0,0.0,0.0,0.0,60.61,0.0,7.63
6,Ampang Intake,10/15/2020,0.05,0.43,206.25,0.0,0.0,0.04,0.0,0.0,823.75,0.0,0.0,0.0,0.0,39.12,0.0,7.71
7,Ampang Intake,10/16/2020,0.04,0.22,204.58,0.0,0.0,0.37,0.0,0.0,953.83,0.0,0.0,0.0,0.0,41.09,0.0,7.71
8,Ampang Intake,10/17/2020,0.03,0.36,124.58,0.0,0.0,0.94,0.0,0.0,988.67,0.0,0.0,0.0,0.0,25.08,0.0,7.33
9,Ampang Intake,10/18/2020,0.03,0.12,95.0,0.0,0.0,0.48,0.0,0.0,1116.08,0.0,0.0,0.0,0.0,18.96,0.0,7.45
10,Ampang Intake,10/19/2020,0.04,0.13,84.17,0.0,0.0,0.36,0.0,0.0,993.33,0.0,0.0,0.0,0.0,16.68,0.0,7.41
11,Ampang Intake,10/2/2020,0.07,0.43,294.58,0.0,0.0,0.55,0.0,0.0,1137.5,0.0,0.0,0.0,0.0,59.11,0.0,5.93
12,Ampang Intake,10/20/2020,0.04,0.0,84.17,0.0,0.0,0.07,0.0,0.0,1135.33,0.0,0.0,0.0,0.0,16.82,0.0,7.59
13,Ampang Intake,10/21/2020,0.03,0.13,110.0,0.0,0.0,0.17,0.0,0.0,1022.83,0.0,0.0,0.0,0.0,21.94,0.0,7.38
14,Ampang Intake,10/22/2020,0.06,0.4,553.58,0.0,0.0,0.16,0.0,0.0,950.83,0.0,0.0,0.0,0.0,110.73,0.0,7.52
15,Ampang Intake,10/23/2020,0.08,0.29,122.92,0.0,0.0,0.45,0.0,0.0,1212.75,0.0,0.0,0.0,0.0,24.59,0.0,7.72
16,Ampang Intake,10/24/2020,0.05,0.13,80.0,0.0,0.0,0.09,0.0,0.0,1120.33,0.0,0.0,0.0,0.0,15.98,0.0,7.8
17,Ampang Intake,10/25/2020,0.27,0.08,875.0,0.0,0.0,0.04,0.0,0.0,1139.0,0.0,0.0,0.0,0.0,175.13,0.0,7.35
18,Ampang Intake,10/26/2020,0.04,0.14,125.42,0.0,0.0,0.1,0.0,0.0,1045.33,0.0,0.0,0.0,0.0,26.15,0.0,8.11
