,wtp,Date,Alkalinity,Aluminium_avg,Ammonia_avg,Color_avg,Chlorine_avg,E.coli_avg,Iron_avg,Fluoride_avg,FRChlorine_avg,flow_rate_avg,Manganese_avg,Odor_avg,Taste_avg,Total_coliform_avg,True Color,Turbidity_avg,Weather_avg,pH_avg
0,Ampang Intake,1/1/2022,,0.08,1.01,612.92,0.0,0.0,0.72,0.0,0.0,497.08,0.0,0.0,0.0,0.0,,122.58,0.0,6.34
1,Ampang Intake,1/10/2022,,0.06,0.18,93.75,0.0,0.0,0.09,0.0,0.0,601.42,0.0,0.0,0.0,0.0,,18.71,0.0,6.35
2,Ampang Intake,1/11/2022,,0.01,0.2,97.08,0.0,0.0,0.2,0.0,0.0,584.28,0.0,0.0,0.0,0.0,,19.55,0.0,6.35
3,Ampang Intake,1/12/2022,,0.01,0.0,108.13,0.0,0.0,0.29,0.0,0.0,596.3,0.0,0.0,0.0,0.0,,20.62,0.0,6.38
4,Ampang Intake,1/13/2022,,0.04,0.15,146.88,0.0,0.0,0.27,0.0,0.0,544.58,0.0,0.0,0.0,0.0,,29.4,0.0,6.35
5,Ampang Intake,1/14/2022,,0.01,0.0,228.54,0.0,0.0,0.26,0.0,0.0,643.75,0.0,0.0,0.0,0.0,,45.78,0.0,6.35
6,Ampang Intake,1/15/2022,,0.03,0.19,98.33,0.0,0.0,0.17,0.0,0.0,584.42,0.0,0.0,0.0,0.0,,19.67,0.0,6.37
7,Ampang Intake,1/16/2022,,0.01,0.16,172.92,0.0,0.0,0.23,0.0,0.0,578.08,0.0,0.0,0.0,0.0,,34.62,0.0,6.46
8,Ampang Intake,1/17/2022,,0.02,0.13,143.13,0.0,0.0,0.17,0.0,0.0,658.75,0.0,0.0,0.0,0.0,,28.7,0.0,6.37
9,Ampang Intake,1/18/2022,,0.03,0.12,81.25,0.0,0.0,0.22,0.0,0.0,610.28,0.0,0.0,0.0,0.0,,16.06,0.0,6.43
10,Ampang Intake,1/19/2022,,0.04,0.05,324.58,0.0,0.0,0.06,0.0,0.0,672.58,0.0,0.0,0.0,0.0,,65.01,0.0,6.32
11,Ampang Intake,1/2/2022,,0.07,0.28,390.42,0.0,0.0,0.27,0.0,0.0,485.75,0.0,0.0,0.0,0.0,,78.04,0.0,6.3
12,Ampang Intake,1/20/2022,,0.08,0.11,97.5,0.0,0.0,0.2,0.0,0.0,635.42,0.0,0.0,0.0,0.0,,19.64,0.0,6.31
13,Ampang Intake,1/21/2022,,0.01,0.16,693.17,0.0,0.0,0.4,0.0,0.0,614.58,0.0,0.0,0.0,0.0,,138.78,0.0,6.43
14,Ampang Intake,1/22/2022,,0.02,0.63,619.38,0.0,0.0,0.66,0.0,0.0,555.5,0.0,0.0,0.0,0.0,,123.88,0.0,6.46
15,Ampang Intake,1/23/2022,,0.03,0.18,176.46,0.0,0.0,0.08,0.0,0.0,608.17,0.0,0.0,0.0,0.0,,35.53,0.0,6.46
16,Ampang Intake,1/24/2022,,0.06,0.21,1113.13,0.0,0.0,0.1,0.0,0.0,693.75,0.0,0.0,0.0,0.0,,222.72,0.0,6.38
17,Ampang Intake,1/25/2022,,0.06,0.13,634.17,0.0,0.0,0.2,0.0,0.0,602.17,0.0,0.0,0.0,0.0,,126.88,0.0,6.35
18,Ampang Intake,1/26/2022,,0.04,0.24,512.92,0.0,0.0,0.1,0.0,0.0,491.25,0.0,0.0,0.0,0.0,,102.61,0.0,6.23
19,Ampang Intake,1/27/2022,,0.05,0.01,189.58,0.0,0.0,0.05,0.0,0.0,604.58,0.0,0.0,0.0,0.0,,38.17,0.0,6.29
20,Ampang Intake,1/28/2022,,0.05,0.1,2913.75,0.0,0.0,0.06,0.0,0.0,442.33,0.0,0.0,0.0,0.0,,582.9,0.0,6.32
21,Ampang Intake,1/29/2022,,0.09,0.18,4124.38,0.0,0.0,0.21,0.0,0.0,376.0,0.0,0.0,0.0,0.0,,824.84,0.0,6.2
22,Ampang Intake,1/3/2022,,0.07,0.27,153.33,0.0,0.0,0.24,0.0,0.0,548.08,0.0,0.0,0.0,0.0,,30.72,0.0,6.31
23,Ampang Intake,1/30/2022,,0.02,0.77,336.83,0.0,0.0,0.32,0.0,0.0,561.17,0.0,0.0,0.0,0.0,,67.45,0.0,6.35
24,Ampang Intake,1/31/2022,,0.04,0.28,303.75,0.0,0.0,0.14,0.0,0.0,692.0,0.0,0.0,0.0,0.0,,60.65,0.0,6.44
25,Ampang Intake,1/4/2022,,0.08,0.2,197.92,0.0,0.0,0.19,0.0,0.0,546.0,0.0,0.0,0.0,0.0,,39.69,0.0,6.37
26,Ampang Intake,1/5/2022,,0.05,0.15,110.0,0.0,0.0,0.19,0.0,0.0,599.0,0.0,0.0,0.0,0.0,,22.12,0.0,6.28
27,Ampang Intake,1/6/2022,,0.05,0.16,116.67,0.0,0.0,0.03,0.0,0.0,577.5,0.0,0.0,0.0,0.0,,23.88,0.0,6.23
28,Ampang Intake,1/7/2022,,0.05,0.05,207.71,0.0,0.0,0.03,0.0,0.0,593.12,0.0,0.0,0.0,0.0,,39.5,0.0,6.23
29,Ampang Intake,1/8/2022,,0.05,0.02,117.08,0.0,0.0,0.2,0.0,0.0,621.5,0.0,0.0,0.0,0.0,,23.6,0.0,6.22
30,Ampang Intake,1/9/2022,,0.06,0.14,97.71,0.0,0.0,0.15,0.0,0.0,570.08,0.0,0.0,0.0,0.0,,19.47,0.0,6.24
31,Ampang Intake,2/1/2022,,0.05,0.14,101.25,0.0,0.0,0.07,0.0,0.0,624.48,0.0,0.0,0.0,0.0,,20.4,0.0,6.46
32,Ampang Intake,2/10/2022,,0.01,0.03,101.29,0.0,0.0,0.59,0.0,0.0,680.33,0.0,0.0,0.0,0.0,,20.21,0.0,6.34
33,Ampang Intake,2/11/2022,,0.01,0.0,130.21,0.0,0.0,0.18,0.0,0.0,674.58,0.0,0.0,0.0,0.0,,26.17,0.0,6.34
34,Ampang Intake,2/12/2022,,0.02,0.17,361.88,0.0,0.0,0.35,0.0,0.0,536.17,0.0,0.0,0.0,0.0,,72.49,0.0,6.3
35,Ampang Intake,2/13/2022,,0.02,0.0,366.46,0.0,0.0,0.33,0.0,0.0,513.92,0.0,0.0,0.0,0.0,,73.46,0.0,6.32
36,Ampang Intake,2/14/2022,,0.03,0.02,2876.04,0.0,0.0,0.14,0.0,0.0,480.9,0.0,0.0,0.0,0.0,,575.35,0.0,6.2
37,Ampang Intake,2/15/2022,,0.07,0.71,487.29,0.0,0.0,0.72,0.0,0.0,541.75,0.0,0.0,0.0,0.0,,97.53,0.0,6.22
38,Ampang Intake,2/16/2022,,0.05,0.3,164.58,0.0,0.0,0.31,0.0,0.0,645.83,0.0,0.0,0.0,0.0,,33.03,0.0,6.24
