,wtp,Date,Ammonia_avg,Color_avg,Iron_avg,Manganese_avg,Turbidity_avg,pH_avg
0,Langat 2,2022-01-01,0.44,17.83,3.63,1.01,528.17,6.86
1,Langat 2,2022-01-02,0.05,6.0,0.86,0.09,36.5,7.19
2,Langat 2,2022-01-03,0.25,19.67,2.78,0.51,328.5,7.11
3,Langat 2,2022-01-04,0.37,22.67,4.55,1.14,542.17,7.17
4,Langat 2,2022-01-05,0.22,14.67,3.12,0.43,211.0,7.18
5,Langat 2,2022-01-06,0.07,7.17,0.75,0.09,34.0,7.32
6,Langat 2,2022-01-07,0.05,7.33,0.82,0.13,56.5,6.96
7,Langat 2,2022-01-08,0.05,10.83,1.07,0.13,100.17,6.95
8,Langat 2,2022-01-09,0.22,21.0,2.58,0.56,232.0,7.02
9,Langat 2,2022-01-10,0.17,16.83,2.57,0.41,130.17,7.24
10,Langat 2,2022-01-11,0.14,20.0,2.19,0.39,199.0,7.07
11,Langat 2,2022-01-12,0.32,24.83,3.6,0.63,449.5,6.97
12,Langat 2,2022-01-13,0.03,6.67,1.18,0.11,46.5,7.18
13,Langat 2,2022-01-14,0.06,7.33,1.06,0.12,35.17,7.26
14,Langat 2,2022-01-15,0.03,5.17,0.78,0.07,32.0,7.24
15,Langat 2,2022-01-16,0.03,6.0,0.96,0.09,26.33,7.22
16,Langat 2,2022-01-17,0.03,5.0,0.91,0.09,25.33,7.18
17,Langat 2,2022-01-18,0.03,7.5,0.84,0.07,132.83,7.2
18,Langat 2,2022-01-19,0.5,20.5,5.18,1.06,414.17,6.96
19,Langat 2,2022-01-20,0.18,10.0,2.1,0.37,114.67,7.16
20,Langat 2,2022-01-21,0.07,7.83,1.23,0.16,58.17,7.14
21,Langat 2,2022-01-22,0.04,6.0,0.98,0.1,41.0,7.17
22,Langat 2,2022-01-23,0.05,7.5,0.95,0.7,36.17,7.11
23,Langat 2,2022-01-24,0.04,6.5,0.91,0.08,28.67,7.19
24,Langat 2,2022-01-25,0.05,8.17,0.95,0.1,34.67,7.18
25,Langat 2,2022-01-26,0.45,7.33,1.22,0.2,49.5,7.14
26,Langat 2,2022-01-27,0.09,6.33,1.09,0.13,51.5,7.21
27,Langat 2,2022-01-28,0.03,5.5,0.79,0.09,31.0,7.17
28,Langat 2,2022-01-29,0.02,7.67,0.87,0.11,26.5,7.25
29,Langat 2,2022-01-30,0.04,7.5,0.86,0.09,38.0,7.26
30,Langat 2,2022-01-31,0.05,12.17,1.32,0.2,103.17,7.13
31,Langat 2,2022-02-01,0.69,23.67,5.62,1.53,777.17,6.77
32,Langat 2,2022-02-02,0.04,6.5,0.79,0.07,29.67,7.22
33,Langat 2,2022-02-03,0.48,24.5,4.6,1.06,846.83,7.02
34,Langat 2,2022-02-04,0.24,15.5,2.85,0.56,318.5,7.21
35,Langat 2,2022-02-05,0.24,16.33,1.17,0.34,180.5,7.17
36,Langat 2,2022-02-06,0.07,7.33,0.89,0.09,37.5,7.36
37,Langat 2,2022-02-07,0.04,6.17,0.83,0.13,32.17,6.94
38,Langat 2,2022-02-08,0.2,21.0,3.61,0.43,339.33,6.99
39,Langat 2,2022-02-09,0.12,14.67,1.53,0.26,209.83,7.01
40,Langat 2,2022-02-10,0.26,23.0,3.52,0.51,357.33,7.17
41,Langat 2,2022-02-11,0.06,16.17,1.69,0.18,124.67,7.2
42,Langat 2,2022-02-12,0.29,27.67,4.04,0.54,442.33,6.78
43,Langat 2,2022-02-13,0.03,7.17,0.91,0.06,24.17,7.28
44,Langat 2,2022-02-14,0.06,13.67,1.39,0.14,116.5,7.25
45,Langat 2,2022-02-15,0.28,25.33,2.91,0.6,327.0,7.27
46,Langat 2,2022-02-16,0.35,26.17,3.31,0.55,435.0,7.11
47,Langat 2,2022-02-17,0.1,18.0,1.73,0.23,214.67,7.09
48,Langat 2,2022-02-18,0.66,25.17,2.55,0.39,506.5,7.09
49,Langat 2,2022-02-19,0.09,10.33,1.08,0.18,75.5,7.16
50,Langat 2,2022-02-20,0.12,11.0,1.21,0.18,118.17,7.17
51,Langat 2,2022-02-21,0.07,8.33,0.8,0.11,66.33,7.09
52,Langat 2,2022-02-22,0.17,16.33,1.67,0.32,119.17,7.15
53,Langat 2,2022-02-23,0.65,25.83,5.02,0.7,912.67,7.08
54,Langat 2,2022-02-24,0.36,20.67,3.2,0.49,345.0,6.98
55,Langat 2,2022-02-25,0.71,22.0,4.46,1.04,1071.33,6.98
56,Langat 2,2022-02-26,0.12,13.17,1.38,0.23,134.83,7.12
57,Langat 2,2022-02-27,0.37,19.67,3.25,0.8,542.83,7.12
58,Langat 2,2022-02-28,0.86,30.0,7.17,1.51,914.67,6.96
59,Langat 2,2022-03-01,0.32,20.17,2.37,0.46,294.0,6.87
60,Langat 2,2022-03-02,0.03,5.0,0.71,0.06,20.17,7.23
61,Langat 2,2022-03-03,0.14,22.17,2.62,0.61,328.83,7.03
62,Langat 2,2022-03-04,0.33,17.0,3.08,0.68,337.67,7.21
63,Langat 2,2022-03-05,0.22,13.5,2.26,0.27,222.67,7.2
64,Langat 2,2022-03-06,0.13,12.5,1.17,0.16,102.02,7.27
65,Langat 2,2022-03-07,0.04,6.33,0.73,0.14,32.83,6.98
66,Langat 2,2022-03-08,0.18,24.83,3.78,0.39,513.83,6.91
67,Langat 2,2022-03-09,0.09,13.5,1.46,0.28,100.67,7.13
68,Langat 2,2022-03-10,0.08,16.33,1.25,0.17,131.33,7.08
69,Langat 2,2022-03-11,0.05,15.5,1.59,0.2,109.33,7.18
70,Langat 2,2022-03-12,0.14,13.33,2.1,0.25,146.67,6.84
71,Langat 2,2022-03-13,0.12,12.17,1.17,0.23,99.33,7.08
72,Langat 2,2022-03-14,0.11,10.0,1.11,0.15,80.33,7.2
73,Langat 2,2022-03-15,0.16,13.0,1.93,0.41,215.67,7.17
74,Langat 2,2022-03-16,0.52,26.17,3.86,0.69,684.67,7.15
75,Langat 2,2022-03-17,0.65,28.5,5.43,1.17,814.83,7.01
76,Langat 2,2022-03-18,0.4,26.83,5.61,0.99,855.17,7.02
