,WQI,WGI_d,all_chem,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,wtp
WQI,1.0,-0.011791638954606658,-0.03936625438396056,-0.15089757838810003,-0.17365308531920115,,,-0.02623149707401164,Kuala Kubu Bharu
WGI_d,-0.011791638954606658,1.0,-0.8443762439966661,-0.08553828202296405,-0.040763086864866384,,,-0.8486088998613853,Kuala Kubu Bharu
all_chem,-0.03936625438396056,-0.8443762439966661,1.0,0.19539553718213767,0.15268709837936692,,,0.9967420024412037,Kuala Kubu Bharu
Soda_Ash,-0.15089757838810003,-0.08553828202296405,0.19539553718213767,1.0,0.962250314290597,,,0.11668139031142234,Kuala Kubu Bharu
Liquid_Chlorine,-0.17365308531920115,-0.040763086864866384,0.15268709837936692,0.962250314290597,1.0,,,0.0730098104252784,Kuala Kubu Bharu
Liquid_Polyaluminium_Chloride,,,,,,,,,Kuala Kubu Bharu
Hydrated_Lime,,,,,,,,,Kuala Kubu Bharu
Aluminium_Sulphate,-0.02623149707401164,-0.8486088998613853,0.9967420024412037,0.11668139031142234,0.0730098104252784,,,1.0,Kuala Kubu Bharu
WQI,1.0,-0.07371961550493167,-0.10369403614669742,,0.10448218584644682,-0.08838248053959355,-0.25005123477968594,,Rantau Panjang New
WGI_d,-0.07371961550493167,1.0,-0.910950354798021,,-0.6398245236320188,-0.9205784695126256,-0.3484560780676875,,Rantau Panjang New
all_chem,-0.10369403614669742,-0.910950354798021,1.0,,0.727349127233502,0.9870658985432818,0.537967573944518,,Rantau Panjang New
Soda_Ash,,,,,,,,,Rantau Panjang New
Liquid_Chlorine,0.10448218584644682,-0.6398245236320188,0.727349127233502,,1.0,0.6193580595572704,0.8517626906184173,,Rantau Panjang New
Liquid_Polyaluminium_Chloride,-0.08838248053959355,-0.9205784695126256,0.9870658985432818,,0.6193580595572704,1.0,0.3983061991778916,,Rantau Panjang New
Hydrated_Lime,-0.25005123477968594,-0.3484560780676875,0.537967573944518,,0.8517626906184173,0.3983061991778916,1.0,,Rantau Panjang New
Aluminium_Sulphate,,,,,,,,,Rantau Panjang New
WQI,,,,,,,,,Rantau Panjang Old
