,WQI,WGI_d,all_chem,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,wtp
WQI,1.0,0.16179806991442264,-0.5105129353587287,0.09464632412373011,-0.537222883237549,,,-0.503341173895786,Batang Kali
WGI_d,0.16179806991442264,1.0,-0.7378477499966885,0.09521680247751138,-0.2513581974485735,,,-0.8004294034193837,Batang Kali
all_chem,-0.5105129353587287,-0.7378477499966885,1.0,0.3758053364826924,0.4557112315871407,,,0.9842302649451704,Batang Kali
Soda_Ash,0.09464632412373011,0.09521680247751138,0.3758053364826924,1.0,-0.034116893166248864,,,0.2597239961778697,Batang Kali
Liquid_Chlorine,-0.537222883237549,-0.2513581974485735,0.4557112315871407,-0.034116893166248864,1.0,,,0.3619332527536375,Batang Kali
Liquid_Polyaluminium_Chloride,,,,,,,,,Batang Kali
Hydrated_Lime,,,,,,,,,Batang Kali
Aluminium_Sulphate,-0.503341173895786,-0.8004294034193837,0.9842302649451704,0.2597239961778697,0.3619332527536375,,,1.0,Batang Kali
WQI,1.0,-0.19671620324786343,-0.03936625438396056,-0.15089757838810003,-0.17365308531920115,,,-0.02623149707401164,Kuala Kubu Bharu
WGI_d,-0.19671620324786343,1.0,-0.6856423886513207,-0.019877129440184972,0.006473304946811253,,,-0.6926970315955703,Kuala Kubu Bharu
all_chem,-0.03936625438396056,-0.6856423886513207,1.0,0.19539553718213767,0.15268709837936692,,,0.9967420024412037,Kuala Kubu Bharu
Soda_Ash,-0.15089757838810003,-0.019877129440184972,0.19539553718213767,1.0,0.962250314290597,,,0.11668139031142234,Kuala Kubu Bharu
Liquid_Chlorine,-0.17365308531920115,0.006473304946811253,0.15268709837936692,0.962250314290597,1.0,,,0.0730098104252784,Kuala Kubu Bharu
Liquid_Polyaluminium_Chloride,,,,,,,,,Kuala Kubu Bharu
Hydrated_Lime,,,,,,,,,Kuala Kubu Bharu
Aluminium_Sulphate,-0.02623149707401164,-0.6926970315955703,0.9967420024412037,0.11668139031142234,0.0730098104252784,,,1.0,Kuala Kubu Bharu
WQI,1.0,-0.037003012251575124,-0.10369403614669742,,0.10448218584644682,-0.08838248053959355,-0.25005123477968594,,Rantau Panjang New
WGI_d,-0.037003012251575124,1.0,-0.8821883123943551,,-0.6471452478397703,-0.8764648380273397,-0.4309456255411439,,Rantau Panjang New
all_chem,-0.10369403614669742,-0.8821883123943551,1.0,,0.727349127233502,0.9870658985432818,0.537967573944518,,Rantau Panjang New
Soda_Ash,,,,,,,,,Rantau Panjang New
Liquid_Chlorine,0.10448218584644682,-0.6471452478397703,0.727349127233502,,1.0,0.6193580595572704,0.8517626906184173,,Rantau Panjang New
Liquid_Polyaluminium_Chloride,-0.08838248053959355,-0.8764648380273397,0.9870658985432818,,0.6193580595572704,1.0,0.3983061991778916,,Rantau Panjang New
Hydrated_Lime,-0.25005123477968594,-0.4309456255411439,0.537967573944518,,0.8517626906184173,0.3983061991778916,1.0,,Rantau Panjang New
Aluminium_Sulphate,,,,,,,,,Rantau Panjang New
WQI,1.0,0.3029204720287225,-0.07036485955919798,,-0.18695508298748584,-0.025668452988072347,-0.25908019358895884,,Rantau Panjang Old
WGI_d,0.3029204720287225,1.0,-0.3753357818316023,,0.04768357030872954,-0.4302287234067614,0.02363088993559095,,Rantau Panjang Old
all_chem,-0.07036485955919798,-0.3753357818316023,1.0,,0.5609059507073407,0.979833798370347,0.5627237954212649,,Rantau Panjang Old
Soda_Ash,,,,,,,,,Rantau Panjang Old
Liquid_Chlorine,-0.18695508298748584,0.04768357030872954,0.5609059507073407,,1.0,0.3872284087230184,0.9004679023282117,,Rantau Panjang Old
Liquid_Polyaluminium_Chloride,-0.025668452988072347,-0.4302287234067614,0.979833798370347,,0.3872284087230184,1.0,0.3964176441086282,,Rantau Panjang Old
Hydrated_Lime,-0.25908019358895884,0.02363088993559095,0.5627237954212649,,0.9004679023282117,0.3964176441086282,1.0,,Rantau Panjang Old
Aluminium_Sulphate,,,,,,,,,Rantau Panjang Old
WQI,1.0,0.46543508895385843,-0.4886622466633941,,-0.6849619968362279,-0.3317051656639733,-0.5593952205844323,,Rasa
WGI_d,0.46543508895385843,1.0,-0.13413586271772987,,-0.5883154547898528,-0.05349302923772285,-0.13253525513884873,,Rasa
all_chem,-0.4886622466633941,-0.13413586271772987,1.0,,0.22556003255507526,0.9488782406960633,0.752581686220075,,Rasa
Soda_Ash,,,,,,,,,Rasa
Liquid_Chlorine,-0.6849619968362279,-0.5883154547898528,0.22556003255507526,,1.0,-0.04381145030818348,0.5996032161972138,,Rasa
Liquid_Polyaluminium_Chloride,-0.3317051656639733,-0.05349302923772285,0.9488782406960633,,-0.04381145030818348,1.0,0.5132564121017646,,Rasa
Hydrated_Lime,-0.5593952205844323,-0.13253525513884873,0.752581686220075,,0.5996032161972138,0.5132564121017646,1.0,,Rasa
Aluminium_Sulphate,,,,,,,,,Rasa
WQI,1.0,-0.14460785854945807,-0.0933805964461397,-0.13283619730561635,-0.37673922753372485,,,0.048012309070225474,Sungai Rangkap
WGI_d,-0.14460785854945807,1.0,-0.7154474875353992,-0.6925987953649797,0.09381981196649908,,,-0.8160489200298751,Sungai Rangkap
all_chem,-0.0933805964461397,-0.7154474875353992,1.0,0.949524831321193,0.390949069914532,,,0.9481348238115548,Sungai Rangkap
Soda_Ash,-0.13283619730561635,-0.6925987953649797,0.949524831321193,1.0,0.22053052516094315,,,0.9374443272902929,Sungai Rangkap
Liquid_Chlorine,-0.37673922753372485,0.09381981196649908,0.390949069914532,0.22053052516094315,1.0,,,0.08217828405415939,Sungai Rangkap
Liquid_Polyaluminium_Chloride,,,,,,,,,Sungai Rangkap
Hydrated_Lime,,,,,,,,,Sungai Rangkap
Aluminium_Sulphate,0.048012309070225474,-0.8160489200298751,0.9481348238115548,0.9374443272902929,0.08217828405415939,,,1.0,Sungai Rangkap
WQI,1.0,-0.5549338457414328,-0.22339852720480496,,-0.1445112271962683,-0.2020485570885691,-0.43830976738209565,,Sungai Selangor Fasa 1
WGI_d,-0.5549338457414328,1.0,-0.4700463867074689,,-0.5243167518106702,-0.4781881859746141,-0.12963916530206177,,Sungai Selangor Fasa 1
all_chem,-0.22339852720480496,-0.4700463867074689,1.0,,0.7161601180363311,0.9980964133930798,0.7637435163734786,,Sungai Selangor Fasa 1
Soda_Ash,,,,,,,,,Sungai Selangor Fasa 1
Liquid_Chlorine,-0.1445112271962683,-0.5243167518106702,0.7161601180363311,,1.0,0.6919661485162801,0.5223002637220391,,Sungai Selangor Fasa 1
Liquid_Polyaluminium_Chloride,-0.2020485570885691,-0.4781881859746141,0.9980964133930798,,0.6919661485162801,1.0,0.7297465861357544,,Sungai Selangor Fasa 1
Hydrated_Lime,-0.43830976738209565,-0.12963916530206177,0.7637435163734786,,0.5223002637220391,0.7297465861357544,1.0,,Sungai Selangor Fasa 1
Aluminium_Sulphate,,,,,,,,,Sungai Selangor Fasa 1
WQI,1.0,-0.0676253172718821,-0.15628300882273308,,0.1910277001800402,,0.05316574485670549,-0.238797582042976,Sungai Selangor Fasa 2 Stream C
WGI_d,-0.0676253172718821,1.0,-0.2450837558455664,,-0.40017117634703925,,-0.0516003650585697,-0.26831870513218486,Sungai Selangor Fasa 2 Stream C
all_chem,-0.15628300882273308,-0.2450837558455664,1.0,,0.5818386960598854,,0.6844069940213872,0.9460990740937641,Sungai Selangor Fasa 2 Stream C
Soda_Ash,,,,,,,,,Sungai Selangor Fasa 2 Stream C
Liquid_Chlorine,0.1910277001800402,-0.40017117634703925,0.5818386960598854,,1.0,,0.2594253237690755,0.5714446325232632,Sungai Selangor Fasa 2 Stream C
Liquid_Polyaluminium_Chloride,,,,,,,,,Sungai Selangor Fasa 2 Stream C
Hydrated_Lime,0.05316574485670549,-0.0516003650585697,0.6844069940213872,,0.2594253237690755,,1.0,0.4142658997564149,Sungai Selangor Fasa 2 Stream C
Aluminium_Sulphate,-0.238797582042976,-0.26831870513218486,0.9460990740937641,,0.5714446325232632,,0.4142658997564149,1.0,Sungai Selangor Fasa 2 Stream C
WQI,1.0,-0.11939018892028237,0.2644164578287325,,0.00047853468324387366,0.2830063285352409,0.022097295453157532,,Sungai Selangor Fasa 3
WGI_d,-0.11939018892028237,1.0,-0.5890645661890532,,-0.0019318387258042686,-0.5570222773458534,-0.43847922105992454,,Sungai Selangor Fasa 3
all_chem,0.2644164578287325,-0.5890645661890532,1.0,,0.16040991761243995,0.9802254350575927,0.4858554628327038,,Sungai Selangor Fasa 3
Soda_Ash,,,,,,,,,Sungai Selangor Fasa 3
Liquid_Chlorine,0.00047853468324387366,-0.0019318387258042686,0.16040991761243995,,1.0,0.046626576525574975,0.20054106576875258,,Sungai Selangor Fasa 3
Liquid_Polyaluminium_Chloride,0.2830063285352409,-0.5570222773458534,0.9802254350575927,,0.046626576525574975,1.0,0.3212233268207096,,Sungai Selangor Fasa 3
Hydrated_Lime,0.022097295453157532,-0.43847922105992454,0.4858554628327038,,0.20054106576875258,0.3212233268207096,1.0,,Sungai Selangor Fasa 3
Aluminium_Sulphate,,,,,,,,,Sungai Selangor Fasa 3
