,WQI,WGI_d,all_chem,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,wtp
WQI,1.0,0.18743999233005024,-0.48940635541165706,-0.4127109517052041,-0.23617347193940377,,,-0.4295575634436531,Batang Kali
WGI_d,0.18743999233005024,1.0,-0.45210304798248596,-0.4727410434332205,-0.20254260778001645,,,-0.36229256443756286,Batang Kali
all_chem,-0.48940635541165706,-0.45210304798248596,1.0,0.7257527692437417,0.556691665165261,,,0.9071230318907635,Batang Kali
Soda_Ash,-0.4127109517052041,-0.4727410434332205,0.7257527692437417,1.0,0.5703527837025544,,,0.41140736976899833,Batang Kali
Liquid_Chlorine,-0.23617347193940377,-0.20254260778001645,0.556691665165261,0.5703527837025544,1.0,,,0.2435642691390353,Batang Kali
Liquid_Polyaluminium_Chloride,,,,,,,,,Batang Kali
Hydrated_Lime,,,,,,,,,Batang Kali
Aluminium_Sulphate,-0.4295575634436531,-0.36229256443756286,0.9071230318907635,0.41140736976899833,0.2435642691390353,,,1.0,Batang Kali
WQI,1.0,0.4483705424524519,-0.7123895867541257,-0.6856049542354538,-0.17849529913315054,,,-0.5075830198709146,Kuala Kubu Bharu
WGI_d,0.4483705424524519,1.0,-0.6069719568521047,-0.5460157054734848,-0.07554672353891415,,,-0.6986460202145535,Kuala Kubu Bharu
all_chem,-0.7123895867541257,-0.6069719568521047,1.0,0.9922434411659584,0.1419356469081201,,,0.5130241373876322,Kuala Kubu Bharu
Soda_Ash,-0.6856049542354538,-0.5460157054734848,0.9922434411659584,1.0,0.1460690267887541,,,0.4025339277939887,Kuala Kubu Bharu
Liquid_Chlorine,-0.17849529913315054,-0.07554672353891415,0.1419356469081201,0.1460690267887541,1.0,,,-0.014363937184141964,Kuala Kubu Bharu
Liquid_Polyaluminium_Chloride,,,,,,,,,Kuala Kubu Bharu
Hydrated_Lime,,,,,,,,,Kuala Kubu Bharu
Aluminium_Sulphate,-0.5075830198709146,-0.6986460202145535,0.5130241373876322,0.4025339277939887,-0.014363937184141964,,,1.0,Kuala Kubu Bharu
WQI,1.0,0.10145694028003782,-0.21505658552077353,,0.08605512936482629,-0.0918975580669429,-0.2430834803139168,,Rantau Panjang New
WGI_d,0.10145694028003782,1.0,-0.6522973629236583,,-0.12348155740987474,-0.7901804319467262,-0.07039834864306717,,Rantau Panjang New
all_chem,-0.21505658552077353,-0.6522973629236583,1.0,,0.5075994148533498,0.7721267942376332,0.608841190756772,,Rantau Panjang New
Soda_Ash,,,,,,,,,Rantau Panjang New
Liquid_Chlorine,0.08605512936482629,-0.12348155740987474,0.5075994148533498,,1.0,0.46027202753685503,0.1433705141074786,,Rantau Panjang New
Liquid_Polyaluminium_Chloride,-0.0918975580669429,-0.7901804319467262,0.7721267942376332,,0.46027202753685503,1.0,-0.030403059233522534,,Rantau Panjang New
Hydrated_Lime,-0.2430834803139168,-0.07039834864306717,0.608841190756772,,0.1433705141074786,-0.030403059233522534,1.0,,Rantau Panjang New
