,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.4406588905806319,-0.46062181327985424
1,Kuala Kubu Bharu,-0.5735268948608555,-0.5868959884447985
2,Rantau Panjang New,-0.87202764205959,-0.48911196190263395
3,Rantau Panjang Old,,
4,Rasa,-0.2291944495816957,-0.11992240647329934
5,Sungai Rangkap,0.7973994585640549,0.18479215906965402
6,Sungai Selangor Fasa 1,-0.8174503122760092,-0.6408391219141879
7,Sungai Selangor Fasa 2 Stream C,-0.7145271195549409,0.06632220067505694
8,Sungai Selangor Fasa 2 Stream D,-0.7145271195549162,0.06632220067504181
9,Sungai Selangor Fasa 3 Stage 1,-0.24367389856911237,-0.2976311602393204
10,Sungai Selangor Fasa 3 Stage 2,-0.24367389856911237,-0.2976311602393204
