,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.39610101729449887,-0.45465682978093885
1,Kuala Kubu Bharu,-0.741555782736675,-0.5949459774303945
2,Rantau Panjang New,0.0017379921109389029,-0.08151761919348083
3,Rantau Panjang Old,,
4,Rasa,0.08453448454494278,-0.5345507040070299
5,Sungai Rangkap,0.4783455602684866,-0.044283288132327
6,Sungai Selangor Fasa 1,-0.17367083042231335,-0.26880479808247776
7,Sungai Selangor Fasa 2 Stream C,-0.6496604507803081,0.10953632252064824
8,Sungai Selangor Fasa 2 Stream D,-0.6496604507803329,0.13048220592328832
9,Sungai Selangor Fasa 3 Stage 1,0.127981604134311,0.07458290597387225
10,Sungai Selangor Fasa 3 Stage 2,0.127981604134311,0.07458290597387225
