,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.28837190551227826,-0.5227283314675797
1,Kuala Kubu Bharu,-0.6831817443117899,-0.6975188893558852
2,Rantau Panjang New,-0.06960756375014071,-0.16109820088249208
3,Rantau Panjang Old,,
4,Rasa,0.2723392781686046,-0.6187083402278464
5,Sungai Rangkap,0.31915192635299205,0.11124047634955318
6,Sungai Selangor Fasa 1,-0.14420743063736727,-0.1861838155148614
7,Sungai Selangor Fasa 2 Stream C,-0.6950672319260657,0.040316391157503476
8,Sungai Selangor Fasa 2 Stream D,-0.6950672319260937,0.06668551325269226
9,Sungai Selangor Fasa 3 Stage 1,-0.24367389856911237,-0.2976311602393204
10,Sungai Selangor Fasa 3 Stage 2,-0.24367389856911237,-0.2976311602393204
