,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.45207283198908155,-0.4546568299198066
1,Kuala Kubu Bharu,-0.7370108492227697,-0.5949459773341651
2,Rantau Panjang New,-0.009858084946500152,-0.08151761919549375
3,Rantau Panjang Old,-0.16398789375573355,-0.21207412845220472
4,Rasa,0.06464563380693779,-0.5345507039758058
5,Sungai Rangkap,0.4609304138652303,-0.04428328805898672
6,Sungai Selangor Fasa 1,-0.2928547642705032,-0.26880479808668456
7,Sungai Selangor Fasa 2 Stream C,-0.6554748689492433,0.10953632238573427
8,Sungai Selangor Fasa 2 Stream D,-0.6554748689492351,0.13048220578275363
9,Sungai Selangor Fasa 3 Stage 1,-0.3689231810808231,0.07458290620460263
10,Sungai Selangor Fasa 3 Stage 2,-0.3689231810808231,0.07458290620460263
