Feature,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Soda Ash,Hydrated Lime
pH,0.188737284,0.273535671,0.216598823,0.228439962,0.152304985,0.104164833,0.204016382
Turbidity,0.140261991,0.079087132,0.060366912,0.077424124,0.061773528,0.100340075,0.079280649
Color,0.180510188,0.069055318,0.240875822,0.112319001,0.111155596,0.276405175,0.089596766
Iron,0.207703258,0.316710759,0.147375648,0.171746768,0.290695089,0.167532847,0.129593111
Ammonia,0.158617323,0.104925715,0.238779369,0.324894371,0.245024407,0.039939033,0.342595105
Manganese,0.124169956,0.156685405,0.096003426,0.085175774,0.139046395,0.311618037,0.154917986
,,,,,,,
,Liquid Polyaluminium Chloride,Polymer Tianfloc C3080,Sodium Fluoride,Superfloc C 591 PWG,Aluminium Chlorohydrate,Flopam AH 912 PWG,Modified Liquid Alum
pH,0.372468853,0.177507846,0.256810354,0.505942669,0.353307799,0.141174258,0.088992487
Turbidity,0.040355384,0.154007023,0.045713308,0.036829287,0.035926671,0.073715712,0.180054929
Color,0.138395482,0.14595096,0.076061727,0.037513652,0.026309443,0.111940154,0.099714906
Iron,0.157235374,0.280237331,0.328398952,0.022041436,0.040145451,0.101200908,0.358060829
Ammonia,0.082760972,0.097675535,0.219176646,0.365714561,0.519479873,0.508993595,0.153088853
Manganese,0.208783935,0.144621304,0.073839014,0.031958395,0.024830764,0.062975374,0.120087996
,,,,,,,
,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Sodium Silico Fluoride (mg/L),Sodium Aluminosilicate,Potassium Permanganate,Sodium Hypochlorite,Hydrated Lime (Powder)
pH,0.119848483,0.1452903,0.128435754,0,0,0,0
Turbidity,0.083256951,0.077774484,0.084245014,0,0,0,0
Color,0.318863743,0.266234474,0.304901534,0,0,0,0
Iron,0.180892454,0.209690735,0.168254024,0,0,0,0
Ammonia,0.229146902,0.234126831,0.244199588,0,0,0,0
Manganese,0.067991467,0.066883175,0.069964086,0,0,0,0
,,,,,,,
,Flopam FO 4190 PWG,Flopam FO 4290 PWG,Polyelectrolyte AN 910 PWG,Microsand,Activated Carbon,Flopam FL 4520 PWG,
pH,0,0,0,0,0,0,
Turbidity,0,0,0,0,0,0,
Color,0,0,0,0,0,0,
Iron,0,0,0,0,0,0,
Ammonia,0,0,0,0,0,0,
Manganese,0,0,0,0,0,0,
