,Date,pH_min,pH_max,pH_avg,pH_test,pH_vio,pH_%,Turbidity_min,Turbidity_max,Turbidity_avg,Turbidity_test,Turbidity_vio,Turbidity_%,Color_min,Color_max,Color_avg,Color_test,Color_vio,Color_%,Iron_min,Iron_max,Iron_avg,Iron_test,Iron_vio,Iron_%,Ammonia_min,Ammonia_max,Ammonia_avg,Ammonia_test,Ammonia_vio,Ammonia_%,Manganese_min,Manganese_max,Manganese_avg,Manganese_test,Manganese_vio,Manganese_%,wtp,Aluminium_min,Aluminium_max,Aluminium_avg,Aluminium_test,Aluminium_vio,Aluminium_%,Fluoride_min,Fluoride_max,Fluoride_avg,Fluoride_test,Fluoride_vio,Fluoride_%
2,01-Jan-21,6.56,6.97,6.85,12,0,0.00,8.28,24.70,18.11,12,0,0.00,0.00,0.00,0.00,12,0,0.00,0.15,0.40,0.28,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.00,0.05,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
3,02-Jan-21,6.75,6.99,6.86,12,0,0.00,5.36,598.00,67.90,12,0,0.00,0.00,0.00,0.00,12,0,0.00,0.06,0.24,0.18,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.01,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
4,03-Jan-21,6.71,6.99,6.90,12,0,0.00,23.50,134.00,59.71,12,0,0.00,0.00,65.00,36.00,12,0,0.00,0.19,0.46,0.32,3,0,0.00,0.83,0.83,0.83,1,0,0.00,0.00,0.17,0.08,3,0,0.00,Batang Kali,,,,,,,,,,,,
5,04-Jan-21,6.77,6.96,6.87,12,0,0.00,6.07,14.30,10.19,12,0,0.00,0.00,54.00,15.50,12,0,0.00,0.14,0.25,0.21,3,0,0.00,0.38,0.38,0.38,1,0,0.00,0.02,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
6,05-Jan-21,6.67,6.93,6.82,12,0,0.00,6.12,89.00,30.37,12,0,0.00,0.00,67.00,22.25,12,0,0.00,0.17,0.48,0.28,3,0,0.00,0.02,0.02,0.02,1,0,0.00,0.01,0.07,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
7,06-Jan-21,6.79,7.09,7.00,12,0,0.00,9.93,25.80,18.05,12,0,0.00,0.00,37.00,3.08,12,0,0.00,0.21,0.45,0.32,3,0,0.00,0.11,0.11,0.11,1,0,0.00,0.02,0.12,0.06,3,0,0.00,Batang Kali,,,,,,,,,,,,
8,07-Jan-21,6.67,6.92,6.79,12,0,0.00,5.31,22.30,15.39,12,0,0.00,0.00,0.00,0.00,12,0,0.00,0.10,0.30,0.19,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.02,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
9,08-Jan-21,6.62,6.88,6.76,12,0,0.00,5.65,10.80,8.34,12,0,0.00,0.00,19.00,5.00,12,0,0.00,0.17,0.24,0.21,3,0,0.00,0.10,0.10,0.10,1,0,0.00,0.02,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
10,09-Jan-21,6.57,6.79,6.70,12,0,0.00,5.41,8.37,7.14,12,0,0.00,0.00,21.00,5.17,12,0,0.00,0.18,0.20,0.19,3,0,0.00,0.27,0.27,0.27,1,0,0.00,0.02,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
11,10-Jan-21,6.53,6.79,6.64,12,0,0.00,3.67,10.80,6.18,12,0,0.00,0.00,20.00,3.92,12,0,0.00,0.15,0.21,0.18,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.02,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
