,Date,pH_min,pH_max,pH_avg,pH_test,pH_vio,pH_%,Turbidity_min,Turbidity_max,Turbidity_avg,Turbidity_test,Turbidity_vio,Turbidity_%,Color_min,Color_max,Color_avg,Color_test,Color_vio,Color_%,Iron_min,Iron_max,Iron_avg,Iron_test,Iron_vio,Iron_%,Ammonia_min,Ammonia_max,Ammonia_avg,Ammonia_test,Ammonia_vio,Ammonia_%,Manganese_min,Manganese_max,Manganese_avg,Manganese_test,Manganese_vio,Manganese_%,wtp,Aluminium_min,Aluminium_max,Aluminium_avg,Aluminium_test,Aluminium_vio,Aluminium_%,Fluoride_min,Fluoride_max,Fluoride_avg,Fluoride_test,Fluoride_vio,Fluoride_%
2,01-Jul-21,6.61,6.88,6.68,12,0,0.00,1.88,53.80,12.06,24,0,0.00,0.00,5.00,0.58,24,0,0.00,0.15,0.31,0.21,3,0,0.00,0.12,0.12,0.12,1,0,0.00,0.01,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
3,02-Jul-21,6.60,6.71,6.67,12,0,0.00,2.70,5.00,4.05,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.10,0.26,0.20,3,0,0.00,0.14,0.14,0.14,1,0,0.00,0.01,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
4,03-Jul-21,6.72,6.96,6.81,10,0,0.00,4.77,14.90,7.94,20,0,0.00,0.00,24.00,8.95,20,0,0.00,0.19,0.28,0.25,3,0,0.00,0.05,0.05,0.05,1,0,0.00,0.02,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
5,04-Jul-21,6.52,6.87,6.64,12,0,0.00,1.68,4.24,2.28,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.15,0.22,0.18,3,0,0.00,0.04,0.04,0.04,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
6,05-Jul-21,6.46,7.00,6.89,12,0,0.00,4.28,260.00,68.75,24,0,0.00,0.00,40.00,12.79,24,0,0.00,0.23,0.56,0.37,3,0,0.00,0.16,0.16,0.16,1,0,0.00,0.02,0.13,0.06,3,0,0.00,Batang Kali,,,,,,,,,,,,
7,06-Jul-21,6.82,6.98,6.89,12,0,0.00,7.94,269.00,34.29,24,0,0.00,0.00,25.00,7.29,24,0,0.00,0.19,0.26,0.22,3,0,0.00,0.24,0.24,0.24,1,0,0.00,0.02,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
8,07-Jul-21,6.75,6.84,6.80,12,0,0.00,4.22,11.40,6.42,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.15,0.33,0.25,3,0,0.00,0.22,0.22,0.22,1,0,0.00,0.01,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
9,08-Jul-21,6.73,6.92,6.80,12,0,0.00,2.95,328.00,60.95,24,0,0.00,0.00,25.00,9.13,24,0,0.00,0.20,0.42,0.28,3,0,0.00,0.05,0.05,0.05,1,0,0.00,0.01,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
10,09-Jul-21,6.52,6.78,6.60,12,0,0.00,5.66,235.00,52.41,24,0,0.00,11.00,34.00,22.25,24,0,0.00,0.13,0.76,0.35,3,0,0.00,0.41,0.41,0.41,1,0,0.00,0.02,0.15,0.07,3,0,0.00,Batang Kali,,,,,,,,,,,,
11,10-Jul-21,6.52,6.62,6.55,12,0,0.00,8.13,39.80,15.75,24,0,0.00,0.00,39.00,9.50,24,0,0.00,0.12,0.26,0.18,3,0,0.00,0.42,0.42,0.42,1,0,0.00,0.02,0.08,0.04,3,0,0.00,Batang Kali,,,,,,,,,,,,
