,Date,pH_min,pH_max,pH_avg,pH_test,pH_vio,pH_%,Turbidity_min,Turbidity_max,Turbidity_avg,Turbidity_test,Turbidity_vio,Turbidity_%,Color_min,Color_max,Color_avg,Color_test,Color_vio,Color_%,Iron_min,Iron_max,Iron_avg,Iron_test,Iron_vio,Iron_%,Ammonia_min,Ammonia_max,Ammonia_avg,Ammonia_test,Ammonia_vio,Ammonia_%,Manganese_min,Manganese_max,Manganese_avg,Manganese_test,Manganese_vio,Manganese_%,wtp,Aluminium_min,Aluminium_max,Aluminium_avg,Aluminium_test,Aluminium_vio,Aluminium_%,Fluoride_min,Fluoride_max,Fluoride_avg,Fluoride_test,Fluoride_vio,Fluoride_%
2,01-Jun-21,6.78,7.02,6.87,12,0,0.00,2.87,80.90,13.91,24,0,0.00,0.00,43.00,6.54,24,0,0.00,0.12,0.18,0.15,3,0,0.00,0.27,0.27,0.27,1,0,0.00,0.00,0.03,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
3,02-Jun-21,6.64,6.90,6.81,12,0,0.00,6.01,39.10,17.15,24,0,0.00,0.00,8.00,2.04,24,0,0.00,0.14,0.54,0.28,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.01,0.09,0.04,3,0,0.00,Batang Kali,,,,,,,,,,,,
4,03-Jun-21,6.67,6.92,6.80,12,0,0.00,7.47,179.00,24.77,24,0,0.00,0.00,43.00,3.00,24,0,0.00,0.21,0.24,0.23,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.03,0.03,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
5,04-Jun-21,6.59,6.92,6.82,12,0,0.00,5.22,175.00,40.17,24,0,0.00,0.00,15.00,3.50,24,0,0.00,0.22,0.32,0.25,3,0,0.00,0.24,0.24,0.24,1,0,0.00,0.02,0.18,0.08,3,0,0.00,Batang Kali,,,,,,,,,,,,
6,05-Jun-21,6.55,6.78,6.67,12,0,0.00,7.21,117.00,28.42,24,0,0.00,0.00,54.00,13.54,24,0,0.00,0.10,0.34,0.19,3,0,0.00,0.82,0.82,0.82,1,0,0.00,0.02,0.07,0.04,3,0,0.00,Batang Kali,,,,,,,,,,,,
7,06-Jun-21,6.59,6.85,6.75,12,0,0.00,5.16,158.00,29.38,24,0,0.00,0.00,18.00,4.04,24,0,0.00,0.19,0.36,0.25,3,0,0.00,0.20,0.20,0.20,1,0,0.00,0.01,0.05,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
8,07-Jun-21,6.55,6.81,6.67,12,0,0.00,3.66,6.70,4.63,24,0,0.00,0.00,7.00,1.75,24,0,0.00,0.12,0.31,0.20,3,0,0.00,0.19,0.19,0.19,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
9,08-Jun-21,6.59,6.84,6.73,12,0,0.00,3.46,4.35,3.76,24,0,0.00,0.00,5.00,0.58,24,0,0.00,0.14,0.18,0.17,3,0,0.00,0.15,0.15,0.15,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
10,09-Jun-21,6.66,6.92,6.84,12,0,0.00,2.72,8.22,4.60,24,0,0.00,0.00,2.00,0.46,24,0,0.00,0.17,0.27,0.21,3,0,0.00,0.19,0.19,0.19,1,0,0.00,0.01,0.04,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
11,10-Jun-21,6.57,7.21,6.83,12,0,0.00,3.50,913.00,94.39,24,0,0.00,0.00,45.00,9.79,24,0,0.00,0.21,0.25,0.23,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.00,0.10,0.04,3,0,0.00,Batang Kali,,,,,,,,,,,,
12,11-Jun-21,6.65,6.89,6.76,12,0,0.00,4.54,12.30,7.63,24,0,0.00,0.00,4.00,0.46,24,0,0.00,0.14,0.33,0.25,3,0,0.00,0.01,0.01,0.01,1,0,0.00,0.00,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
