,Date,pH_min,pH_max,pH_avg,pH_test,pH_vio,pH_%,Turbidity_min,Turbidity_max,Turbidity_avg,Turbidity_test,Turbidity_vio,Turbidity_%,Color_min,Color_max,Color_avg,Color_test,Color_vio,Color_%,Iron_min,Iron_max,Iron_avg,Iron_test,Iron_vio,Iron_%,Ammonia_min,Ammonia_max,Ammonia_avg,Ammonia_test,Ammonia_vio,Ammonia_%,Manganese_min,Manganese_max,Manganese_avg,Manganese_test,Manganese_vio,Manganese_%,wtp,Aluminium_min,Aluminium_max,Aluminium_avg,Aluminium_test,Aluminium_vio,Aluminium_%,Fluoride_min,Fluoride_max,Fluoride_avg,Fluoride_test,Fluoride_vio,Fluoride_%
2,01-Nov-21,6.73,6.95,6.83,12,0,0.00,4.11,45.60,20.25,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.15,0.69,0.34,3,0,0.00,0.10,0.10,0.10,1,0,0.00,0.02,0.12,0.06,3,0,0.00,Batang Kali,,,,,,,,,,,,
3,02-Nov-21,6.70,6.98,6.86,12,0,0.00,10.00,23.10,12.76,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.16,0.19,0.18,3,0,0.00,0.10,0.10,0.10,1,0,0.00,0.01,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
4,03-Nov-21,6.63,6.91,6.77,12,0,0.00,4.39,228.00,48.31,24,0,0.00,0.00,13.00,1.71,24,0,0.00,0.15,0.38,0.25,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
5,04-Nov-21,6.61,6.92,6.74,12,0,0.00,7.60,85.70,35.01,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.15,0.97,0.47,3,0,0.00,0.46,0.46,0.46,1,0,0.00,0.03,0.11,0.06,3,0,0.00,Batang Kali,,,,,,,,,,,,
6,05-Nov-21,6.55,6.95,6.80,12,0,0.00,5.62,72.70,26.95,24,0,0.00,0.00,6.00,0.38,24,0,0.00,0.16,0.35,0.24,3,0,0.00,0.08,0.08,0.08,1,0,0.00,0.00,0.07,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
7,06-Nov-21,6.74,6.92,6.82,12,0,0.00,5.73,17.40,9.13,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.11,0.18,0.16,3,0,0.00,0.16,0.16,0.16,1,0,0.00,0.02,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
8,07-Nov-21,6.75,6.93,6.84,12,0,0.00,5.57,116.00,28.04,24,0,0.00,0.00,15.00,1.71,24,0,0.00,0.17,0.25,0.21,3,0,0.00,0.03,0.03,0.03,1,0,0.00,0.01,0.05,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
9,08-Nov-21,6.53,6.99,6.83,12,0,0.00,11.10,87.70,32.48,24,0,0.00,0.00,11.00,0.75,24,0,0.00,0.19,0.31,0.23,3,0,0.00,0.23,0.23,0.23,1,0,0.00,0.02,0.06,0.04,3,0,0.00,Batang Kali,,,,,,,,,,,,
10,09-Nov-21,6.48,6.79,6.69,12,0,0.00,11.90,197.00,56.11,24,0,0.00,0.00,8.00,0.83,24,0,0.00,0.12,0.33,0.20,3,0,0.00,0.21,0.21,0.21,1,0,0.00,0.02,0.05,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
11,10-Nov-21,6.69,7.05,6.79,12,0,0.00,21.20,121.00,60.75,24,0,0.00,0.00,10.00,1.38,24,0,0.00,0.24,0.31,0.27,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.00,0.13,0.05,3,0,0.00,Batang Kali,,,,,,,,,,,,
12,11-Nov-21,6.75,6.97,6.83,12,0,0.00,11.60,73.20,34.07,24,0,0.00,0.00,3.00,0.13,24,0,0.00,0.23,0.45,0.33,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.02,0.08,0.04,3,0,0.00,Batang Kali,,,,,,,,,,,,
13,12-Nov-21,6.80,6.97,6.88,12,0,0.00,10.80,30.90,17.53,24,0,0.00,0.00,4.00,0.17,24,0,0.00,0.20,0.46,0.31,3,0,0.00,0.20,0.20,0.20,1,0,0.00,0.03,0.05,0.04,3,0,0.00,Batang Kali,,,,,,,,,,,,
14,13-Nov-21,6.65,6.98,6.83,12,0,0.00,11.00,58.00,20.92,24,0,0.00,0.00,4.00,0.17,24,0,0.00,0.21,0.42,0.33,3,0,0.00,0.10,0.10,0.10,1,0,0.00,0.03,0.10,0.07,3,0,0.00,Batang Kali,,,,,,,,,,,,
15,14-Nov-21,6.66,7.04,6.83,12,0,0.00,3.91,36.80,10.26,24,0,0.00,0.00,1.00,0.04,24,0,0.00,0.16,0.30,0.24,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.02,0.03,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
16,15-Nov-21,6.78,7.03,6.91,12,0,0.00,3.01,43.00,14.67,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.02,0.11,0.05,3,0,0.00,0.10,0.10,0.10,1,0,0.00,0.01,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
17,16-Nov-21,6.96,7.03,6.99,12,0,0.00,8.99,41.00,17.00,24,0,0.00,0.00,1.00,0.04,24,0,0.00,0.24,0.40,0.32,3,0,0.00,0.08,0.08,0.08,1,0,0.00,0.02,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
18,17-Nov-21,6.87,7.17,6.98,12,0,0.00,9.06,131.00,30.36,24,0,0.00,0.00,8.00,0.67,24,0,0.00,0.38,0.51,0.44,3,0,0.00,0.21,0.21,0.21,1,0,0.00,0.02,0.06,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
19,18-Nov-21,6.65,6.96,6.84,12,0,0.00,6.08,41.40,13.32,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.23,0.28,0.26,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.01,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
20,19-Nov-21,6.61,6.93,6.77,12,0,0.00,5.59,"1,106.00",148.91,24,1,4.17,0.00,80.00,6.79,24,0,0.00,0.28,0.57,0.38,3,0,0.00,0.13,0.13,0.13,1,0,0.00,0.00,0.15,0.06,3,0,0.00,Batang Kali,,,,,,,,,,,,
21,20-Nov-21,6.70,6.98,6.88,12,0,0.00,10.90,77.10,28.02,24,0,0.00,0.00,9.00,0.46,24,0,0.00,0.28,0.89,0.49,3,0,0.00,0.61,0.61,0.61,1,0,0.00,0.02,0.15,0.07,3,0,0.00,Batang Kali,,,,,,,,,,,,
22,21-Nov-21,6.55,6.86,6.71,12,0,0.00,4.65,12.90,7.14,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.17,0.27,0.21,3,0,0.00,0.22,0.22,0.22,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
23,22-Nov-21,6.32,7.06,6.71,12,0,0.00,4.71,310.00,59.00,24,0,0.00,0.00,6.00,0.42,24,0,0.00,0.13,0.43,0.25,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.00,0.03,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
24,23-Nov-21,6.67,7.03,6.76,12,0,0.00,9.52,316.00,27.32,24,0,0.00,0.00,13.00,0.75,24,0,0.00,0.14,0.17,0.16,3,0,0.00,0.31,0.31,0.31,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
25,24-Nov-21,6.70,7.01,6.80,12,0,0.00,10.30,114.00,36.55,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.22,0.24,0.23,3,0,0.00,0.34,0.34,0.34,1,0,0.00,0.02,0.04,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
26,25-Nov-21,6.67,7.05,6.92,12,0,0.00,10.20,142.00,42.53,24,0,0.00,0.00,3.00,0.29,24,0,0.00,0.17,0.27,0.22,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.03,0.13,0.08,3,0,0.00,Batang Kali,,,,,,,,,,,,
27,26-Nov-21,6.70,6.95,6.82,12,0,0.00,6.27,19.80,10.52,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.18,0.19,0.18,3,0,0.00,0.45,0.45,0.45,1,0,0.00,0.02,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
28,27-Nov-21,6.75,7.08,6.93,12,0,0.00,5.87,15.20,9.60,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.13,0.29,0.20,3,0,0.00,0.03,0.03,0.03,1,0,0.00,0.01,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
29,28-Nov-21,6.57,7.03,6.75,12,0,0.00,4.71,148.00,25.65,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.13,0.44,0.25,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.01,0.04,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
30,29-Nov-21,6.70,6.91,6.81,12,0,0.00,6.39,66.80,14.45,23,0,0.00,0.00,0.00,0.00,24,0,0.00,0.10,0.38,0.23,3,0,0.00,0.83,0.83,0.83,1,0,0.00,0.02,0.14,0.06,3,0,0.00,Batang Kali,,,,,,,,,,,,
31,30-Nov-21,6.70,6.95,6.80,12,0,0.00,5.48,18.30,7.80,24,0,0.00,0.00,3.00,0.13,24,0,0.00,0.13,0.18,0.15,3,0,0.00,0.14,0.14,0.14,1,0,0.00,0.01,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
2,01-Nov-21,6.09,6.33,6.22,10,0,0.00,29.00,333.00,91.62,20,0,0.00,6.00,38.00,17.65,20,0,0.00,1.14,1.68,1.41,3,3,100.00,0.02,0.22,0.15,3,0,0.00,0.13,0.17,0.15,3,0,0.00,Bernam River Headworks (New),,,,,,,,,,,,
3,02-Nov-21,6.00,6.10,6.05,9,0,0.00,72.00,284.00,157.37,19,0,0.00,4.00,20.00,11.16,19,0,0.00,1.41,2.19,1.70,3,3,100.00,0.12,0.27,0.18,3,0,0.00,0.24,0.55,0.35,3,3,100.00,Bernam River Headworks (New),,,,,,,,,,,,
