,Date,pH_min,pH_max,pH_avg,pH_test,pH_vio,pH_%,Turbidity_min,Turbidity_max,Turbidity_avg,Turbidity_test,Turbidity_vio,Turbidity_%,Color_min,Color_max,Color_avg,Color_test,Color_vio,Color_%,Iron_min,Iron_max,Iron_avg,Iron_test,Iron_vio,Iron_%,Ammonia_min,Ammonia_max,Ammonia_avg,Ammonia_test,Ammonia_vio,Ammonia_%,Manganese_min,Manganese_max,Manganese_avg,Manganese_test,Manganese_vio,Manganese_%,wtp,Aluminium_min,Aluminium_max,Aluminium_avg,Aluminium_test,Aluminium_vio,Aluminium_%,Fluoride_min,Fluoride_max,Fluoride_avg,Fluoride_test,Fluoride_vio,Fluoride_%
2,01-Oct-21,6.74,7.03,6.87,12,0,0.00,6.79,25.60,10.33,24,0,0.00,0.00,4.00,0.33,24,0,0.00,0.11,0.15,0.13,3,0,0.00,0.17,0.17,0.17,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
3,02-Oct-21,6.77,6.90,6.81,12,0,0.00,5.19,12.20,7.14,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.13,0.18,0.15,3,0,0.00,0.18,0.18,0.18,1,0,0.00,0.01,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
4,03-Oct-21,6.68,7.00,6.82,12,0,0.00,4.06,6.55,5.17,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.15,0.19,0.17,3,0,0.00,0.17,0.17,0.17,1,0,0.00,0.01,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
5,04-Oct-21,6.60,6.86,6.79,12,0,0.00,3.18,7.37,5.07,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.12,0.18,0.15,3,0,0.00,0.12,0.12,0.12,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
6,05-Oct-21,6.51,6.74,6.62,12,0,0.00,2.60,8.38,4.59,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.10,0.13,0.12,3,0,0.00,0.08,0.08,0.08,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
7,06-Oct-21,6.55,6.81,6.69,12,0,0.00,2.71,5.55,3.90,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.00,0.14,0.09,3,0,0.00,0.05,0.05,0.05,1,0,0.00,0.00,0.01,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
8,07-Oct-21,6.53,6.99,6.78,12,0,0.00,3.47,300.00,51.25,24,0,0.00,0.00,23.00,3.17,24,0,0.00,0.10,0.65,0.30,3,0,0.00,0.13,0.13,0.13,1,0,0.00,0.01,0.15,0.09,3,0,0.00,Batang Kali,,,,,,,,,,,,
9,08-Oct-21,6.65,6.84,6.77,12,0,0.00,5.95,9.21,7.55,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.12,0.21,0.17,3,0,0.00,0.12,0.12,0.12,1,0,0.00,0.00,0.03,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
10,09-Oct-21,6.57,6.75,6.69,12,0,0.00,4.67,7.40,5.76,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.15,0.19,0.17,3,0,0.00,0.17,0.17,0.17,1,0,0.00,0.01,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
11,10-Oct-21,6.60,6.77,6.68,12,0,0.00,3.11,12.20,4.96,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.13,0.18,0.15,3,0,0.00,0.14,0.14,0.14,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
12,11-Oct-21,6.60,6.82,6.68,12,0,0.00,2.94,4.27,3.39,24,0,0.00,0.00,1.00,0.04,24,0,0.00,0.10,0.18,0.13,3,0,0.00,0.11,0.11,0.11,1,0,0.00,0.00,0.01,0.00,3,0,0.00,Batang Kali,,,,,,,,,,,,
13,12-Oct-21,6.57,6.71,6.64,12,0,0.00,2.38,6.92,3.36,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.11,0.16,0.14,3,0,0.00,0.11,0.11,0.11,1,0,0.00,0.00,0.01,0.00,3,0,0.00,Batang Kali,,,,,,,,,,,,
14,13-Oct-21,6.59,6.81,6.70,12,0,0.00,2.43,17.80,5.34,24,0,0.00,0.00,2.00,0.08,24,0,0.00,0.14,0.20,0.17,3,0,0.00,0.12,0.12,0.12,1,0,0.00,0.01,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
15,14-Oct-21,6.78,6.95,6.86,12,0,0.00,3.10,5.36,3.89,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.18,0.21,0.19,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.00,0.01,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
16,15-Oct-21,6.63,6.83,6.73,12,0,0.00,2.31,4.75,3.04,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.16,0.24,0.20,3,0,0.00,0.02,0.02,0.02,1,0,0.00,0.00,0.01,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
17,16-Oct-21,6.57,6.86,6.75,12,0,0.00,2.55,6.98,4.03,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.16,0.20,0.18,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.00,0.01,0.00,3,0,0.00,Batang Kali,,,,,,,,,,,,
18,17-Oct-21,6.49,6.76,6.57,12,0,0.00,1.57,68.80,13.17,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.17,0.26,0.22,3,0,0.00,0.08,0.08,0.08,1,0,0.00,0.02,0.10,0.05,3,0,0.00,Batang Kali,,,,,,,,,,,,
19,18-Oct-21,6.52,6.91,6.65,12,0,0.00,2.36,6.80,3.54,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.13,0.16,0.15,3,0,0.00,0.04,0.04,0.04,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
20,19-Oct-21,6.51,6.77,6.62,12,0,0.00,2.43,6.70,3.87,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.14,0.19,0.16,3,0,0.00,0.04,0.04,0.04,1,0,0.00,0.00,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
21,20-Oct-21,6.54,6.91,6.71,12,0,0.00,2.49,13.60,7.27,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.14,0.21,0.17,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.00,0.04,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
22,21-Oct-21,6.67,6.89,6.77,12,0,0.00,2.81,9.13,4.80,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.08,0.16,0.13,3,0,0.00,0.09,0.09,0.09,1,0,0.00,0.01,0.02,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
23,22-Oct-21,6.59,6.85,6.71,12,0,0.00,2.88,30.90,6.84,24,0,0.00,0.00,3.00,0.25,24,0,0.00,0.13,0.19,0.16,3,0,0.00,0.08,0.08,0.08,1,0,0.00,0.00,0.01,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
24,23-Oct-21,6.56,6.81,6.66,12,0,0.00,2.71,8.66,4.28,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.17,0.18,0.17,3,0,0.00,0.11,0.11,0.11,1,0,0.00,0.01,0.01,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
25,24-Oct-21,6.54,6.74,6.63,12,0,0.00,2.16,3.72,2.74,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.16,0.16,0.16,3,0,0.00,0.08,0.08,0.08,1,0,0.00,0.01,0.01,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
26,25-Oct-21,6.57,6.84,6.69,12,0,0.00,2.57,24.30,6.23,24,0,0.00,0.00,1.00,0.04,24,0,0.00,0.10,0.20,0.14,3,0,0.00,0.00,0.00,0.00,1,0,0.00,0.01,0.02,0.01,3,0,0.00,Batang Kali,,,,,,,,,,,,
27,26-Oct-21,6.60,6.86,6.74,12,0,0.00,3.35,732.00,77.61,24,0,0.00,0.00,31.00,6.33,24,0,0.00,0.12,0.97,0.41,3,0,0.00,0.12,0.12,0.12,1,0,0.00,0.02,0.17,0.07,3,0,0.00,Batang Kali,,,,,,,,,,,,
28,27-Oct-21,6.70,6.88,6.80,12,0,0.00,7.35,53.80,19.23,24,0,0.00,0.00,5.00,0.21,24,0,0.00,0.13,0.18,0.16,3,0,0.00,0.24,0.24,0.24,1,0,0.00,0.01,0.04,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
29,28-Oct-21,6.58,6.93,6.78,12,0,0.00,5.65,225.00,35.77,24,0,0.00,0.00,15.00,1.13,24,0,0.00,0.16,0.28,0.20,3,0,0.00,0.13,0.13,0.13,1,0,0.00,0.01,0.05,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
30,29-Oct-21,6.66,6.89,6.79,12,0,0.00,6.05,31.10,10.22,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.12,0.21,0.18,3,0,0.00,0.19,0.19,0.19,1,0,0.00,0.01,0.05,0.03,3,0,0.00,Batang Kali,,,,,,,,,,,,
31,30-Oct-21,6.69,6.92,6.79,12,0,0.00,5.11,167.00,25.96,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.14,0.21,0.17,3,0,0.00,0.11,0.11,0.11,1,0,0.00,0.02,0.16,0.07,3,0,0.00,Batang Kali,,,,,,,,,,,,
32,31-Oct-21,6.61,6.89,6.77,12,0,0.00,5.43,50.30,13.27,24,0,0.00,0.00,0.00,0.00,24,0,0.00,0.13,0.43,0.27,3,0,0.00,0.01,0.01,0.01,1,0,0.00,0.00,0.06,0.02,3,0,0.00,Batang Kali,,,,,,,,,,,,
2,01-Oct-21,5.93,6.09,6.02,11,0,0.00,50.80,64.00,55.33,21,0,0.00,3.00,14.00,7.90,21,0,0.00,1.17,1.34,1.25,3,3,100.00,0.00,0.06,0.02,3,0,0.00,0.11,0.13,0.12,3,0,0.00,Bernam River Headworks (New),,,,,,,,,,,,
