,wtp,Date,Ammonia_avg,Color_avg,Iron_avg,Manganese_avg,Turbidity_avg,pH_avg
0,Ampang Intake,1/1/2022,1.01,612.92,0.72,0,122.58,6.34
1,Ampang Intake,2/1/2022,0.14,101.25,0.07,0,20.4,6.46
2,Ampang Intake,3/1/2022,0.33,276.46,0.12,0,67.93,6.29
3,Ampang Intake,4/1/2022,0.27,167.92,0.32,0,32.13,6.31
4,Ampang Intake,5/1/2022,0.07,4506.21,0.05,0,901.45,6.46
5,Ampang Intake,6/1/2022,0.18,121.88,0.28,0,24.48,6.4
6,Ampang Intake,7/1/2022,0.39,269.58,0.24,0,54.05,6.39
7,Ampang Intake,8/1/2022,0.09,118.13,0.09,0,23.66,6.49
8,Ampang Intake,9/1/2022,0.3,759.17,0.27,0,151.87,6.37
9,Ampang Intake,10/1/2022,0.26,302.5,0.36,0,60.87,6.45
10,Ampang Intake,11/1/2022,0.08,323.96,0.08,0,65.01,6.44
11,Ampang Intake,12/1/2022,0.27,185,0.29,0,37.34,6.47
12,Ampang Intake,13/1/2022,0.15,146.88,0.27,0,29.4,6.35
13,Ampang Intake,14/1/2022,0,228.54,0.26,0,45.78,6.35
14,Ampang Intake,15/1/2022,0.19,98.33,0.17,0,19.67,6.37
15,Ampang Intake,16/1/2022,0.16,172.92,0.23,0,34.62,6.46
16,Ampang Intake,17/1/2022,0.13,143.13,0.17,0,28.7,6.37
17,Ampang Intake,18/1/2022,0.12,81.25,0.22,0,16.06,6.43
18,Ampang Intake,19/1/2022,0.05,324.58,0.06,0,65.01,6.32
19,Ampang Intake,20/1/2022,0.11,97.5,0.2,0,19.64,6.31
20,Ampang Intake,21/1/2022,0.16,693.17,0.4,0,138.78,6.43
21,Ampang Intake,22/1/2022,0.63,619.38,0.66,0,123.88,6.46
22,Ampang Intake,23/1/2022,0.18,176.46,0.08,0,35.53,6.46
23,Ampang Intake,24/1/2022,0.21,1113.13,0.1,0,222.72,6.38
24,Ampang Intake,25/1/2022,0.13,634.17,0.2,0,126.88,6.35
25,Ampang Intake,26/1/2022,0.24,512.92,0.1,0,102.61,6.23
26,Ampang Intake,27/1/2022,0.01,189.58,0.05,0,38.17,6.29
27,Ampang Intake,28/1/2022,0.1,2913.75,0.06,0,582.9,6.32
28,Ampang Intake,29/1/2022,0.18,4124.38,0.21,0,824.84,6.2
29,Ampang Intake,30/1/2022,0.77,336.83,0.32,0,67.45,6.35
30,Ampang Intake,31/1/2022,0.28,303.75,0.14,0,60.65,6.44
31,Ampang Intake,1/2/2022,0.28,390.42,0.27,0,78.04,6.3
32,Ampang Intake,2/2/2022,0.04,86.25,0.1,0,17.39,6.41
33,Ampang Intake,3/2/2022,0.11,131.88,0.12,0,26.69,6.36
34,Ampang Intake,4/2/2022,0.19,165,0.16,0,33.21,6.3
35,Ampang Intake,5/2/2022,0.16,1202.71,0.13,0,240.72,6.34
36,Ampang Intake,6/2/2022,0.15,121.46,0.23,0,24.51,6.47
37,Ampang Intake,7/2/2022,0.31,202.5,0.31,0,40.93,6.36
