Month,WTP,New WTP,SIpH,SIDO,SISS,SIBOD,SICOD,SIAN,WQI
1/31/2021,Bernam River Headworks,Bernam River Headworks (New),99.35,81.1963648,60.77251842,95.6201,81.677,53.54562921,78.8
1/31/2021,Rantau Panjang,Rantau Panjang New,97.828693,94.0551414,45.41001156,93.4628,86.066,82.74593147,83.6
1/31/2021,North Hummock,North Hummock,69.964888,44.5128608,91.06289964,93.5897,75.559,77.4,74.2
1/31/2021,Batang Kali,Batang Kali,99.242468,100,95.09892502,96.3815,90.987,80.55,94.1
1/31/2021,Kuala Kubu Bharu,Kuala Kubu Bharu,93.832453,100,94.50957173,93.8435,94.445,90,94.8
1/31/2021,Kalumpang,Kalumpang,96.9425,100,95.69261497,89.7827,94.711,92.1,95
1/31/2021,Sungai Selisek,Sungai Selisek,99.160048,82.8402,77.31244979,96.7622,89.657,91.05,88.9
1/31/2021,Sungai Dusun,Sungai Dusun,99.24832,97.1711714,96.29067101,98.0735,59.93182753,83.7,89.5
1/31/2021,Sungai Tengi,Sungai Tengi,95.9968,100,89.39578585,98.5388,93.514,85.8,94.4
1/31/2021,Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,96.764032,72.5161376,87.76515196,93.209,86.332,78.45,84.9
1/31/2021,Sungai Sireh,Sungai Sireh,84.042052,90.0542742,72.4582,94.0973,46.79979058,81.6,79.1
1/31/2021,Sungai Langat,Sungai Langat,98.371813,86.3802704,70.38146615,96.17,88.46,88.95,87.8
1/31/2021,Bukit Tampoi,Bukit Tampoi New,93.446692,89.7744768,57.45202563,93.0821,83.938,77.17911705,82.8
1/31/2021,Cheras Batu 11,Cheras Batu 11,97.679573,68.1049248,64.96985464,96.2123,92.317,73.2,81.1
1/31/2021,Salak Tinggi,Salak Tinggi,94.9177,18.7346,71.2027333,95.8739,82.608,88.95,71.7
1/31/2021,Sungai Pangsoon,Sungai Pangsoon,99.026413,100,97.5,97.6505,96.839,90,97
1/31/2021,Sungai Lolo,Sungai Lolo - Baru,98.784155,90.3307344,96.29067101,93.209,85.002,92.1,92.3
1/31/2021,Sungai Serai,Sungai Serai,98.287955,97.1711714,97.5,97.5236,94.445,87.9,95.6
1/31/2021,Bukit Nanas,Bukit Nanas,92.499893,0,96.29067101,96.9737,90.322,78.08338538,71.1
1/31/2021,Sungai Batu,Sungai Batu,98.98688,100,96.29067101,96.7199,89.391,82.65,94.4
1/31/2021,Sungai Gombak,Sungai Gombak,94.33502,100,95.09892502,94.7741,94.312,77.4,93.2
1/31/2021,Ampang Intake,Ampang Intake,85.954595,96.6960416,55.71669961,96.3392,90.056,83.7,85.8
1/31/2021,Sungai Rangkap,Sungai Rangkap,93.832453,100,93.9245259,94.7318,90.455,73.2,91.7
1/31/2021,Kepong,Kepong,95.499755,100,96.29067101,97.2698,92.051,90,95.6
1/31/2021,Sungai Rumput,Sungai Rumput,90.562555,100,93.9245259,96.3392,88.726,87.9,93.6
1/31/2021,Wangsa Maju,Wangsa Maju,99.518788,6.067725,96.29067101,95.7047,90.189,79.91983869,73.3
1/31/2021,Sungai Semenyih,Sungai Semenyih,98.178148,54.0996,51.94894928,95.5778,73.47231224,80.85223858,74
1/31/2021,Sungai Labu,Sungai Labu,99.160048,40.9440224,96.89312275,95.7047,90.189,73.2,80
1/31/2021,Semenyih 2,Semenyih 2,98.930653,22.0928114,95.69261497,94.8587,82.608,85.66038147,76.1
1/31/2021,Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,96.764032,93.0634832,58.33416685,92.9129,82.741,85.16837405,85.1
1/31/2021,Rasa,Rasa,99.425173,90.603825,92.76724071,94.3088,91.785,75.3,90.6
1/31/2021,Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,96.580228,79.1291342,63.883794,91.8977,87.13,87.9,83.8
1/31/2021,Langat 2,Langat 2,96.580228,100,78.23894962,97.3967,87.396,95.25,92.9
1/31/2021,Labohan Dagang,Labohan Dagang,96.196612,83.98,97.5,93.4628,85.933,92.1,90.9
1/31/2022,Sungai Sireh,Sungai Sireh,,,,,,,69.4
1/31/2022,Bernam River Headworks,Bernam River Headworks,,,,,,,83.4
1/31/2022,RANTAU PANJANG,Rantau Panjang New,,,,,,,81
1/31/2022,North Hummock,North Hummock,,,,,,,75.9
1/31/2022,Batang Kali,Batang Kali,,,,,,,92.1
1/31/2022,Kuala Kubu Baru,Kuala Kubu Bharu,,,,,,,94.8
1/31/2022,Kalumpang,Kalumpang,,,,,,,94.3
1/31/2022,Sungai Selisek,Sungai Selisek,,,,,,,84.3
1/31/2022,Sungai Dusun,Sungai Dusun,,,,,,,89.2
1/31/2022,Sungai Tengi,Sungai Tengi,,,,,,,91.3
1/31/2022,Wangsa Maju,Wangsa Maju,,,,,,,73.7
1/31/2022,Bukit Nanas,Bukit Nanas,,,,,,,77.6
1/31/2022,Sungai Batu,Sungai Batu,,,,,,,73.4
1/31/2022,Sungai Gombak,Sungai Gombak,,,,,,,95.5
1/31/2022,Ampang Intake,Ampang Intake,,,,,,,94.4
1/31/2022,Sungai Rangkap,Sungai Rangkap,,,,,,,92.7
1/31/2022,Kepong,Kepong,,,,,,,94.9
1/31/2022,Sungai Rumput,Sungai Rumput,,,,,,,92.6
1/31/2022,Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,,,,,,,81.9
1/31/2022,Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,,,,,,,75.4
1/31/2022,Rasa,Rasa,,,,,,,84.5
