wtp,Date,Column2,Column3,Year,Month,ChemicalCode,ChemicalName,TotalMTConsumed,UnitPrice,TotalRMAmount,Column1
Bernam River Headworks (Old),1/1/2022,1,2022,2022,1,A01,Liquid Aluminium Sulphate (Bulk/Tanker),40.059,398,15943.482,January
Bernam River Headworks (Old),1/1/2022,1,2022,2022,1,B02,Hydrated Lime (25kg / bag),13.95,450,6277.5,January
Bernam River Headworks (Old),1/1/2022,1,2022,2022,1,C02,Liquid Chlorine (68kg / Cylinder),2.356,8400,19790.4,January
Bernam River Headworks (Old),1/1/2022,1,2022,2022,1,D03,Flopam FA 920 PWG (25kg / bag),0.275,13800,3795,January
Bernam River Headworks (Old),1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),0.775,3600,2790,January
Bernam River Headworks (Old),1/2/2022,2,2022,2022,2,A01,Liquid Aluminium Sulphate (Bulk/Tanker),42.747,398,17013.306,February
Bernam River Headworks (Old),1/12/2022,12,2022,2022,12,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,December
Bernam River Headworks (Old),1/11/2022,11,2022,2022,11,F01,Sodium Silico Fluoride (25kg / bag),0.75,3600,2700,November
Bernam River Headworks (Old),1/12/2022,12,2022,2022,12,A01,Liquid Aluminium Sulphate (Bulk/Tanker),45.27,398,18017.46,December
Bernam River Headworks (Old),1/12/2022,12,2022,2022,12,B02,Hydrated Lime (25kg / bag),14.725,450,6626.25,December
Bernam River Headworks (Old),1/12/2022,12,2022,2022,12,C02,Liquid Chlorine (68kg / Cylinder),5.848,8400,49123.2,December
Bernam River Headworks (Old),1/12/2022,12,2022,2022,12,F01,Sodium Silico Fluoride (25kg / bag),1.55,3600,5580,December
Bernam River Headworks (Old),1/12/2022,12,2022,2022,12,D03,Flopam FA 920 PWG (25kg / bag),0.4,13800,5520,December
Bernam River Headworks (Old),1/10/2022,10,2022,2022,10,D03,Flopam FA 920 PWG (25kg / bag),0.475,13800,6555,October
Bernam River Headworks (Old),1/10/2022,10,2022,2022,10,F01,Sodium Silico Fluoride (25kg / bag),1.1,3600,3960,October
Bernam River Headworks (Old),1/11/2022,11,2022,2022,11,A01,Liquid Aluminium Sulphate (Bulk/Tanker),43.869,398,17459.862,November
Bernam River Headworks (Old),1/11/2022,11,2022,2022,11,B02,Hydrated Lime (25kg / bag),14.25,450,6412.5,November
Bernam River Headworks (Old),1/11/2022,11,2022,2022,11,C02,Liquid Chlorine (68kg / Cylinder),5.644,8400,47409.6,November
Bernam River Headworks (Old),1/11/2022,11,2022,2022,11,D03,Flopam FA 920 PWG (25kg / bag),0.25,13800,3450,November
Bernam River Headworks (Old),1/9/2022,9,2022,2022,9,C02,Liquid Chlorine (68kg / Cylinder),4.828,8400,40555.2,September
Bernam River Headworks (Old),1/9/2022,9,2022,2022,9,D03,Flopam FA 920 PWG (25kg / bag),0.2,13800,2760,September
Bernam River Headworks (Old),1/9/2022,9,2022,2022,9,F01,Sodium Silico Fluoride (25kg / bag),0.975,3600,3510,September
Bernam River Headworks (Old),1/10/2022,10,2022,2022,10,A01,Liquid Aluminium Sulphate (Bulk/Tanker),47.958,398,19087.284,October
Bernam River Headworks (Old),1/10/2022,10,2022,2022,10,B02,Hydrated Lime (25kg / bag),12.8,450,5760,October
Bernam River Headworks (Old),1/10/2022,10,2022,2022,10,C02,Liquid Chlorine (68kg / Cylinder),4.964,8400,41697.6,October
Bernam River Headworks (Old),1/8/2022,8,2022,2022,8,B02,Hydrated Lime (25kg / bag),12.2,450,5490,August
Bernam River Headworks (Old),1/8/2022,8,2022,2022,8,C02,Liquid Chlorine (68kg / Cylinder),4.896,8400,41126.4,August
Bernam River Headworks (Old),1/8/2022,8,2022,2022,8,D03,Flopam FA 920 PWG (25kg / bag),0.475,13800,6555,August
Bernam River Headworks (Old),1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),1.05,3600,3780,August
Bernam River Headworks (Old),1/9/2022,9,2022,2022,9,A01,Liquid Aluminium Sulphate (Bulk/Tanker),34.513,398,13736.174,September
Bernam River Headworks (Old),1/9/2022,9,2022,2022,9,B02,Hydrated Lime (25kg / bag),12.35,450,5557.5,September
Bernam River Headworks (Old),1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),0.875,3600,3150,July
Bernam River Headworks (Old),1/7/2022,7,2022,2022,7,A01,Liquid Aluminium Sulphate (Bulk/Tanker),43.989,398,17507.622,July
Bernam River Headworks (Old),1/7/2022,7,2022,2022,7,B02,Hydrated Lime (25kg / bag),10.65,450,4792.5,July
Bernam River Headworks (Old),1/7/2022,7,2022,2022,7,C02,Liquid Chlorine (68kg / Cylinder),5.304,8400,44553.6,July
Bernam River Headworks (Old),1/7/2022,7,2022,2022,7,D03,Flopam FA 920 PWG (25kg / bag),0.175,13800,2415,July
Bernam River Headworks (Old),1/8/2022,8,2022,2022,8,A01,Liquid Aluminium Sulphate (Bulk/Tanker),41.313,398,16442.574,August
Bernam River Headworks (Old),1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),0.9,3600,3240,May
Bernam River Headworks (Old),1/6/2022,6,2022,2022,6,A01,Liquid Aluminium Sulphate (Bulk/Tanker),35.941,398,14304.518,June
Bernam River Headworks (Old),1/6/2022,6,2022,2022,6,B02,Hydrated Lime (25kg / bag),13.225,450,5951.25,June
Bernam River Headworks (Old),1/6/2022,6,2022,2022,6,C02,Liquid Chlorine (68kg / Cylinder),5.44,8400,45696,June
Bernam River Headworks (Old),1/6/2022,6,2022,2022,6,D03,Flopam FA 920 PWG (25kg / bag),0.35,13800,4830,June
Bernam River Headworks (Old),1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),0.95,3600,3420,June
Bernam River Headworks (Old),1/4/2022,4,2022,2022,4,D03,Flopam FA 920 PWG (25kg / bag),0.35,13800,4830,April
Bernam River Headworks (Old),1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),0.975,3600,3510,April
Bernam River Headworks (Old),1/5/2022,5,2022,2022,5,A01,Liquid Aluminium Sulphate (Bulk/Tanker),46.665,398,18572.67,May
Bernam River Headworks (Old),1/5/2022,5,2022,2022,5,B02,Hydrated Lime (25kg / bag),12.95,450,5827.5,May
Bernam River Headworks (Old),1/5/2022,5,2022,2022,5,C02,Liquid Chlorine (68kg / Cylinder),4.896,8400,41126.4,May
Bernam River Headworks (Old),1/5/2022,5,2022,2022,5,D03,Flopam FA 920 PWG (25kg / bag),0.3,13800,4140,May
Bernam River Headworks (Old),1/3/2022,3,2022,2022,3,C02,Liquid Chlorine (68kg / Cylinder),5.644,8400,47409.6,March
Bernam River Headworks (Old),1/3/2022,3,2022,2022,3,D03,Flopam FA 920 PWG (25kg / bag),0.35,13800,4830,March
Bernam River Headworks (Old),1/3/2022,3,2022,2022,3,F01,Sodium Silico Fluoride (25kg / bag),1.05,3600,3780,March
Bernam River Headworks (Old),1/4/2022,4,2022,2022,4,A01,Liquid Aluminium Sulphate (Bulk/Tanker),48.338,398,19238.524,April
Bernam River Headworks (Old),1/4/2022,4,2022,2022,4,B02,Hydrated Lime (25kg / bag),13.475,450,6063.75,April
Bernam River Headworks (Old),1/4/2022,4,2022,2022,4,C02,Liquid Chlorine (68kg / Cylinder),4.76,8400,39984,April
Bernam River Headworks (Old),1/2/2022,2,2022,2022,2,B02,Hydrated Lime (25kg / bag),11.2,450,5040,February
Bernam River Headworks (Old),1/2/2022,2,2022,2022,2,C02,Liquid Chlorine (68kg / Cylinder),4.556,8400,38270.4,February
Bernam River Headworks (Old),1/2/2022,2,2022,2022,2,D03,Flopam FA 920 PWG (25kg / bag),0.275,13800,3795,February
Bernam River Headworks (Old),1/2/2022,2,2022,2022,2,F01,Sodium Silico Fluoride (25kg / bag),1.4,3600,5040,February
Bernam River Headworks (Old),1/3/2022,3,2022,2022,3,A01,Liquid Aluminium Sulphate (Bulk/Tanker),41.905,398,16678.19,March
Bernam River Headworks (Old),1/3/2022,3,2022,2022,3,B02,Hydrated Lime (25kg / bag),14.1,450,6345,March
Batang Kali,1/1/2022,1,2022,2022,1,A02,Kibbled Aluminium Sulphate (50kg / bag),4,1200,4800,January
Batang Kali,1/1/2022,1,2022,2022,1,B04,Soda Ash (25kg / bag),7.525,1900,14297.5,January
Batang Kali,1/1/2022,1,2022,2022,1,C02,Liquid Chlorine (68kg / Cylinder),1.224,8400,10281.6,January
Batang Kali,1/1/2022,1,2022,2022,1,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,January
Batang Kali,1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),0.275,3600,990,January
Batang Kali,1/2/2022,2,2022,2022,2,A02,Kibbled Aluminium Sulphate (50kg / bag),6,1200,7200,February
Batang Kali,1/12/2022,12,2022,2022,12,A02,Kibbled Aluminium Sulphate (50kg / bag),5,1200,6000,December
Batang Kali,1/12/2022,12,2022,2022,12,C02,Liquid Chlorine (68kg / Cylinder),1.088,8400,9139.2,December
Batang Kali,1/12/2022,12,2022,2022,12,F01,Sodium Silico Fluoride (25kg / bag),0.25,3600,900,December
Batang Kali,1/12/2022,12,2022,2022,12,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,December
Batang Kali,1/12/2022,12,2022,2022,12,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,December
Batang Kali,1/10/2022,10,2022,2022,10,F01,Sodium Silico Fluoride (25kg / bag),0.2,3600,720,October
Batang Kali,1/11/2022,11,2022,2022,11,A02,Kibbled Aluminium Sulphate (50kg / bag),4,1200,4800,November
Batang Kali,1/11/2022,11,2022,2022,11,B04,Soda Ash (25kg / bag),8.2,1900,15580,November
Batang Kali,1/11/2022,11,2022,2022,11,C02,Liquid Chlorine (68kg / Cylinder),1.088,8400,9139.2,November
Batang Kali,1/11/2022,11,2022,2022,11,F01,Sodium Silico Fluoride (25kg / bag),0.275,3600,990,November
Batang Kali,1/12/2022,12,2022,2022,12,B04,Soda Ash (25kg / bag),8.6,1900,16340,December
Batang Kali,1/9/2022,9,2022,2022,9,F01,Sodium Silico Fluoride (25kg / bag),0.275,3600,990,September
Batang Kali,1/10/2022,10,2022,2022,10,A02,Kibbled Aluminium Sulphate (50kg / bag),4.75,1200,5700,October
Batang Kali,1/10/2022,10,2022,2022,10,B04,Soda Ash (25kg / bag),7.825,1900,14867.5,October
Batang Kali,1/10/2022,10,2022,2022,10,C02,Liquid Chlorine (68kg / Cylinder),0.952,8400,7996.8,October
Batang Kali,1/10/2022,10,2022,2022,10,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,October
Batang Kali,1/10/2022,10,2022,2022,10,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,October
Batang Kali,1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),0.3,3600,1080,August
Batang Kali,1/9/2022,9,2022,2022,9,A02,Kibbled Aluminium Sulphate (50kg / bag),4,1200,4800,September
Batang Kali,1/9/2022,9,2022,2022,9,B04,Soda Ash (25kg / bag),8,1900,15200,September
Batang Kali,1/9/2022,9,2022,2022,9,C02,Liquid Chlorine (68kg / Cylinder),0.748,8400,6283.2,September
Batang Kali,1/9/2022,9,2022,2022,9,C03,Chloride of Lime Min 60% (50kg / drum),0.075,6000,450,September
Batang Kali,1/9/2022,9,2022,2022,9,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,September
Batang Kali,1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),0.275,3600,990,June
Batang Kali,1/8/2022,8,2022,2022,8,A02,Kibbled Aluminium Sulphate (50kg / bag),5,1200,6000,August
Batang Kali,1/8/2022,8,2022,2022,8,B04,Soda Ash (25kg / bag),9.725,1900,18477.5,August
Batang Kali,1/8/2022,8,2022,2022,8,C02,Liquid Chlorine (68kg / Cylinder),1.224,8400,10281.6,August
Batang Kali,1/8/2022,8,2022,2022,8,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,August
Batang Kali,1/8/2022,8,2022,2022,8,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,August
Batang Kali,1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),0.275,3600,990,July
Batang Kali,1/6/2022,6,2022,2022,6,A02,Kibbled Aluminium Sulphate (50kg / bag),5,1200,6000,June
Batang Kali,1/6/2022,6,2022,2022,6,B04,Soda Ash (25kg / bag),7.925,1900,15057.5,June
Batang Kali,1/6/2022,6,2022,2022,6,C02,Liquid Chlorine (68kg / Cylinder),1.088,8400,9139.2,June
Batang Kali,1/6/2022,6,2022,2022,6,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,June
Batang Kali,1/6/2022,6,2022,2022,6,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,June
Batang Kali,1/5/2022,5,2022,2022,5,C02,Liquid Chlorine (68kg / Cylinder),1.224,8400,10281.6,May
Batang Kali,1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),0.275,3600,990,May
Batang Kali,1/7/2022,7,2022,2022,7,A02,Kibbled Aluminium Sulphate (50kg / bag),4,1200,4800,July
Batang Kali,1/7/2022,7,2022,2022,7,B04,Soda Ash (25kg / bag),8.4,1900,15960,July
Batang Kali,1/7/2022,7,2022,2022,7,C02,Liquid Chlorine (68kg / Cylinder),0.952,8400,7996.8,July
Batang Kali,1/7/2022,7,2022,2022,7,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,July
Batang Kali,1/4/2022,4,2022,2022,4,C02,Liquid Chlorine (68kg / Cylinder),0.952,8400,7996.8,April
Batang Kali,1/4/2022,4,2022,2022,4,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,April
Batang Kali,1/4/2022,4,2022,2022,4,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,April
Batang Kali,1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),0.225,3600,810,April
Batang Kali,1/5/2022,5,2022,2022,5,A02,Kibbled Aluminium Sulphate (50kg / bag),5,1200,6000,May
Batang Kali,1/5/2022,5,2022,2022,5,B04,Soda Ash (25kg / bag),8.75,1900,16625,May
Batang Kali,1/3/2022,3,2022,2022,3,C02,Liquid Chlorine (68kg / Cylinder),1.088,8400,9139.2,March
Batang Kali,1/3/2022,3,2022,2022,3,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,March
Batang Kali,1/3/2022,3,2022,2022,3,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,March
Batang Kali,1/3/2022,3,2022,2022,3,F01,Sodium Silico Fluoride (25kg / bag),0.35,3600,1260,March
Batang Kali,1/4/2022,4,2022,2022,4,A02,Kibbled Aluminium Sulphate (50kg / bag),5,1200,6000,April
Batang Kali,1/4/2022,4,2022,2022,4,B04,Soda Ash (25kg / bag),7.625,1900,14487.5,April
Batang Kali,1/2/2022,2,2022,2022,2,B04,Soda Ash (25kg / bag),6.85,1900,13015,February
Batang Kali,1/2/2022,2,2022,2022,2,C02,Liquid Chlorine (68kg / Cylinder),0.816,8400,6854.4,February
Batang Kali,1/2/2022,2,2022,2022,2,D03,Flopam FA 920 PWG (25kg / bag),0.025,13800,345,February
Batang Kali,1/2/2022,2,2022,2022,2,F01,Sodium Silico Fluoride (25kg / bag),0.275,3600,990,February
Batang Kali,1/3/2022,3,2022,2022,3,A02,Kibbled Aluminium Sulphate (50kg / bag),7,1200,8400,March
Batang Kali,1/3/2022,3,2022,2022,3,B04,Soda Ash (25kg / bag),8.275,1900,15722.5,March
Sungai Semenyih,1/1/2022,1,2022,2022,1,A01,Liquid Aluminium Sulphate (Bulk/Tanker),600.94,398,239174.12,January
Sungai Semenyih,1/1/2022,1,2022,2022,1,B01,Hydrated Lime - Powder (Bulk/Tanker),237.06,388,91979.28,January
Sungai Semenyih,1/1/2022,1,2022,2022,1,C01,Liquid Chlorine (930kg / drum),83.7,2260,189162,January
Sungai Semenyih,1/1/2022,1,2022,2022,1,D05,Floquat FL 4520 PWG (210kg / drum),3.15,5000,15750,January
Sungai Semenyih,1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),11.64,3600,41904,January
Sungai Semenyih,1/2/2022,2,2022,2022,2,A01,Liquid Aluminium Sulphate (Bulk/Tanker),599.95,398,238780.1,February
