Month,WTP (Water Treatment Plant),wtp,Liquid Aluminium Sulphate (Bulk),Kibbled Aluminium Sulphate (50kg / bag),Modified Liquid Alum (Bulk),Hydrated Lime (powder) (Bulk),Hydrated Lime (25kg / bag),Hydrated Lime (1000kg / bag),Liquid Chlorine (930kg / drum),Liquid Chlorine (68kg / Cylinder),Liquid Polyaluminium Chloride (Bulk),Liquid Polyaluminium Chloride (25kg / carboy),Flopam FO 4290 PWG (25kg / bag),Flopam FO 4190 PWG (25kg / bag),Flopam FA 920 PWG (25kg / bag),Flopam AH 912 PWG (25kg / bag),Flopam FL 4520 PWG (210kg / drum),Superfloc C 591 PWG (210kg / drum),Superfloc N300 PWG (25kg / drum),Sodium Silico Fluoride,Sodium Fluoride,Microsand (1000kg / bag),Aluminium Chlorohydrate (bulk),Potassium Permanganate (50kg / drum),Soda Ash (25kg / bag),Chloride of Lime (50kg / drum),Sodium Hypochlorite (25kg / carboy),Sodium Aluminosilicate (25kg / bag),Sodium Aluminosilicate (500kg / bag OR 100kg /bag),Sodium Hydroxide (Min 48%) (Bulk OR 25kg / carboy),Sodium Hydroxide (Min 10% - 15%) (Bulk OR 25kg / carboy),Sodium Meta Bisulphite (25kg / carboy),Citric Acid (25kg / carboy),Oxalic Acid (25kg / bag),Activated Carbon (25kg / bag),Activated Carbon (500kg / 1000kg per bag),Snowflake GHMW PWG (25kg/bag),Snowflake ROO PWG (500kg/bag),Flopam AN934 PWG (25kg/bag),Flopam AH 912 PWG (25kg / bag),Polymer Tianfloc C3080,Polymer C8030
Jan,"Bernam River Headworks
(Old & New)",Bernam River Headworks (New),22119.8,0,0,1725,5599.375,0,0,66470,0,0,0,0,3150,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Batang Kali,Batang Kali,0,2940,0,0,0,0,0,5780,0,0,0,0,350,0,0,0,0,800,0,0,0,0,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Sungai Dusun,Sungai Dusun,0,539,0,0,0,0,0,2312,0,0,0,0,0,0,0,0,0,160,0,0,0,0,2385,0,0,0,0,0,0,0,0,0,0,0,160.2,0,0,0,0,0
Jan,Sungai Selisek,Sungai Selisek,0,833,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,562.5,0,0,0,2790,0,0,0,0,0,0,0,0,0,0,0,222.5,0,0,0,0,0
Jan,Sungai Tengi,Sungai Tengi,0,735,0,0,0,0,0,2312,0,0,0,0,0,0,0,0,0,0,225,0,0,0,2115,0,0,0,0,0,0,0,0,0,0,0,160.2,0,0,0,0,0
Jan,Kalumpang,Kalumpang,0,490,0,0,0,0,0,4624,0,0,0,0,0,0,0,0,0,400,0,0,0,0,1845,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Kuala Kubu Bharu,Kuala Kubu Bharu,0,588,0,0,0,0,0,4624,0,0,0,0,0,0,0,0,0,400,0,0,0,0,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,North Hummock,North Hummock,0,0,0,0,3793.125,0,0,27166,12195.48,0,0,0,0,0,0,0,0,1360,0,0,0,0,0,750,0,0,0,0,0,0,0,650,0,0,445,0,0,0,0,0
Jan,Rantau Panjang,Rantau Panjang New,0,0,0,0,1636.25,0,0,26010,14093.64,0,0,0,0,0,0,0,0,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0
Jan,Sungai Sireh,Sungai Sireh,0,0,0,0,3825,0,7812,0,0,0,0,0,0,4200,0,28003.5,0,1280,0,0,102327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Bukit Nanas,Bukit Nanas,30358.2,0,0,11812.5,0,0,41013,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,2250,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0
Jan,Sungai Batu,Sungai Batu,50309.72,0,0,10597.5,2125,0,35154,0,0,0,0,0,0,0,0,0,0,9440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Ampang Intake,Ampang Intake,0,10829,0,0,722.5,0,0,11560,0,0,0,0,0,0,0,0,0,960,0,0,0,0,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Sungai Rangkap,Sungai Rangkap,0,294,0,0,403.75,0,0,8670,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Sungai Gombak,Sungai Gombak,0,8330,0,0,1785,0,0,23120,0,0,0,0,1050,0,0,0,0,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0
Jan,Kepong,Kepong,0,0,0,0,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,450,0,0,0,630,0,180,0,0,0,75,110,325,0,0,0,0,0,0,0,0,0
Jan,Sungai Rumput,Sungai Rumput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,0,0,0,135,0,135,0,0,0,112.5,55,325,0,0,0,0,0,0,0,0,0
Jan,Wangsa Maju,Wangsa Maju,14614.04,0,0,2610.375,0,0,12978,0,0,0,0,0,0,0,0,0,0,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0
Jan,SSP1,Sungai Selangor Fasa 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,SSP2,Sungai Selangor Fasa 2 Stream C,401318,0,0,147213.75,0,0,513208.5,0,0,0,182192,0,0,0,0,0,0,74979.2,0,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,SSP3,Sungai Selangor Fasa 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Rasa,Rasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Sungai Semenyih,Sungai Semenyih,221642.6,0,0,103507.5,0,0,222642,0,0,0,0,0,0,0,7560,0,0,41152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37597.5,0,0,0,0
