,wtp,Date,Ammonia_avg,Color_avg,Iron_avg,Manganese_avg,Turbidity_avg,pH_avg
0,Langat 2,2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1,Langat 2,2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2,Langat 2,2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0
3,Langat 2,2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0
4,Langat 2,2021-01-05,0.09,7.67,1.19,0.21,156.72,7.18
5,Langat 2,2021-01-06,0.06,11.5,1.04,0.13,125.83,7.15
6,Langat 2,2021-01-07,0.03,4.17,0.91,0.07,26.0,6.97
7,Langat 2,2021-01-08,0.04,4.33,1.2,0.06,22.7,7.57
8,Langat 2,2021-01-09,0.05,7.0,1.1,0.16,60.83,7.27
9,Langat 2,2021-01-10,0.08,8.5,1.18,0.09,42.33,7.06
10,Langat 2,2021-01-11,0.08,6.33,1.46,0.13,60.0,7.18
11,Langat 2,2021-01-12,0.07,5.33,1.31,0.08,35.5,7.04
12,Langat 2,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0
13,Langat 2,2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0
14,Langat 2,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0
15,Langat 2,2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0
16,Langat 2,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0
17,Langat 2,2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0
18,Langat 2,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0
19,Langat 2,2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0
20,Langat 2,2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0
21,Langat 2,2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0
22,Langat 2,2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0
23,Langat 2,2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0
24,Langat 2,2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0
25,Langat 2,2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0
26,Langat 2,2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0
27,Langat 2,2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0
28,Langat 2,2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0
29,Langat 2,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0
30,Langat 2,2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0
31,Langat 2,2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0
32,Langat 2,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0
33,Langat 2,2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0
34,Langat 2,2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0
35,Langat 2,2021-02-05,0.18,9.67,1.53,0.32,204.67,7.42
36,Langat 2,2021-02-06,0.08,7.5,1.35,0.24,75.48,7.18
37,Langat 2,2021-02-07,0.04,4.83,0.8,0.08,36.5,7.04
38,Langat 2,2021-02-08,0.09,4.17,1.26,0.06,24.33,7.47
39,Langat 2,2021-02-09,0.06,5.67,1.19,0.11,44.33,7.21
40,Langat 2,2021-02-10,0.08,6.0,1.43,0.08,25.83,6.97
41,Langat 2,2021-02-11,0.04,5.5,1.12,0.07,35.67,7.24
42,Langat 2,2021-02-12,0.03,5.5,1.02,0.08,29.83,7.05
43,Langat 2,2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0
44,Langat 2,2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0
45,Langat 2,2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0
46,Langat 2,2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0
47,Langat 2,2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0
48,Langat 2,2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0
49,Langat 2,2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0
50,Langat 2,2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0
51,Langat 2,2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0
52,Langat 2,2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0
53,Langat 2,2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0
54,Langat 2,2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0
55,Langat 2,2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0
56,Langat 2,2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0
57,Langat 2,2021-02-27,0.0,0.0,0.0,0.0,0.0,0.0
58,Langat 2,2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0
59,Langat 2,2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0
60,Langat 2,2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0
61,Langat 2,2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0
62,Langat 2,2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0
63,Langat 2,2021-03-05,0.29,10.17,3.2,0.5,141.07,7.38
64,Langat 2,2021-03-06,0.04,7.5,0.96,0.12,80.02,7.2
65,Langat 2,2021-03-07,0.14,7.33,1.43,0.28,93.17,7.03
66,Langat 2,2021-03-08,0.04,3.5,1.26,0.04,19.5,7.47
67,Langat 2,2021-03-09,0.05,5.83,0.92,0.12,49.0,7.29
68,Langat 2,2021-03-10,0.03,5.83,1.32,0.07,24.5,7.11
69,Langat 2,2021-03-11,0.07,8.33,1.16,0.11,34.67,7.33
70,Langat 2,2021-03-12,0.34,21.17,3.49,0.22,328.0,6.98
71,Langat 2,2021-03-13,0.0,0.0,0.0,0.0,0.0,0.0
72,Langat 2,2021-03-14,0.0,0.0,0.0,0.0,0.0,0.0
73,Langat 2,2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0
74,Langat 2,2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0
75,Langat 2,2021-03-17,0.0,0.0,0.0,0.0,0.0,0.0
76,Langat 2,2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0
77,Langat 2,2021-03-19,0.0,0.0,0.0,0.0,0.0,0.0
78,Langat 2,2021-03-20,0.0,0.0,0.0,0.0,0.0,0.0
79,Langat 2,2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0
80,Langat 2,2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0
81,Langat 2,2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0
82,Langat 2,2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0
83,Langat 2,2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0
84,Langat 2,2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0
85,Langat 2,2021-03-27,0.0,0.0,0.0,0.0,0.0,0.0
86,Langat 2,2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0
87,Langat 2,2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0
88,Langat 2,2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0
89,Langat 2,2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0
90,Langat 2,2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0
91,Langat 2,2021-04-02,0.0,0.0,0.0,0.0,0.0,0.0
92,Langat 2,2021-04-03,0.0,0.0,0.0,0.0,0.0,0.0
93,Langat 2,2021-04-04,0.0,0.0,0.0,0.0,0.0,0.0
94,Langat 2,2021-04-05,0.08,10.5,1.15,0.17,119.23,7.28
95,Langat 2,2021-04-06,0.06,11.67,1.05,0.16,88.4,7.2
96,Langat 2,2021-04-07,0.05,6.33,1.16,0.13,110.67,7.19
97,Langat 2,2021-04-08,0.02,4.33,1.1,0.04,22.33,7.45
98,Langat 2,2021-04-09,0.03,3.83,0.92,0.06,30.0,7.22
99,Langat 2,2021-04-10,0.07,6.5,0.95,0.09,32.33,7.15
100,Langat 2,2021-04-11,0.05,5.67,1.33,0.07,28.67,7.27
101,Langat 2,2021-04-12,0.11,6.33,1.24,0.11,49.83,7.05
102,Langat 2,2021-04-13,0.04,7.5,0.73,0.06,44.55,7.33
103,Langat 2,2021-04-14,0.06,10.5,1.06,0.12,86.17,7.28
104,Langat 2,2021-04-15,0.08,9.5,1.21,0.2,88.17,7.26
105,Langat 2,2021-04-16,0.07,9.83,1.09,0.15,85.4,7.23
106,Langat 2,2021-04-17,0.05,8.67,0.89,0.12,80.47,7.2
107,Langat 2,2021-04-18,0.13,10.83,1.28,0.23,123.33,7.16
108,Langat 2,2021-04-19,0.11,7.33,0.96,0.18,63.52,7.23
109,Langat 2,2021-04-20,0.08,7.33,0.75,0.11,57.33,7.17
110,Langat 2,2021-04-21,0.07,7.5,0.78,0.1,52.58,7.2
111,Langat 2,2021-04-22,0.05,6.5,0.93,0.15,60.33,7.24
112,Langat 2,2021-04-23,0.07,10.17,1.31,0.19,106.1,7.13
113,Langat 2,2021-04-24,0.14,13.83,1.61,0.28,150.67,7.19
114,Langat 2,2021-04-25,0.05,5.33,0.74,0.12,50.23,7.11
115,Langat 2,2021-04-26,0.05,5.83,0.69,0.1,47.03,7.24
116,Langat 2,2021-04-27,0.03,5.33,0.79,0.1,60.43,7.25
117,Langat 2,2021-04-28,0.13,9.5,1.83,0.3,143.88,7.21
118,Langat 2,2021-04-29,0.05,6.33,0.94,0.19,118.78,7.22
119,Langat 2,2021-04-30,0.35,7.83,4.05,0.7,299.0,7.11
120,Langat 2,2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0
121,Langat 2,2021-05-02,0.0,0.0,0.0,0.0,0.0,0.0
122,Langat 2,2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0
123,Langat 2,2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0
124,Langat 2,2021-05-05,0.05,5.17,0.88,0.14,58.65,7.22
125,Langat 2,2021-05-06,0.07,10.33,1.36,0.15,91.83,7.29
126,Langat 2,2021-05-07,0.11,7.5,1.63,0.27,132.33,6.98
127,Langat 2,2021-05-08,0.07,9.67,2.32,0.37,58.67,7.53
128,Langat 2,2021-05-09,0.03,3.33,0.96,0.07,29.33,7.29
129,Langat 2,2021-05-10,0.11,8.17,1.62,0.11,66.17,7.17
130,Langat 2,2021-05-11,0.02,4.83,1.29,0.06,27.0,7.23
131,Langat 2,2021-05-12,0.04,7.33,0.87,0.07,27.67,7.05
132,Langat 2,2021-05-13,0.24,20.5,2.53,0.5,384.67,6.82
133,Langat 2,2021-05-14,0.17,10.0,1.49,0.23,129.2,7.03
134,Langat 2,2021-05-15,0.09,12.0,1.58,0.16,136.33,7.02
135,Langat 2,2021-05-16,0.09,10.83,1.83,0.49,160.83,7.03
136,Langat 2,2021-05-17,0.09,8.0,1.36,0.2,101.02,7.14
137,Langat 2,2021-05-18,0.05,7.33,1.35,0.14,73.45,7.13
138,Langat 2,2021-05-19,0.1,10.67,1.36,0.18,102.32,7.09
139,Langat 2,2021-05-20,0.12,13.33,2.6,0.43,168.17,7.13
140,Langat 2,2021-05-21,0.07,11.0,1.53,0.23,140.17,7.25
141,Langat 2,2021-05-22,0.11,8.67,1.09,0.17,83.62,7.17
142,Langat 2,2021-05-23,0.15,12.5,1.45,0.28,155.17,7.17
143,Langat 2,2021-05-24,0.05,6.0,0.74,0.1,38.1,7.2
144,Langat 2,2021-05-25,0.05,5.67,0.79,0.09,32.9,7.26
145,Langat 2,2021-05-26,0.1,11.0,1.43,0.17,105.5,7.34
146,Langat 2,2021-05-27,0.13,14.17,2.4,0.34,158.6,7.22
147,Langat 2,2021-05-28,0.15,21.0,4.0,0.63,312.33,6.88
148,Langat 2,2021-05-29,0.08,6.5,0.89,0.1,57.7,7.14
149,Langat 2,2021-05-30,0.15,13.0,1.78,0.33,173.45,7.11
150,Langat 2,2021-05-31,0.06,12.0,0.95,0.14,127.05,7.23
151,Langat 2,2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0
152,Langat 2,2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0
153,Langat 2,2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0
154,Langat 2,2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0
155,Langat 2,2021-06-05,0.07,6.5,1.07,0.11,74.17,7.17
156,Langat 2,2021-06-06,0.08,7.67,1.67,0.23,108.58,7.36
157,Langat 2,2021-06-07,0.08,8.0,1.27,0.14,83.5,7.22
158,Langat 2,2021-06-08,0.02,6.33,0.85,0.04,30.0,7.53
159,Langat 2,2021-06-09,0.03,3.67,1.14,0.04,20.0,7.21
160,Langat 2,2021-06-10,0.06,9.33,1.5,0.08,72.83,7.22
161,Langat 2,2021-06-11,0.15,15.0,2.29,0.33,147.0,7.05
162,Langat 2,2021-06-12,0.02,7.5,1.06,0.11,52.83,7.08
163,Langat 2,2021-06-13,0.03,5.67,0.94,0.06,52.67,7.39
164,Langat 2,2021-06-14,0.08,8.83,1.07,0.15,87.82,7.29
165,Langat 2,2021-06-15,0.19,10.17,1.69,0.34,154.07,7.19
166,Langat 2,2021-06-16,0.14,14.33,6.26,0.52,293.53,7.2
167,Langat 2,2021-06-17,0.27,18.67,1.85,0.47,288.0,7.2
168,Langat 2,2021-06-18,0.11,8.83,1.34,0.21,133.0,7.17
169,Langat 2,2021-06-19,0.06,7.67,1.14,0.15,79.88,7.19
170,Langat 2,2021-06-20,0.09,8.0,1.21,0.17,89.33,7.21
171,Langat 2,2021-06-21,0.06,8.0,1.24,0.12,102.83,7.23
172,Langat 2,2021-06-22,0.04,4.33,0.79,0.09,31.67,7.35
173,Langat 2,2021-06-23,0.05,4.33,0.82,0.06,23.67,7.43
174,Langat 2,2021-06-24,0.03,4.33,0.69,0.06,20.0,7.36
175,Langat 2,2021-06-25,0.03,4.17,0.94,0.08,27.67,7.35
