WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,2021-01-05,pH,7.09,7.18,7.31
Langat 2,2021-01-06,pH,7.02,7.15,7.24
Langat 2,2021-01-07,pH,6.8,6.97,7.14
Langat 2,2021-01-08,pH,7.51,7.57,7.61
Langat 2,2021-01-09,pH,7.23,7.27,7.32
Langat 2,2021-01-10,pH,7.03,7.06,7.13
Langat 2,2021-01-11,pH,7.11,7.18,7.26
Langat 2,2021-01-12,pH,6.98,7.04,7.09
Langat 2,2021-02-05,pH,7.1,7.42,7.98
Langat 2,2021-02-06,pH,7.1,7.18,7.3
Langat 2,2021-02-07,pH,7.01,7.04,7.08
Langat 2,2021-02-08,pH,7.42,7.47,7.52
Langat 2,2021-02-09,pH,7.1,7.21,7.33
Langat 2,2021-02-10,pH,6.89,6.97,7.12
Langat 2,2021-02-11,pH,7.11,7.24,7.39
Langat 2,2021-02-12,pH,6.96,7.05,7.17
Langat 2,2021-03-06,pH,7.15,7.2,7.29
Langat 2,2021-03-07,pH,6.81,7.03,7.2
Langat 2,2021-03-08,pH,7.44,7.47,7.5
Langat 2,2021-03-09,pH,7.19,7.29,7.45
Langat 2,2021-03-10,pH,7.0,7.11,7.21
Langat 2,2021-03-11,pH,7.16,7.33,7.61
Langat 2,2021-04-05,pH,7.24,7.28,7.31
Langat 2,2021-04-06,pH,7.05,7.2,7.33
Langat 2,2021-04-07,pH,7.04,7.19,7.36
Langat 2,2021-04-08,pH,7.42,7.45,7.49
Langat 2,2021-04-09,pH,7.18,7.22,7.28
Langat 2,2021-04-10,pH,6.99,7.15,7.3
Langat 2,2021-04-11,pH,7.16,7.27,7.42
Langat 2,2021-04-12,pH,6.95,7.05,7.11
Langat 2,2021-04-13,pH,7.25,7.33,7.45
Langat 2,2021-04-14,pH,7.2,7.28,7.34
Langat 2,2021-04-15,pH,7.16,7.26,7.37
Langat 2,2021-04-16,pH,7.1,7.23,7.28
Langat 2,2021-04-17,pH,7.15,7.2,7.26
Langat 2,2021-04-18,pH,7.08,7.16,7.2
Langat 2,2021-04-19,pH,7.16,7.23,7.33
Langat 2,2021-04-20,pH,7.08,7.17,7.26
Langat 2,2021-04-21,pH,7.03,7.2,7.29
Langat 2,2021-04-22,pH,7.12,7.24,7.38
Langat 2,2021-04-23,pH,7.06,7.13,7.19
Langat 2,2021-04-24,pH,7.15,7.19,7.24
Langat 2,2021-04-25,pH,7.07,7.11,7.14
Langat 2,2021-04-26,pH,7.18,7.24,7.34
Langat 2,2021-04-27,pH,7.2,7.25,7.34
