WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,2022-01-02,pH,7.14,7.19,7.29
Langat 2,2022-01-03,pH,7.05,7.11,7.15
Langat 2,2022-01-05,pH,7.14,7.18,7.22
Langat 2,2022-01-06,pH,7.26,7.32,7.38
Langat 2,2022-01-07,pH,6.94,6.96,6.99
Langat 2,2022-01-08,pH,6.73,6.95,7.05
Langat 2,2022-01-09,pH,6.96,7.02,7.06
Langat 2,2022-01-10,pH,7.21,7.24,7.28
Langat 2,2022-01-11,pH,7.02,7.07,7.11
Langat 2,2022-01-13,pH,7.13,7.18,7.28
Langat 2,2022-01-14,pH,7.22,7.26,7.32
Langat 2,2022-01-16,pH,7.13,7.22,7.27
Langat 2,2022-01-18,pH,7.13,7.2,7.22
Langat 2,2022-01-20,pH,7.1,7.16,7.23
Langat 2,2022-01-21,pH,7.1,7.14,7.18
Langat 2,2022-01-22,pH,7.13,7.17,7.21
Langat 2,2022-01-23,pH,7.02,7.11,7.17
Langat 2,2022-01-24,pH,7.1,7.19,7.26
Langat 2,2022-01-25,pH,7.1,7.18,7.22
Langat 2,2022-01-27,pH,7.17,7.21,7.29
Langat 2,2022-01-29,pH,7.2,7.25,7.28
Langat 2,2022-01-30,pH,7.11,7.26,7.32
Langat 2,2022-01-31,pH,7.11,7.13,7.16
Langat 2,2022-02-02,pH,7.17,7.22,7.3
Langat 2,2022-02-04,pH,7.15,7.21,7.26
Langat 2,2022-02-05,pH,7.13,7.17,7.2
Langat 2,2022-02-07,pH,6.92,6.94,6.99
Langat 2,2022-02-08,pH,6.94,6.99,7.08
Langat 2,2022-02-09,pH,6.91,7.01,7.13
Langat 2,2022-02-10,pH,7.09,7.17,7.22
Langat 2,2022-02-11,pH,7.18,7.2,7.23
Langat 2,2022-02-13,pH,7.2,7.28,7.36
Langat 2,2022-02-14,pH,7.18,7.25,7.33
Langat 2,2022-02-17,pH,7.06,7.09,7.12
Langat 2,2022-02-19,pH,7.11,7.16,7.22
Langat 2,2022-02-20,pH,7.1,7.17,7.28
Langat 2,2022-02-21,pH,7.03,7.09,7.15
Langat 2,2022-02-22,pH,7.09,7.15,7.19
Langat 2,2022-02-24,pH,6.75,6.98,7.12
Langat 2,2022-02-26,pH,7.08,7.12,7.17
Langat 2,2022-03-03,pH,6.98,7.03,7.07
Langat 2,2022-03-04,pH,7.19,7.21,7.24
Langat 2,2022-03-05,pH,7.15,7.2,7.25
Langat 2,2022-03-06,pH,7.1,7.27,7.41
Langat 2,2022-03-07,pH,6.94,6.98,7.09
Langat 2,2022-03-09,pH,7.12,7.13,7.16
Langat 2,2022-03-10,pH,6.97,7.08,7.13
Langat 2,2022-03-11,pH,7.16,7.18,7.21
Langat 2,2022-03-13,pH,7.04,7.08,7.1
Langat 2,2022-03-14,pH,7.13,7.2,7.26
Langat 2,2022-03-15,pH,7.06,7.17,7.23
Langat 2,2022-03-21,pH,7.08,7.14,7.3
Langat 2,2022-03-22,pH,7.09,7.17,7.34
Langat 2,2022-03-23,pH,7.2,7.23,7.27
Langat 2,2022-03-24,pH,7.11,7.15,7.2
Langat 2,2022-03-25,pH,7.21,7.27,7.36
Langat 2,2022-03-26,pH,7.11,7.28,7.34
Langat 2,2022-03-27,pH,7.09,7.14,7.2
Langat 2,2022-03-28,pH,7.17,7.23,7.31
Langat 2,2022-03-29,pH,7.14,7.25,7.43
Langat 2,2022-03-31,pH,7.2,7.27,7.39
Langat 2,2022-04-01,pH,6.87,6.91,6.93
Langat 2,2022-04-02,pH,7.28,7.3,7.33
Langat 2,2022-04-04,pH,7.13,7.24,7.4
Langat 2,2022-04-05,pH,7.19,7.25,7.33
Langat 2,2022-04-06,pH,7.11,7.23,7.32
Langat 2,2022-04-07,pH,6.9,6.93,7.03
Langat 2,2022-04-09,pH,7.12,7.15,7.16
Langat 2,2022-04-11,pH,7.13,7.18,7.2
Langat 2,2022-04-12,pH,6.91,6.95,6.98
Langat 2,2022-04-14,pH,7.03,7.16,7.26
Langat 2,2022-04-15,pH,7.02,7.13,7.22
Langat 2,2022-04-16,pH,7.06,7.12,7.21
Langat 2,2022-04-17,pH,7.13,7.18,7.25
Langat 2,2022-04-18,pH,7.06,7.25,7.44
Langat 2,2022-04-19,pH,7.13,7.19,7.24
Langat 2,2022-04-20,pH,6.92,7.11,7.22
Langat 2,2022-04-22,pH,7.07,7.12,7.18
Langat 2,2022-04-23,pH,7.1,7.15,7.2
Langat 2,2022-04-25,pH,7.01,7.06,7.11
Langat 2,2022-04-26,pH,7.02,7.1,7.18
Langat 2,2022-04-27,pH,7.1,7.13,7.15
Langat 2,2022-04-28,pH,7.14,7.18,7.23
Langat 2,2022-04-29,pH,7.07,7.12,7.19
Langat 2,2022-04-30,pH,7.13,7.17,7.22
Langat 2,2022-05-02,pH,7.2,7.26,7.32
Langat 2,2022-05-04,pH,7.13,7.21,7.27
Langat 2,2022-05-05,pH,7.18,7.23,7.31
Langat 2,2022-05-06,pH,7.22,7.29,7.32
Langat 2,2022-05-07,pH,6.88,6.93,6.98
Langat 2,2022-05-09,pH,7.06,7.1,7.13
Langat 2,2022-05-10,pH,6.53,6.93,7.08
Langat 2,2022-05-11,pH,7.16,7.21,7.24
Langat 2,2022-05-12,pH,6.87,7.02,7.1
Langat 2,2022-05-13,pH,7.02,7.14,7.24
Langat 2,2022-05-16,pH,7.1,7.19,7.24
Langat 2,2022-05-17,pH,7.1,7.18,7.27
Langat 2,2022-05-18,pH,7.14,7.25,7.31
Langat 2,2022-05-20,pH,7.13,7.17,7.25
Langat 2,2022-05-22,pH,7.19,7.32,7.37
Langat 2,2022-05-23,pH,7.25,7.3,7.36
Langat 2,2022-05-27,pH,7.11,7.29,7.53
Langat 2,2022-05-29,pH,7.3,7.32,7.36
Langat 2,2022-05-30,pH,7.22,7.29,7.39
Langat 2,2022-06-01,pH,6.81,6.89,6.98
Langat 2,2022-06-02,pH,7.18,7.22,7.27
Langat 2,2022-06-03,pH,6.8,6.99,7.14
Langat 2,2022-06-05,pH,7.11,7.18,7.24
Langat 2,2022-06-06,pH,7.06,7.27,7.37
Langat 2,2022-06-07,pH,6.91,6.97,7.01
Langat 2,2022-06-09,pH,7.13,7.18,7.25
Langat 2,2022-06-10,pH,6.72,6.92,7.01
Langat 2,2022-06-11,pH,7.11,7.18,7.22
Langat 2,2022-06-12,pH,7.01,7.04,7.08
Langat 2,2022-06-13,pH,7.14,7.22,7.31
Langat 2,2022-06-15,pH,7.21,7.32,7.46
Langat 2,2022-06-20,pH,6.75,6.96,7.22
Langat 2,2022-06-22,pH,6.88,6.97,7.08
Langat 2,2022-06-23,pH,6.96,7.13,7.33
Langat 2,2022-06-24,pH,6.94,7.01,7.12
Langat 2,2022-06-25,pH,6.91,6.96,7.01
Langat 2,2022-06-26,pH,6.93,7.01,7.1
Langat 2,2022-06-27,pH,6.83,6.9,7.0
Langat 2,2022-06-30,pH,6.94,6.97,7.0
Langat 2,2022-07-01,pH,7.07,7.11,7.16
Langat 2,2022-07-02,pH,7.18,7.21,7.23
Langat 2,2022-07-03,pH,6.74,6.91,7.0
Langat 2,2022-07-04,pH,7.2,7.26,7.29
Langat 2,2022-07-05,pH,7.1,7.18,7.28
Langat 2,2022-07-08,pH,6.86,6.89,6.98
Langat 2,2022-07-09,pH,7.15,7.17,7.19
Langat 2,2022-07-10,pH,7.01,7.03,7.05
Langat 2,2022-07-11,pH,7.16,7.24,7.27
Langat 2,2022-07-12,pH,6.75,6.93,7.08
Langat 2,2022-07-14,pH,7.12,7.22,7.28
Langat 2,2022-07-15,pH,7.1,7.23,7.33
Langat 2,2022-07-16,pH,7.12,7.21,7.29
Langat 2,2022-07-17,pH,7.12,7.18,7.2
Langat 2,2022-07-18,pH,7.18,7.24,7.27
Langat 2,2022-07-19,pH,7.08,7.15,7.23
Langat 2,2022-07-20,pH,7.07,7.11,7.19
Langat 2,2022-07-21,pH,7.01,7.06,7.11
Langat 2,2022-07-22,pH,7.05,7.11,7.16
Langat 2,2022-07-23,pH,7.01,7.03,7.06
Langat 2,2022-07-25,pH,6.82,6.89,7.07
Langat 2,2022-07-29,pH,6.83,6.94,7.01
Langat 2,2022-07-30,pH,6.83,6.92,6.97
Langat 2,2022-07-31,pH,6.89,6.94,6.97
Langat 2,2022-08-01,pH,7.1,7.15,7.18
Langat 2,2022-08-02,pH,7.03,7.18,7.27
Langat 2,2022-08-03,pH,6.8,6.95,7.02
Langat 2,2022-08-04,pH,7.24,7.29,7.32
Langat 2,2022-08-05,pH,7.18,7.23,7.26
Langat 2,2022-08-07,pH,6.8,6.9,7.0
Langat 2,2022-08-08,pH,6.89,7.0,7.12
Langat 2,2022-08-09,pH,7.09,7.17,7.22
Langat 2,2022-08-10,pH,7.0,7.1,7.16
Langat 2,2022-08-11,pH,7.18,7.22,7.26
Langat 2,2022-08-14,pH,6.94,7.0,7.06
Langat 2,2022-08-15,pH,6.95,7.04,7.11
Langat 2,2022-08-16,pH,6.95,6.98,7.03
Langat 2,2022-08-17,pH,6.91,6.98,7.03
Langat 2,2022-08-20,pH,6.89,6.92,6.93
Langat 2,2022-08-21,pH,6.87,6.91,6.99
Langat 2,2022-08-23,pH,6.68,6.91,7.09
Langat 2,2022-08-24,pH,6.8,6.98,7.68
Langat 2,2022-08-25,pH,6.94,6.97,7.03
Langat 2,2022-08-26,pH,7.03,7.08,7.13
Langat 2,2022-08-27,pH,7.0,7.04,7.12
Langat 2,2022-08-28,pH,6.88,6.98,7.09
Langat 2,2022-08-31,pH,6.83,6.89,6.97
Langat 2,2022-09-01,pH,7.04,7.12,7.3
Langat 2,2022-09-02,pH,7.17,7.26,7.36
Langat 2,2022-09-04,pH,7.22,7.31,7.36
Langat 2,2022-09-05,pH,7.18,7.27,7.48
Langat 2,2022-09-06,pH,7.19,7.28,7.37
Langat 2,2022-09-07,pH,6.9,7.0,7.07
Langat 2,2022-09-08,pH,7.0,7.07,7.19
Langat 2,2022-09-09,pH,7.16,7.22,7.26
Langat 2,2022-09-10,pH,6.94,7.03,7.09
Langat 2,2022-09-11,pH,7.1,7.19,7.34
Langat 2,2022-09-13,pH,7.21,7.28,7.33
Langat 2,2022-09-14,pH,7.19,7.24,7.32
Langat 2,2022-09-15,pH,7.19,7.23,7.27
Langat 2,2022-09-16,pH,7.22,7.26,7.33
Langat 2,2022-09-17,pH,7.19,7.27,7.34
Langat 2,2022-09-19,pH,7.26,7.31,7.34
Langat 2,2022-09-20,pH,7.24,7.27,7.31
Langat 2,2022-09-21,pH,7.24,7.27,7.3
Langat 2,2022-09-22,pH,7.29,7.31,7.33
Langat 2,2022-09-23,pH,7.25,7.29,7.35
Langat 2,2022-09-24,pH,7.2,7.28,7.37
Langat 2,2022-09-26,pH,7.22,7.31,7.36
Langat 2,2022-09-29,pH,7.26,7.32,7.35
Langat 2,2022-09-30,pH,7.22,7.29,7.36
Langat 2,2022-10-01,pH,7.16,7.21,7.28
Langat 2,2022-10-02,pH,7.21,7.3,7.33
Langat 2,2022-10-05,pH,7.21,7.24,7.28
Langat 2,2022-10-06,pH,7.17,7.27,7.31
Langat 2,2022-10-08,pH,6.76,7.01,7.09
Langat 2,2022-10-09,pH,7.1,7.16,7.19
Langat 2,2022-10-11,pH,7.13,7.2,7.26
Langat 2,2022-10-13,pH,6.9,6.94,7.03
Langat 2,2022-10-14,pH,6.97,6.98,6.99
Langat 2,2022-10-15,pH,7.0,7.01,7.03
Langat 2,2022-10-16,pH,7.0,7.06,7.08
Langat 2,2022-10-17,pH,7.0,7.06,7.13
Langat 2,2022-10-18,pH,6.92,7.03,7.11
Langat 2,2022-10-19,pH,7.0,7.06,7.11
Langat 2,2022-10-21,pH,6.94,6.98,7.03
Langat 2,2022-10-22,pH,6.92,7.03,7.11
Langat 2,2022-10-23,pH,6.9,6.98,7.11
Langat 2,2022-10-24,pH,6.9,6.94,7.06
Langat 2,2022-10-25,pH,6.69,6.88,7.02
Langat 2,2022-10-29,pH,6.76,6.89,7.0
Langat 2,2022-10-30,pH,6.9,6.94,7.04
