WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,1/1/21,Turbidity,0,0,0
Langat 2,1/1/21,Color,0,0,0
Langat 2,1/1/21,pH,0,0,0
Langat 2,1/1/21,Ammonia (NH4),0,0,0
Langat 2,1/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,1/1/21,Manganese (Mn),0,0,0
Langat 2,2/1/21,Turbidity,0,0,0
Langat 2,2/1/21,Color,0,0,0
Langat 2,2/1/21,pH,0,0,0
Langat 2,2/1/21,Ammonia (NH4),0,0,0
Langat 2,2/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,2/1/21,Manganese (Mn),0,0,0
Langat 2,3/1/21,Turbidity,0,0,0
Langat 2,3/1/21,Color,0,0,0
Langat 2,3/1/21,pH,0,0,0
Langat 2,3/1/21,Ammonia (NH4),0,0,0
Langat 2,3/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,3/1/21,Manganese (Mn),0,0,0
Langat 2,4/1/21,Turbidity,0,0,0
Langat 2,4/1/21,Color,0,0,0
Langat 2,4/1/21,pH,0,0,0
Langat 2,4/1/21,Ammonia (NH4),0,0,0
Langat 2,4/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,4/1/21,Manganese (Mn),0,0,0
Langat 2,5/1/21,Turbidity,0,0,0
Langat 2,5/1/21,Color,0,0,0
Langat 2,5/1/21,pH,0,0,0
Langat 2,5/1/21,Ammonia (NH4),0,0,0
Langat 2,5/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,5/1/21,Manganese (Mn),0,0,0
Langat 2,6/1/21,Turbidity,0,0,0
Langat 2,6/1/21,Color,0,0,0
Langat 2,6/1/21,pH,0,0,0
Langat 2,6/1/21,Ammonia (NH4),0,0,0
Langat 2,6/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,6/1/21,Manganese (Mn),0,0,0
Langat 2,7/1/21,Turbidity,0,0,0
Langat 2,7/1/21,Color,0,0,0
Langat 2,7/1/21,pH,0,0,0
Langat 2,7/1/21,Ammonia (NH4),0,0,0
Langat 2,7/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,7/1/21,Manganese (Mn),0,0,0
Langat 2,8/1/21,Turbidity,0,0,0
Langat 2,8/1/21,Color,0,0,0
Langat 2,8/1/21,pH,0,0,0
Langat 2,8/1/21,Ammonia (NH4),0,0,0
Langat 2,8/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,8/1/21,Manganese (Mn),0,0,0
Langat 2,9/1/21,Turbidity,0,0,0
Langat 2,9/1/21,Color,0,0,0
Langat 2,9/1/21,pH,0,0,0
Langat 2,9/1/21,Ammonia (NH4),0,0,0
Langat 2,9/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,9/1/21,Manganese (Mn),0,0,0
Langat 2,10/1/21,Turbidity,0,0,0
Langat 2,10/1/21,Color,0,0,0
Langat 2,10/1/21,pH,0,0,0
Langat 2,10/1/21,Ammonia (NH4),0,0,0
Langat 2,10/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,10/1/21,Manganese (Mn),0,0,0
Langat 2,11/1/21,Turbidity,0,0,0
Langat 2,11/1/21,Color,0,0,0
Langat 2,11/1/21,pH,0,0,0
Langat 2,11/1/21,Ammonia (NH4),0,0,0
Langat 2,11/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,11/1/21,Manganese (Mn),0,0,0
Langat 2,12/1/21,Turbidity,0,0,0
Langat 2,12/1/21,Color,0,0,0
Langat 2,12/1/21,pH,0,0,0
Langat 2,12/1/21,Ammonia (NH4),0,0,0
Langat 2,12/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,12/1/21,Manganese (Mn),0,0,0
Langat 2,13/1/21,Turbidity,0,0,0
Langat 2,13/1/21,Color,0,0,0
Langat 2,13/1/21,pH,0,0,0
Langat 2,13/1/21,Ammonia (NH4),0,0,0
Langat 2,13/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,13/1/21,Manganese (Mn),0,0,0
Langat 2,14/1/21,Turbidity,0,0,0
Langat 2,14/1/21,Color,0,0,0
Langat 2,14/1/21,pH,0,0,0
Langat 2,14/1/21,Ammonia (NH4),0,0,0
Langat 2,14/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,14/1/21,Manganese (Mn),0,0,0
Langat 2,15/1/21,Turbidity,0,0,0
Langat 2,15/1/21,Color,0,0,0
Langat 2,15/1/21,pH,0,0,0
Langat 2,15/1/21,Ammonia (NH4),0,0,0
Langat 2,15/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,15/1/21,Manganese (Mn),0,0,0
Langat 2,16/1/21,Turbidity,0,0,0
Langat 2,16/1/21,Color,0,0,0
Langat 2,16/1/21,pH,0,0,0
Langat 2,16/1/21,Ammonia (NH4),0,0,0
Langat 2,16/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,16/1/21,Manganese (Mn),0,0,0
Langat 2,17/1/21,Turbidity,0,0,0
Langat 2,17/1/21,Color,0,0,0
Langat 2,17/1/21,pH,0,0,0
Langat 2,17/1/21,Ammonia (NH4),0,0,0
Langat 2,17/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,17/1/21,Manganese (Mn),0,0,0
Langat 2,18/1/21,Turbidity,0,0,0
Langat 2,18/1/21,Color,0,0,0
Langat 2,18/1/21,pH,0,0,0
Langat 2,18/1/21,Ammonia (NH4),0,0,0
Langat 2,18/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,18/1/21,Manganese (Mn),0,0,0
Langat 2,19/1/21,Turbidity,0,0,0
Langat 2,19/1/21,Color,0,0,0
Langat 2,19/1/21,pH,0,0,0
Langat 2,19/1/21,Ammonia (NH4),0,0,0
Langat 2,19/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,19/1/21,Manganese (Mn),0,0,0
Langat 2,20/1/21,Turbidity,0,0,0
Langat 2,20/1/21,Color,0,0,0
Langat 2,20/1/21,pH,0,0,0
Langat 2,20/1/21,Ammonia (NH4),0,0,0
Langat 2,20/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,20/1/21,Manganese (Mn),0,0,0
Langat 2,21/1/21,Turbidity,0,0,0
Langat 2,21/1/21,Color,0,0,0
Langat 2,21/1/21,pH,0,0,0
Langat 2,21/1/21,Ammonia (NH4),0,0,0
Langat 2,21/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,21/1/21,Manganese (Mn),0,0,0
Langat 2,22/1/21,Turbidity,0,0,0
Langat 2,22/1/21,Color,0,0,0
Langat 2,22/1/21,pH,0,0,0
Langat 2,22/1/21,Ammonia (NH4),0,0,0
Langat 2,22/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,22/1/21,Manganese (Mn),0,0,0
Langat 2,23/1/21,Turbidity,0,0,0
Langat 2,23/1/21,Color,0,0,0
Langat 2,23/1/21,pH,0,0,0
Langat 2,23/1/21,Ammonia (NH4),0,0,0
Langat 2,23/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,23/1/21,Manganese (Mn),0,0,0
Langat 2,24/1/21,Turbidity,0,0,0
Langat 2,24/1/21,Color,0,0,0
Langat 2,24/1/21,pH,0,0,0
Langat 2,24/1/21,Ammonia (NH4),0,0,0
Langat 2,24/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,24/1/21,Manganese (Mn),0,0,0
Langat 2,25/1/21,Turbidity,0,0,0
Langat 2,25/1/21,Color,0,0,0
Langat 2,25/1/21,pH,0,0,0
Langat 2,25/1/21,Ammonia (NH4),0,0,0
Langat 2,25/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,25/1/21,Manganese (Mn),0,0,0
Langat 2,26/1/21,Turbidity,0,0,0
Langat 2,26/1/21,Color,0,0,0
Langat 2,26/1/21,pH,0,0,0
Langat 2,26/1/21,Ammonia (NH4),0,0,0
Langat 2,26/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,26/1/21,Manganese (Mn),0,0,0
Langat 2,27/1/21,Turbidity,0,0,0
Langat 2,27/1/21,Color,0,0,0
Langat 2,27/1/21,pH,0,0,0
Langat 2,27/1/21,Ammonia (NH4),0,0,0
Langat 2,27/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,27/1/21,Manganese (Mn),0,0,0
Langat 2,28/1/21,Turbidity,0,0,0
Langat 2,28/1/21,Color,0,0,0
Langat 2,28/1/21,pH,0,0,0
Langat 2,28/1/21,Ammonia (NH4),0,0,0
Langat 2,28/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,28/1/21,Manganese (Mn),0,0,0
Langat 2,29/1/21,Turbidity,0,0,0
Langat 2,29/1/21,Color,0,0,0
Langat 2,29/1/21,pH,0,0,0
Langat 2,29/1/21,Ammonia (NH4),0,0,0
Langat 2,29/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,29/1/21,Manganese (Mn),0,0,0
Langat 2,30/1/21,Turbidity,0,0,0
Langat 2,30/1/21,Color,0,0,0
Langat 2,30/1/21,pH,0,0,0
Langat 2,30/1/21,Ammonia (NH4),0,0,0
Langat 2,30/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,30/1/21,Manganese (Mn),0,0,0
Langat 2,31/1/21,Turbidity,0,0,0
Langat 2,31/1/21,Color,0,0,0
Langat 2,31/1/21,pH,0,0,0
Langat 2,31/1/21,Ammonia (NH4),0,0,0
Langat 2,31/1/21,Ferum/Iron (Fe),0,0,0
Langat 2,31/1/21,Manganese (Mn),0,0,0
Langat 2,1/2/21,Turbidity,0,0,0
Langat 2,1/2/21,Color,0,0,0
Langat 2,1/2/21,pH,0,0,0
Langat 2,1/2/21,Ammonia (NH4),0,0,0
Langat 2,1/2/21,Ferum/Iron (Fe),0,0,0
Langat 2,1/2/21,Manganese (Mn),0,0,0
Langat 2,2/2/21,Turbidity,0,0,0
Langat 2,2/2/21,Color,0,0,0
Langat 2,2/2/21,pH,0,0,0
Langat 2,2/2/21,Ammonia (NH4),0,0,0
Langat 2,2/2/21,Ferum/Iron (Fe),0,0,0
Langat 2,2/2/21,Manganese (Mn),0,0,0
Langat 2,3/2/21,Turbidity,0,0,0
Langat 2,3/2/21,Color,0,0,0
Langat 2,3/2/21,pH,0,0,0
Langat 2,3/2/21,Ammonia (NH4),0,0,0
Langat 2,3/2/21,Ferum/Iron (Fe),0,0,0
Langat 2,3/2/21,Manganese (Mn),0,0,0
Langat 2,4/2/21,Turbidity,0,0,0
Langat 2,4/2/21,Color,0,0,0
Langat 2,4/2/21,pH,0,0,0
Langat 2,4/2/21,Ammonia (NH4),0,0,0
Langat 2,4/2/21,Ferum/Iron (Fe),0,0,0
