,wtp,Month,TotalRMAmount,Production,Unit_cost
0,Ampang Intake,Jan-22,28023,289.282,9.68708734
1,Ampang Intake,Feb-22,28623,264.664,10.81484448
2,Ampang Intake,Mar-22,29742,288.744,10.30047378
3,Ampang Intake,Apr-22,25587,298.44,8.57358263
4,Ampang Intake,May-22,28128,317.189,8.86789895
5,Ampang Intake,Jun-22,25743,309.567,8.315808856
6,Ampang Intake,Jul-22,26629.8,326.442,8.157590016
7,Ampang Intake,Aug-22,26793,329.863,8.122462962
8,Ampang Intake,Sep-22,26973,310.6,8.684159691
9,Ampang Intake,Oct-22,22617,332.167,6.808924427
10,Ampang Intake,Nov-22,26748,294.433,9.084579514
11,Ampang Intake,Dec-22,26058,328.572,7.93068186
12,Batang Kali,Jan-22,30669.1,152.756,20.07718191
13,Batang Kali,Feb-22,28404.4,140.252,20.25240282
14,Batang Kali,Mar-22,35466.7,136.53,25.97722112
15,Batang Kali,Apr-22,29939.3,128.669,23.26846404
16,Batang Kali,May-22,33896.6,133.141,25.45917486
17,Batang Kali,Jun-22,31831.7,125.953,25.27268108
18,Batang Kali,Jul-22,30091.8,132.386,22.73034913
19,Batang Kali,Aug-22,36784.1,142.998,25.72350662
20,Batang Kali,Sep-22,28068.2,125.396,22.3836486
21,Batang Kali,Oct-22,29929.3,120.105,24.91927896
22,Batang Kali,Nov-22,30509.2,122.238,24.95885077
23,Batang Kali,Dec-22,33024.2,120.012,27.51741493
24,Bernam River Headworks (New),Jan-22,37975.4,729.027,5.209052614
25,Bernam River Headworks (New),Feb-22,39215,656.857,5.970096992
26,Bernam River Headworks (New),Mar-22,47741.2,743.197,6.423761129
27,Bernam River Headworks (New),Apr-22,37950,733.342,5.174938842
28,Bernam River Headworks (New),May-22,45979.2,756.572,6.077306588
29,Bernam River Headworks (New),Jun-22,39886,677.718,5.88533874
30,Bernam River Headworks (New),Jul-22,37023.8,739.164,5.008874891
31,Bernam River Headworks (New),Aug-22,48560.6,673.112,7.214341744
32,Bernam River Headworks (New),Sep-22,37284.6,637.745,5.846317886
33,Bernam River Headworks (New),Oct-22,40949.4,634.039,6.45849861
34,Bernam River Headworks (New),Nov-22,44349.8,648.687,6.836856604
35,Bernam River Headworks (New),Dec-22,43766.4,671.035,6.522223133
36,Bernam River Headworks (Old),Jan-22,48596.382,1210.562,4.014365394
37,Bernam River Headworks (Old),Feb-22,69158.706,1075.39,6.43103488
38,Bernam River Headworks (Old),Mar-22,79042.79,1190.591,6.638954099
39,Bernam River Headworks (Old),Apr-22,73626.274,1176.098,6.2602159
40,Bernam River Headworks (Old),May-22,72906.57,1238.261,5.887819289
41,Bernam River Headworks (Old),Jun-22,74201.768,1104.73,6.716733319
42,Bernam River Headworks (Old),Jul-22,72418.722,1132.857,6.392573997
43,Bernam River Headworks (Old),Aug-22,73393.974,1141.465,6.429805031
44,Bernam River Headworks (Old),Sep-22,66118.874,1111.244,5.949987042
45,Bernam River Headworks (Old),Oct-22,77059.884,1160.636,6.639453196
46,Bernam River Headworks (Old),Nov-22,77431.962,1112.752,6.958600119
47,Bernam River Headworks (Old),Dec-22,85466.91,1190.67,7.178051853
48,Bukit Nanas,Jan-22,74750.08,2726.536,2.741576858
49,Bukit Nanas,Feb-22,59726.52,2273.249,2.627363742
50,Bukit Nanas,Mar-22,70391.72,2614.476,2.692383483
51,Bukit Nanas,Apr-22,74542.04,2521.539,2.956212059
52,Bukit Nanas,May-22,50614.08,2963.587,1.707865502
53,Bukit Nanas,Jun-22,94722.82,3262.056,2.903776637
54,Bukit Nanas,Jul-22,78160.34,3287.139,2.377761938
55,Bukit Nanas,Aug-22,76327.98,3364.013,2.268956154
56,Bukit Nanas,Sep-22,84747.48,3357.733,2.523949343
57,Bukit Nanas,Oct-22,76396.44,3546.918,2.153882328
58,Bukit Nanas,Nov-22,76235.28,3128.837,2.436537282
59,Bukit Nanas,Dec-22,62603.62,3395.544,1.843699272
60,Bukit Tampoi,Jan-22,51526.888,395.675,13.02252808
61,Bukit Tampoi,Feb-22,45053.056,343.465,13.11721893
62,Bukit Tampoi,Mar-22,48318.178,376.615,12.82959468
63,Bukit Tampoi,Apr-22,46807.542,366.713,12.76408036
64,Bukit Tampoi,May-22,54039.012,392.132,13.78082176
65,Bukit Tampoi,Jun-22,45479.696,365.235,12.45217353
66,Bukit Tampoi,Jul-22,43919.272,362.905,12.10214023
67,Bukit Tampoi,Aug-22,43801.73,356.736,12.27847204
68,Bukit Tampoi,Sep-22,38298.656,376.54,10.17120518
69,Bukit Tampoi,Oct-22,39620.104,395.815,10.00975304
70,Bukit Tampoi,Nov-22,43887.362,387.683,11.32042468
71,Bukit Tampoi,Dec-22,41049.57,373.41,10.99316301
72,Cheras Batu 11,Jan-22,45391,608.846,7.45525141
73,Cheras Batu 11,Feb-22,35735.75,544.898,6.558245763
74,Cheras Batu 11,Mar-22,51198.5,588.26,8.703379458
75,Cheras Batu 11,Apr-22,49517.5,583.27,8.489636018
76,Cheras Batu 11,May-22,44192.75,581.704,7.597119841
77,Cheras Batu 11,Jun-22,45379.75,581.895,7.79861487
78,Cheras Batu 11,Jul-22,45840.75,599.23,7.649942426
79,Cheras Batu 11,Aug-22,41070.25,605.323,6.78484875
80,Cheras Batu 11,Sep-22,46319.5,584.531,7.924216166
81,Cheras Batu 11,Oct-22,40341.75,611.939,6.592446306
82,Cheras Batu 11,Nov-22,51123.5,609.148,8.392623796
83,Cheras Batu 11,Dec-22,40495.5,620.301,6.528362843
84,Kalumpang,Jan-22,7124.6,156.677,4.547317092
85,Kalumpang,Feb-22,7687.1,146.703,5.239906478
86,Kalumpang,Mar-22,6977.2,152.273,4.582033584
87,Kalumpang,Apr-22,7462.1,148.944,5.01000376
88,Kalumpang,May-22,7882.1,157.877,4.992557497
89,Kalumpang,Jun-22,8014.6,157.475,5.089442769
90,Kalumpang,Jul-22,7822.1,166.545,4.696688583
91,Kalumpang,Aug-22,9874.5,168.112,5.87376273
92,Kalumpang,Sep-22,7314.6,175.924,4.157818149
93,Kalumpang,Oct-22,9674.5,178.487,5.42028271
94,Kalumpang,Nov-22,9997,180.321,5.544002085
95,Kalumpang,Dec-22,8774.6,189.316,4.634896152
96,Kepong,Jan-22,1506.2,30.218,4.984446356
97,Kepong,Feb-22,1181.2,27.776,4.252592166
98,Kepong,Mar-22,1506.2,29.582,5.091609763
