WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,35984,548691,6.558153861,3,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,30202,160144,18.85927665,3,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,59047.23,1109956,5.319781144,3,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,107263.7,3550276,3.021277782,3,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,94753.25,472490,20.05402231,3,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,62893.38,693649,9.067032462,3,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,6765.63,160524,4.214715557,3,2020
Kepong,Kepong,70110100,Chemical Consumed,3071.5,47554,6.458972957,3,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,7429.5,204253,3.637400675,3,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,67020,1616906,4.144953386,3,2020
Langat 2,Langat 2,70110100,Chemical Consumed,270281.3,8859033,3.05091199,3,2020
North Hummock,North Hummock,70110100,Chemical Consumed,53572.14,350450,15.28667142,3,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,53996.31,967582,5.580540977,3,2020
Rasa,Rasa,70110100,Chemical Consumed,267.4,6598401,0.004052497,3,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,14171.25,132893,10.66365422,3,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,176714.95,2707362,6.527200648,3,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,87104.2,3402623,2.559913337,3,2020
Sungai Buaya,NA,70110100,Chemical Consumed,1081,NULL,NULL,3,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4999.5,45936,10.88362069,3,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,27522,963920,2.855216201,3,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,65633.11,2492566,2.633154348,3,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,355714.2,10925156,3.255918726,3,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,5299,161613,3.278820392,3,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4368,117194,3.727153267,3,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,8056.75,202584,3.97699226,3,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1485.5,29003,5.121883943,3,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,489778.5,30591937,1.601005193,3,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1315802.2,30957989,4.250283182,3,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25794876,,1,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6175.5,62572,9.869430416,3,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,696186.25,18510168,3.761101736,3,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4770,41973,11.36444857,3,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,88531.5,485864,18.22145703,3,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5595,60841,9.196101313,3,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34064.15,1224093,2.782807352,3,2020
