,wtp,Month,WQI
0,Bernam River Headworks (New),01-2021,78.8
1,Rantau Panjang New,01-2021,83.6
2,North Hummock,01-2021,74.2
3,Batang Kali,01-2021,94.1
4,Kuala Kubu Bharu,01-2021,94.8
5,Kalumpang,01-2021,95.0
6,Sungai Selisek,01-2021,88.9
7,Sungai Dusun,01-2021,89.5
8,Sungai Tengi,01-2021,94.4
9,Sungai Selangor Fasa 2 Stream C,01-2021,84.9
10,Sungai Sireh,01-2021,79.1
11,Sungai Langat,01-2021,87.8
12,Bukit Tampoi New,01-2021,82.8
13,Cheras Batu 11,01-2021,81.1
14,Salak Tinggi,01-2021,71.7
15,Sungai Pangsoon,01-2021,97.0
16,Sungai Lolo - Baru,01-2021,92.3
17,Sungai Serai,01-2021,95.6
18,Bukit Nanas,01-2021,71.1
19,Sungai Batu,01-2021,94.4
20,Sungai Gombak,01-2021,93.2
21,Ampang Intake,01-2021,85.8
22,Sungai Rangkap,01-2021,91.7
23,Kepong,01-2021,95.6
24,Sungai Rumput,01-2021,93.6
25,Wangsa Maju,01-2021,73.3
26,Sungai Semenyih,01-2021,74.0
27,Sungai Labu,01-2021,80.0
28,Semenyih 2,01-2021,76.1
29,Sungai Selangor Fasa 1,01-2021,85.1
30,Rasa,01-2021,90.6
31,Sungai Selangor Fasa 3,01-2021,83.8
32,Langat 2,01-2021,92.9
33,Labohan Dagang,01-2021,90.9
34,Bernam River Headworks (New),02-2021,92.0
35,Rantau Panjang New,02-2021,84.9
36,North Hummock,02-2021,66.5
37,Batang Kali,02-2021,95.3
38,Kuala Kubu Bharu,02-2021,96.5
39,Kalumpang,02-2021,96.5
40,Sungai Selisek,02-2021,88.7
41,Sungai Dusun,02-2021,91.2
42,Sungai Tengi,02-2021,93.5
43,Sungai Selangor Fasa 2 Stream C,02-2021,80.5
44,Sungai Sireh,02-2021,81.2
45,Sungai Langat,02-2021,85.3
46,Bukit Tampoi New,02-2021,71.9
47,Cheras Batu 11,02-2021,68.9
48,Salak Tinggi,02-2021,72.3
49,Sungai Pangsoon,02-2021,94.8
50,Sungai Lolo - Baru,02-2021,94.9
51,Sungai Serai,02-2021,96.6
52,Bukit Nanas,02-2021,75.0
53,Sungai Batu,02-2021,90.5
54,Sungai Gombak,02-2021,93.0
55,Ampang Intake,02-2021,90.2
56,Sungai Rangkap,02-2021,96.7
57,Kepong,02-2021,95.3
58,Sungai Rumput,02-2021,93.1
59,Wangsa Maju,02-2021,70.3
60,Sungai Semenyih,02-2021,70.8
61,Sungai Labu,02-2021,86.2
62,Semenyih 2,02-2021,75.3
63,Sungai Selangor Fasa 1,02-2021,88.6
64,Rasa,02-2021,94.9
65,Sungai Selangor Fasa 3,02-2021,75.6
66,Langat 2,02-2021,92.1
67,Labohan Dagang,02-2021,88.3
68,Bernam River Headworks (New),03-2021,91.7
69,Rantau Panjang New,03-2021,79.9
70,North Hummock,03-2021,84.8
71,Batang Kali,03-2021,87.9
72,Kuala Kubu Bharu,03-2021,94.8
73,Kalumpang,03-2021,94.8
74,Sungai Selisek,03-2021,87.3
75,Sungai Dusun,03-2021,87.7
76,Sungai Tengi,03-2021,90.6
77,Sungai Selangor Fasa 2 Stream C,03-2021,80.3
78,Sungai Sireh,03-2021,88.4
79,Sungai Langat,03-2021,88.8
80,Bukit Tampoi New,03-2021,71.9
81,Cheras Batu 11,03-2021,84.6
82,Salak Tinggi,03-2021,68.5
83,Sungai Pangsoon,03-2021,97.3
84,Sungai Lolo - Baru,03-2021,93.3
85,Sungai Serai,03-2021,95.9
86,Bukit Nanas,03-2021,72.8
87,Sungai Batu,03-2021,88.8
88,Sungai Gombak,03-2021,92.8
89,Ampang Intake,03-2021,94.5
90,Sungai Rangkap,03-2021,91.9
91,Kepong,03-2021,95.6
92,Sungai Rumput,03-2021,89.2
93,Wangsa Maju,03-2021,74.0
94,Sungai Semenyih,03-2021,86.3
95,Sungai Labu,03-2021,85.5
96,Semenyih 2,03-2021,79.5
97,Sungai Selangor Fasa 1,03-2021,86.4
98,Rasa,03-2021,93.9
99,Sungai Selangor Fasa 3,03-2021,84.3
100,Langat 2,03-2021,92.2
101,Labohan Dagang,03-2021,92.3
102,Bernam River Headworks (New),04-2021,91.1
103,Rantau Panjang New,04-2021,86.3
104,North Hummock,04-2021,70.0
105,Batang Kali,04-2021,91.1
106,Kuala Kubu Bharu,04-2021,95.1
107,Kalumpang,04-2021,96.0
108,Sungai Selisek,04-2021,81.1
109,Sungai Dusun,04-2021,92.2
110,Sungai Tengi,04-2021,90.9
111,Unknown,04-2021,
112,Sungai Selangor Fasa 2 Stream C,04-2021,84.0
113,Sungai Sireh,04-2021,86.1
114,Sungai Langat,04-2021,90.1
115,Bukit Tampoi New,04-2021,72.4
116,Cheras Batu 11,04-2021,72.4
117,Salak Tinggi,04-2021,60.9
118,Sungai Pangsoon,04-2021,96.1
119,Sungai Lolo - Baru,04-2021,95.9
120,Sungai Serai,04-2021,94.4
121,Bukit Nanas,04-2021,71.6
122,Sungai Batu,04-2021,91.4
123,Sungai Gombak,04-2021,97.9
124,Ampang Intake,04-2021,92.3
125,Sungai Rangkap,04-2021,94.8
126,Kepong,04-2021,95.8
127,Sungai Rumput,04-2021,94.1
128,Wangsa Maju,04-2021,76.0
129,Sungai Semenyih,04-2021,67.1
130,Sungai Labu,04-2021,79.1
131,Semenyih 2,04-2021,77.6
132,Sungai Selangor Fasa 1,04-2021,88.2
133,Rasa,04-2021,96.4
134,Sungai Selangor Fasa 3,04-2021,82.8
135,Langat 2,04-2021,93.8
136,Labohan Dagang,04-2021,91.3
137,Bernam River Headworks (New),05-2021,81.7
138,Rantau Panjang New,05-2021,81.3
139,North Hummock,05-2021,73.2
140,Batang Kali,05-2021,94.8
141,Kuala Kubu Bharu,05-2021,96.5
142,Kalumpang,05-2021,95.6
143,Sungai Selisek,05-2021,90.5
144,Sungai Dusun,05-2021,93.3
145,Sungai Tengi,05-2021,93.0
146,Unknown,05-2021,
147,Sungai Selangor Fasa 2 Stream C,05-2021,83.5
148,Sungai Sireh,05-2021,81.7
149,Sungai Langat,05-2021,92.1
150,Bukit Tampoi New,05-2021,66.9
151,Cheras Batu 11,05-2021,76.7
152,Salak Tinggi,05-2021,66.9
153,Sungai Pangsoon,05-2021,95.4
154,Sungai Lolo - Baru,05-2021,93.9
155,Sungai Serai,05-2021,96.1
156,Bukit Nanas,05-2021,73.4
157,Sungai Batu,05-2021,85.8
158,Sungai Gombak,05-2021,94.7
159,Ampang Intake,05-2021,93.4
160,Sungai Rangkap,05-2021,95.2
161,Kepong,05-2021,95.3
162,Sungai Rumput,05-2021,94.3
163,Wangsa Maju,05-2021,72.9
164,Sungai Semenyih,05-2021,76.5
165,Sungai Labu,05-2021,77.8
166,Semenyih 2,05-2021,92.5
167,Sungai Selangor Fasa 1,05-2021,89.0
168,Rasa,05-2021,82.8
169,Sungai Selangor Fasa 3,05-2021,87.2
170,Langat 2,05-2021,93.5
171,Labohan Dagang,05-2021,91.6
172,Bernam River Headworks (New),06-2021,89.2
173,Rantau Panjang New,06-2021,83.5
174,North Hummock,06-2021,74.6
175,Batang Kali,06-2021,90.5
176,Kuala Kubu Bharu,06-2021,96.9
177,Kalumpang,06-2021,97.1
178,Sungai Selisek,06-2021,87.2
179,Sungai Dusun,06-2021,95.8
180,Sungai Tengi,06-2021,91.1
181,Unknown,06-2021,
182,Sungai Selangor Fasa 2 Stream C,06-2021,81.4
183,Sungai Sireh,06-2021,93.2
184,Sungai Langat,06-2021,87.1
185,Bukit Tampoi New,06-2021,77.9
186,Cheras Batu 11,06-2021,68.9
187,Salak Tinggi,06-2021,63.6
188,Sungai Pangsoon,06-2021,96.0
189,Sungai Lolo - Baru,06-2021,95.2
190,Sungai Serai,06-2021,94.7
191,Bukit Nanas,06-2021,72.0
192,Sungai Batu,06-2021,90.6
193,Sungai Gombak,06-2021,93.9
194,Ampang Intake,06-2021,94.3
195,Sungai Rangkap,06-2021,96.0
196,Kepong,06-2021,94.1
197,Sungai Rumput,06-2021,94.4
198,Wangsa Maju,06-2021,71.8
199,Sungai Semenyih,06-2021,73.3
200,Sungai Labu,06-2021,83.8
