,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda Ash (Pre),Soda Ash (Post),Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Hydrated Lime (Pre),Hydrated Lime (Post),Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Liquid Chlorine (Pre),Liquid Chlorine (Intermediate),Liquid Chlorine (Post),Sodium Aluminosilicate,Sodium Fluoride,Superfloc C 591 PWG,Aluminium Chlorohydrate,Flopam AH 912 PWG,Hydrated Lime (Intermediate),Hydrated Lime (Powder) (Pre),Hydrated Lime (Powder) (Post),Hydrated Lime (Powder),Flopam FO 4190 PWG,Flopam FO 4290 PWG,Polyelectrolyte AN 910 PWG,Microsand,Activated Carbon,Flopam FL 4520 PWG,Modified Liquid Alum,Potassium Permanganate,Polymer Tianfloc C3080,Sodium Hypochlorite,Hydrated Lime (Powder) (Intermediate),Liquid Polyaluminium Chloride ,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Hydrated Lime (Post) (mg/L),Liquid Chlorine (Post) (mg/L),Sodium Silico Fluoride (mg/L),Liquid Chlorine (Pre) (mg/L),Hydrated Lime (Pre) (mg/L),wtp,Date,Month,Quarter,Water Source,Lembangan
0,14.23,0.02,1.05,0.0,2.38,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-01-04,1,1,River,Sg Selangor
1,13.33,0.02,1.01,0.0,2.36,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-02-04,2,1,River,Sg Selangor
2,16.47,0.02,0.98,0.0,2.26,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-03-04,3,1,River,Sg Selangor
3,16.32,0.02,1.03,0.0,2.36,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-04,4,2,River,Sg Selangor
4,17.09,0.02,1.05,0.0,2.35,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-05-04,5,2,River,Sg Selangor
5,16.63,0.02,0.96,0.0,2.21,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-06-04,6,2,River,Sg Selangor
6,19.08,0.02,1.02,0.0,2.35,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-07-04,7,3,River,Sg Selangor
7,14.69,0.02,1.04,0.0,2.41,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-08-04,8,3,River,Sg Selangor
8,14.4,0.02,1.07,0.0,2.45,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-09-04,9,3,River,Sg Selangor
9,13.46,0.02,1.05,0.0,2.19,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-04,10,4,River,Sg Selangor
10,13.46,0.02,1.05,0.0,2.19,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-11-04,11,4,River,Sg Selangor
11,13.47,0.02,1.13,0.0,2.37,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-12-04,12,4,River,Sg Selangor
12,13.37,0.02,0.97,0.0,2.18,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-13,4,2,River,Sg Selangor
13,13.53,0.02,1.04,0.0,2.21,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-14,4,2,River,Sg Selangor
14,19.63,0.02,0.93,0.0,2.11,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-15,4,2,River,Sg Selangor
15,13.6,0.02,1.02,0.0,2.4,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-16,4,2,River,Sg Selangor
16,15.54,0.02,1.04,0.0,2.35,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-17,4,2,River,Sg Selangor
17,15.87,0.02,1.03,0.0,2.17,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-18,4,2,River,Sg Selangor
18,12.03,0.02,1.08,0.0,2.41,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-19,4,2,River,Sg Selangor
19,11.98,0.02,1.01,0.0,2.3,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-20,4,2,River,Sg Selangor
20,17.61,0.02,1.88,0.0,2.25,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-21,4,2,River,Sg Selangor
21,20.73,0.02,1.89,0.0,2.29,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-22,4,2,River,Sg Selangor
22,16.23,0.02,0.95,0.0,2.18,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-23,4,2,River,Sg Selangor
23,12.65,0.02,1.03,0.0,2.26,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-24,4,2,River,Sg Selangor
24,14.08,0.02,1.09,0.0,2.3,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-25,4,2,River,Sg Selangor
25,16.06,0.02,1.53,0.0,2.33,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-26,4,2,River,Sg Selangor
26,13.96,0.02,1.09,0.0,2.29,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-27,4,2,River,Sg Selangor
27,12.44,0.02,1.11,0.0,2.31,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-28,4,2,River,Sg Selangor
28,11.66,0.02,1.09,0.0,2.29,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-29,4,2,River,Sg Selangor
29,21.02,0.02,1.22,0.0,2.19,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-30,4,2,River,Sg Selangor
120,0.0,,,,2.53,0.5,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-01-04,1,1,River,Sg Selangor
121,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-02-04,2,1,River,Sg Selangor
122,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-03-04,3,1,River,Sg Selangor
123,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-04,4,2,River,Sg Selangor
124,0.0,,,,2.51,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-05-04,5,2,River,Sg Selangor
125,14.4,,,,2.57,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-06-04,6,2,River,Sg Selangor
126,13.6,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-07-04,7,3,River,Sg Selangor
127,0.0,,,,2.51,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-08-04,8,3,River,Sg Selangor
128,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-09-04,9,3,River,Sg Selangor
129,0.0,,,,2.48,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-04,10,4,River,Sg Selangor
130,0.0,,,,2.48,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-11-04,11,4,River,Sg Selangor
131,0.0,,,,2.47,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-12-04,12,4,River,Sg Selangor
132,15.5,,,,2.48,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-13,4,2,River,Sg Selangor
133,10.0,,,,2.54,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-14,4,2,River,Sg Selangor
134,0.0,,,,0.51,2.57,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-15,4,2,River,Sg Selangor
135,0.0,,,,2.57,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-16,4,2,River,Sg Selangor
136,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-17,4,2,River,Sg Selangor
137,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-18,4,2,River,Sg Selangor
138,14.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-19,4,2,River,Sg Selangor
139,0.0,,,,2.56,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-20,4,2,River,Sg Selangor
140,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-21,4,2,River,Sg Selangor
141,13.5,,,,2.44,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-22,4,2,River,Sg Selangor
142,10.0,,,,2.56,0.53,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-23,4,2,River,Sg Selangor
143,14.8,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-24,4,2,River,Sg Selangor
144,14.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-25,4,2,River,Sg Selangor
145,12.0,,,,2.54,0.5,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-26,4,2,River,Sg Selangor
146,0.0,,,,2.56,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-27,4,2,River,Sg Selangor
147,11.5,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-28,4,2,River,Sg Selangor
